,how,many,stations,did,boston,have,in,1952,?
before,0.33293965458869934,0.2728588581085205,0.19921308755874634,0.33642593026161194,0.21905265748500824,0.3593204617500305,0.4155850410461426,-0.01991693675518036,0.2507109045982361
the,0.33890387415885925,0.4335206151008606,0.24762700498104095,0.34736719727516174,0.2297145575284958,0.40389683842658997,0.6662389636039734,0.12244576215744019,0.22068053483963013
freeze,0.153591126203537,0.25400304794311523,0.22667384147644043,0.21660204231739044,0.13262176513671875,0.2159811556339264,0.1990373283624649,0.06852679699659348,0.20642049610614777
ended,0.18768176436424255,0.20378006994724274,0.16915173828601837,0.33372020721435547,0.19207125902175903,0.186550110578537,0.3353011906147003,-0.039157480001449585,0.15429291129112244
in,0.2601168751716614,0.41474202275276184,0.25864288210868835,0.2593238651752472,0.24356770515441895,0.36843645572662354,1.0,0.09289009869098663,0.20430970191955566
1952,0.09760478883981705,0.12541338801383972,0.047670505940914154,0.03558165952563286,0.02812003530561924,0.1218583732843399,0.09289009869098663,1.0,-0.04863175377249718
",",0.22659391164779663,0.40610817074775696,0.26337406039237976,0.3015086054801941,0.2719416320323944,0.3541618287563324,0.5201468467712402,0.0635446086525917,0.31091248989105225
there,0.3328511416912079,0.4993700683116913,0.27333587408065796,0.29736605286598206,0.15866197645664215,0.5194604992866516,0.5361666083335876,0.06385588645935059,0.29405656456947327
were,0.2082374095916748,0.4804460406303406,0.19006890058517456,0.4162326455116272,0.19811393320560455,0.5193349123001099,0.3815755248069763,0.07001259177923203,0.17890112102031708
only,0.36590442061424255,0.4670507609844208,0.2648601830005646,0.4039593040943146,0.16335684061050415,0.5199421048164368,0.42992329597473145,0.08489671349525452,0.2767370045185089
108,-0.010223988443613052,0.06847638636827469,0.05505684018135071,0.007777100428938866,0.05887053534388542,0.053863801062107086,0.004086358472704887,0.11296136677265167,0.09738752990961075
existing,0.2671617865562439,0.2997767925262451,0.2720181941986084,0.2163872867822647,0.20159803330898285,0.39780059456825256,0.2761130928993225,-0.04334097355604172,0.31003472208976746
television,0.20427560806274414,0.23433995246887207,0.3494590222835541,0.17055591940879822,0.2165127545595169,0.1811555027961731,0.2689782977104187,0.05833883956074715,0.16825827956199646
stations,0.18198855221271515,0.2893238365650177,1.0,0.16568200290203094,0.1969621181488037,0.23396307229995728,0.25864288210868835,0.047670505940914154,0.13192185759544373
in,0.2601168751716614,0.41474202275276184,0.25864288210868835,0.2593238651752472,0.24356770515441895,0.36843645572662354,1.0,0.09289009869098663,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.24762700498104095,0.34736719727516174,0.2297145575284958,0.40389683842658997,0.6662389636039734,0.12244576215744019,0.22068053483963013
united,0.19034643471240997,0.2670816481113434,0.2495407909154892,0.21137088537216187,0.2324070930480957,0.17950676381587982,0.3938477039337158,0.06792280077934265,0.17266890406608582
states,0.20841296017169952,0.29976361989974976,0.2534271776676178,0.21754568815231323,0.24259184300899506,0.20162390172481537,0.3977442979812622,0.07245180010795593,0.16272737085819244
;,0.07230665534734726,0.11763367056846619,-0.0050702826119959354,0.10727239400148392,0.10306641459465027,0.10650043189525604,0.092739537358284,0.038847148418426514,0.10349778085947037
a,0.29312583804130554,0.2872205972671509,0.199105903506279,0.2552328109741211,0.16957563161849976,0.338716596364975,0.539380669593811,0.1223839670419693,0.23916715383529663
few,0.2993465065956116,0.5883727073669434,0.23717278242111206,0.32311540842056274,0.1306615173816681,0.4513930082321167,0.3588411808013916,0.05895883962512016,0.2334265559911728
