,who,worked,later,on,to,find,these,missing,magnetic,tapes,that,had,data,stored,on,them,?
during,0.30551859736442566,0.2617577314376831,0.4405536353588104,0.3347817361354828,0.2828781306743622,0.11436191201210022,0.31969112157821655,0.12790893018245697,0.09673522412776947,0.20939703285694122,0.31487685441970825,0.39748913049697876,0.11085986346006393,0.1519717425107956,0.3347817361354828,0.26723581552505493,0.1325719803571701
the,0.3733934462070465,0.22615844011306763,0.4060266613960266,0.5107308030128479,0.535392165184021,0.2696352005004883,0.49086877703666687,0.2549445927143097,0.18611927330493927,0.2105327844619751,0.5473989248275757,0.3875846862792969,0.20546740293502808,0.2634609043598175,0.5107308030128479,0.4788833558559418,0.22068053483963013
following,0.1758657693862915,0.11606907099485397,0.29636186361312866,0.2962210774421692,0.31711265444755554,0.14957869052886963,0.32609254121780396,0.19351577758789062,0.20897643268108368,0.15502044558525085,0.3429057002067566,0.23528310656547546,0.23206938803195953,0.17151983082294464,0.2962210774421692,0.23921990394592285,0.1555173695087433
years,0.29867154359817505,0.3003438413143158,0.3774924874305725,0.2152649462223053,0.23891852796077728,0.14685823023319244,0.2443821281194687,0.14061219990253448,0.17806421220302582,0.22968308627605438,0.27599525451660156,0.36797329783439636,0.1396007537841797,0.1268530786037445,0.2152649462223053,0.2643817663192749,0.1914375126361847
",",0.3365725874900818,0.31017279624938965,0.35016918182373047,0.49057599902153015,0.44245919585227966,0.27622509002685547,0.37613096833229065,0.2425287365913391,0.15619294345378876,0.1773630827665329,0.4137537479400635,0.35487717390060425,0.22224515676498413,0.24477602541446686,0.49057599902153015,0.3985835015773773,0.31091248989105225
a,0.36608949303627014,0.23579153418540955,0.34254932403564453,0.3848365545272827,0.45503583550453186,0.2540014088153839,0.24380075931549072,0.25094693899154663,0.19198331236839294,0.25973808765411377,0.47537946701049805,0.34897568821907043,0.2163095474243164,0.22883880138397217,0.3848365545272827,0.3151612877845764,0.23916715383529663
magnetic,0.0936945229768753,0.11773869395256042,0.134582057595253,0.21771234273910522,0.23495057225227356,0.22582806646823883,0.23798556625843048,0.17033924162387848,1.0,0.3026624917984009,0.27342489361763,0.1251601129770279,0.3040345013141632,0.33965083956718445,0.21771234273910522,0.2105676680803299,0.10858146101236343
tape,0.1466020792722702,0.19809862971305847,0.21245037019252777,0.16172082722187042,0.2686920464038849,0.20108196139335632,0.20616745948791504,0.18350723385810852,0.3998313248157501,0.7350388169288635,0.27122506499290466,0.23783722519874573,0.2860063314437866,0.35636404156684875,0.16172082722187042,0.26466497778892517,0.13937829434871674
shortage,0.25189387798309326,0.2376292496919632,0.21317483484745026,0.2899031341075897,0.3648369014263153,0.2713320553302765,0.38745296001434326,0.14372453093528748,0.15553098917007446,0.13789620995521545,0.3877332806587219,0.29973384737968445,0.15918144583702087,0.3214336037635803,0.2899031341075897,0.38708749413490295,0.19423167407512665
prompted,0.2457052767276764,0.16821761429309845,0.2847232222557068,0.21033400297164917,0.30564406514167786,0.09086697548627853,0.24216316640377045,0.10373678058385849,0.11837232112884521,0.18462984263896942,0.29559919238090515,0.3216826319694519,0.18981494009494781,0.19375930726528168,0.21033400297164917,0.2553623616695404,0.13139130175113678
