,under,what,instances,can,individuals,rely,on,primary,law,in,the,court,of,justice,of,european,union,?
individuals,0.2306801825761795,0.25709760189056396,0.4685639441013336,0.39066171646118164,1.0,0.34998321533203125,0.23456044495105743,0.21403346955776215,0.19040444493293762,0.22240658104419708,0.3022412955760956,0.18708819150924683,0.27365922927856445,0.19155944883823395,0.27365922927856445,0.13787877559661865,0.15538576245307922,0.20243582129478455
may,0.17191942036151886,0.25739946961402893,0.2591496706008911,0.43584567308425903,0.25262126326560974,0.12343908846378326,0.3428080081939697,0.19394780695438385,0.16718333959579468,0.3424151837825775,0.2694292366504669,0.1853720098733902,0.26447007060050964,0.17655174434185028,0.26447007060050964,0.13291458785533905,0.16676320135593414,0.2768254578113556
rely,0.10359276831150055,0.3573313355445862,0.3638317584991455,0.3714171051979065,0.34998321533203125,1.0,0.3302572965621948,0.29404693841934204,0.2443833202123642,0.22665752470493317,0.2672518789768219,0.19335700571537018,0.23148025572299957,0.18585968017578125,0.23148025572299957,0.08904469758272171,0.07788194715976715,0.17513008415699005
on,0.3075410723686218,0.34226128458976746,0.25318625569343567,0.2772369682788849,0.23456044495105743,0.3302572965621948,0.9999999403953552,0.2339327335357666,0.13878796994686127,0.46853652596473694,0.5107308030128479,0.23630931973457336,0.3966929316520691,0.1708904355764389,0.3966929316520691,0.19710737466812134,0.15769828855991364,0.2714994251728058
primary,0.1741495430469513,0.2113915979862213,0.24425213038921356,0.24960964918136597,0.21403346955776215,0.29404693841934204,0.2339327335357666,1.0,0.1267443150281906,0.21150650084018707,0.25688621401786804,0.14342263340950012,0.23414276540279388,0.13293223083019257,0.23414276540279388,0.10110604763031006,0.10285277664661407,0.16286636888980865
law,0.2181660532951355,0.2145031988620758,0.2168932855129242,0.13600260019302368,0.19040444493293762,0.2443833202123642,0.13878796994686127,0.1267443150281906,1.0000001192092896,0.24850773811340332,0.24548950791358948,0.413828045129776,0.2816956341266632,0.357088178396225,0.2816956341266632,0.17164482176303864,0.19371826946735382,0.1528988480567932
in,0.2535393238067627,0.30808621644973755,0.23674409091472626,0.26527702808380127,0.22240658104419708,0.22665752470493317,0.46853652596473694,0.21150650084018707,0.24850773811340332,1.0,0.6662389636039734,0.2793687880039215,0.5696388483047485,0.2678598463535309,0.5696388483047485,0.23319172859191895,0.22726479172706604,0.20430970191955566
the,0.3348022699356079,0.42745697498321533,0.33414426445961,0.312528520822525,0.3022412955760956,0.2672518789768219,0.5107308030128479,0.25688621401786804,0.24548950791358948,0.6662389636039734,1.0,0.2812081575393677,0.733189046382904,0.23470892012119293,0.733189046382904,0.3423081040382385,0.24421639740467072,0.22068053483963013
court,0.1557169258594513,0.23440583050251007,0.1996380090713501,0.14211946725845337,0.18708819150924683,0.19335700571537018,0.23630931973457336,0.14342263340950012,0.413828045129776,0.2793687880039215,0.2812081575393677,1.0,0.28835242986679077,0.5483176112174988,0.28835242986679077,0.18487446010112762,0.23186643421649933,0.17100423574447632
of,0.32766106724739075,0.33290785551071167,0.305372416973114,0.2603091299533844,0.27365922927856445,0.23148025572299957,0.3966929316520691,0.23414276540279388,0.2816956341266632,0.5696388483047485,0.733189046382904,0.28835242986679077,1.0,0.2658293545246124,1.0,0.2507138252258301,0.2642118036746979,0.1826142966747284
