,how,much,of,the,sun,is,made,up,of,oxygen,?
about,0.44264400005340576,0.42681634426116943,0.40939709544181824,0.37995871901512146,0.18129360675811768,0.3532065451145172,0.28390374779701233,0.34850332140922546,0.40939709544181824,0.1566355675458908,0.302409827709198
0.9,0.23298849165439606,0.19472777843475342,0.14898361265659332,0.046636324375867844,0.0661863312125206,0.052458349615335464,0.020081741735339165,0.1223529800772667,0.14898361265659332,0.16119836270809174,0.15756377577781677
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.21490740776062012,0.1374327540397644,0.18672586977481842,0.1488196700811386,0.21216745674610138,0.19953428208827972,0.25139331817626953,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.22858914732933044,0.4854315221309662,0.33167365193367004,0.32945773005485535,1.0,0.16848602890968323,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.258540540933609,0.5823672413825989,0.3885267674922943,0.38423117995262146,0.733189046382904,0.20428593456745148,0.22068053483963013
sun,0.2054978907108307,0.23502719402313232,0.22858914732933044,0.258540540933609,1.0000001192092896,0.19175934791564941,0.1243782490491867,0.20341025292873383,0.22858914732933044,0.19829581677913666,0.1497713327407837
's,-0.026164190843701363,0.06731651723384857,-0.03817026689648628,-0.01540423184633255,0.018280325457453728,0.02396530658006668,0.08483956009149551,-0.08862818777561188,-0.03817026689648628,-0.011648092418909073,-0.023395681753754616
mass,0.28030452132225037,0.2717016339302063,0.26915112137794495,0.2284930944442749,0.28634732961654663,0.21063528954982758,0.14009134471416473,0.1803177148103714,0.26915112137794495,0.28330692648887634,0.2076406031847
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.5823672413825989,0.19175934791564941,1.0,0.29543453454971313,0.2853454053401947,0.4854315221309662,0.21825239062309265,0.22961433231830597
oxygen,0.21928748488426208,0.2913925051689148,0.16848602890968323,0.20428593456745148,0.19829581677913666,0.21825239062309265,0.19023919105529785,0.28784632682800293,0.16848602890968323,0.9999999403953552,0.16786395013332367
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.20861375331878662,0.4569662809371948,0.4032190144062042,0.351434588432312,0.5352458953857422,0.2554275095462799,0.4130953550338745
,how,much,of,the,sun,is,made,up,of,oxygen,?
oxygen,0.21928748488426208,0.2913925051689148,0.16848602890968323,0.20428593456745148,0.19829581677913666,0.21825239062309265,0.19023919105529785,0.28784632682800293,0.16848602890968323,0.9999999403953552,0.16786395013332367
