,what,is,the,name,of,the,turf,used,in,levi,'s,stadium,for,the,super,bowl,?
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.22810755670070648,0.35160550475120544,0.3887844979763031,0.16246658563613892,-0.05775856226682663,0.1262112706899643,0.44774648547172546,0.48381632566452026,0.21450649201869965,0.14539222419261932,0.27043893933296204
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.20843768119812012,0.3288823366165161,0.5394441485404968,0.09836933761835098,0.02396530658006668,0.18311816453933716,0.43268078565597534,0.5823672413825989,0.15390309691429138,0.14233897626399994,0.22961433231830597
customary,0.3171907961368561,0.22576570510864258,0.2734152376651764,0.19945301115512848,0.2637541890144348,0.2734152376651764,0.1861814707517624,0.37121284008026123,0.2624778151512146,0.19984184205532074,-0.025633657351136208,0.05628880485892296,0.2259739190340042,0.2734152376651764,0.16291815042495728,0.14833979308605194,0.27931293845176697
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.20793719589710236,0.4236139953136444,0.4322226941585541,0.16166196763515472,-0.07241261005401611,0.18393352627754211,0.9999999403953552,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.264628142118454
super,0.13651713728904724,0.15390309691429138,0.21959073841571808,0.15042594075202942,0.14718765020370483,0.21959073841571808,0.2351023554801941,0.18133796751499176,0.18576006591320038,0.08340612053871155,0.09726737439632416,0.1715150624513626,0.22938419878482819,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.15942467749118805,0.14233897626399994,0.21576224267482758,0.10893726348876953,0.2243070751428604,0.21576224267482758,0.264580100774765,0.19533489644527435,0.17236235737800598,0.1602962166070938,-0.02838491089642048,0.25985562801361084,0.24430087208747864,0.21576224267482758,0.4848237931728363,1.0,0.21118052303791046
games,0.1820194572210312,0.17599987983703613,0.2676136791706085,0.14705710113048553,0.2499092072248459,0.2676136791706085,0.2579078674316406,0.1337311863899231,0.24802106618881226,0.041736580431461334,0.15553481876850128,0.3625812530517578,0.2952845096588135,0.2676136791706085,0.3565964996814728,0.2931278944015503,0.1360001415014267
played,0.14831039309501648,0.2258751392364502,0.2603478729724884,0.15816985070705414,0.21120788156986237,0.2603478729724884,0.20840668678283691,0.240168496966362,0.27605336904525757,0.10978957265615463,0.03920676186680794,0.2688959240913391,0.31373727321624756,0.2603478729724884,0.21511296927928925,0.19033360481262207,0.14096300303936005
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.11450952291488647,0.42558613419532776,0.457212895154953,0.14422428607940674,0.22295412421226501,0.4374977946281433,0.1250557154417038,-0.08481216430664062,0.22218671441078186,0.34237727522850037,0.457212895154953,0.11449114978313446,0.2709662914276123,0.21978627145290375
natural,0.15666867792606354,0.24589021503925323,0.2291368842124939,0.13195578753948212,0.2963479459285736,0.2291368842124939,0.2763864994049072,0.16191783547401428,0.32136213779449463,0.10994745045900345,-0.049410052597522736,0.1219581812620163,0.20802545547485352,0.2291368842124939,0.017671018838882446,0.12008339911699295,0.16155436635017395
