,what,cable,provider,did,abc,reach,an,agreement,with,in,1993,to,carry,it,'s,owned-and-operated,stations,in,abc,o,&,o,markets,?
that,0.6297725439071655,0.22784870862960815,0.3392452001571655,0.47518548369407654,0.17440107464790344,0.27134448289871216,0.365763783454895,0.3057451844215393,0.4154358208179474,0.435920387506485,0.04311354458332062,0.5436353087425232,0.2923817038536072,0.5921133160591125,0.04397977516055107,0.29178351163864136,0.2291857898235321,0.435920387506485,0.17440107464790344,0.14885690808296204,0.13811425864696503,0.14885690808296204,0.2364654839038849,0.32716336846351624
same,0.3764382302761078,0.15717573463916779,0.22839026153087616,0.3097444474697113,0.21684971451759338,0.19275109469890594,0.2785528004169464,0.2317504584789276,0.33861321210861206,0.3692481815814972,-0.09109176695346832,0.3205692768096924,0.1846429854631424,0.3616943955421448,0.0036877936217933893,0.22535812854766846,0.18151001632213593,0.3692481815814972,0.21684971451759338,0.13434605300426483,0.11900120228528976,0.13434605300426483,0.16131164133548737,0.22649677097797394
year,0.15184831619262695,0.1448419839143753,0.14927305281162262,0.21422851085662842,0.2373921275138855,0.17448854446411133,0.17045794427394867,0.22348463535308838,0.3220449686050415,0.3359307050704956,-0.01461737509816885,0.23523004353046417,0.1389605700969696,0.2363913208246231,-0.04087831452488899,0.18463964760303497,0.20752377808094025,0.3359307050704956,0.2373921275138855,0.13260145485401154,0.04340685158967972,0.13260145485401154,0.16247068345546722,0.18315006792545319
",",0.3087472915649414,0.19718225300312042,0.23289695382118225,0.3015086054801941,0.2097204476594925,0.2441277652978897,0.3581022024154663,0.23435252904891968,0.4120737314224243,0.5201468467712402,0.07087638974189758,0.44245919585227966,0.1951419711112976,0.48329564929008484,-0.0016132977325469255,0.32616978883743286,0.26337406039237976,0.5201468467712402,0.2097204476594925,0.2621893286705017,0.2516871392726898,0.2621893286705017,0.24350304901599884,0.31091248989105225
capital,0.17967931926250458,0.1677466779947281,0.16541782021522522,0.08427972346544266,0.2084534764289856,0.0900692269206047,0.15392880141735077,0.21621763706207275,0.13558538258075714,0.3233928978443146,0.02879064530134201,0.1844596415758133,0.12569142878055573,0.27145886421203613,0.01144334115087986,0.2979182302951813,0.18798157572746277,0.3233928978443146,0.2084534764289856,0.1154966726899147,0.04412272945046425,0.1154966726899147,0.28396323323249817,0.0907452180981636
cities/abc,0.17345023155212402,0.2866694927215576,0.31677913665771484,0.11703836172819138,0.37177377939224243,0.10927356034517288,0.17219004034996033,0.15720415115356445,0.21366477012634277,0.3274103105068207,-0.03075595758855343,0.17292656004428864,0.18676108121871948,0.2002565860748291,0.03457126021385193,0.3372940123081207,0.33169248700141907,0.3274103105068207,0.37177377939224243,0.19260209798812866,0.20949049293994904,0.19260209798812866,0.2513488829135895,0.2519042491912842
purchased,0.1431688368320465,0.2691376209259033,0.3532383441925049,0.19566655158996582,0.22144027054309845,0.17026738822460175,0.1749940663576126,0.33910465240478516,0.20240865647792816,0.18043512105941772,-0.022938275709748268,0.18960927426815033,0.21258752048015594,0.21863839030265808,0.09375522285699844,0.535547137260437,0.2587895691394806,0.18043512105941772,0.22144027054309845,0.0909281075000763,0.10185874253511429,0.0909281075000763,0.4216277003288269,0.04121813923120499
the,0.42745697498321533,0.2599749267101288,0.28246623277664185,0.34736719727516174,0.2068762183189392,0.31808504462242126,0.4207492768764496,0.2490699142217636,0.4223487675189972,0.6662389636039734,-0.03424737602472305,0.535392165184021,0.26752355694770813,0.6251175999641418,-0.01540423184633255,0.27652397751808167,0.24762700498104095,0.6662389636039734,0.2068762183189392,0.19071193039417267,0.14992168545722961,0.19071193039417267,0.23818166553974152,0.22068053483963013
french,0.17393042147159576,0.12778827548027039,0.14385153353214264,0.1584041714668274,0.054965220391750336,0.11607938259840012,0.17262065410614014,0.14243154227733612,0.1637353003025055,0.22093388438224792,0.10082433372735977,0.1713797152042389,0.10830725729465485,0.18351560831069946,0.0634014755487442,0.20375631749629974,0.10543664544820786,0.22093388438224792,0.054965220391750336,0.10086376965045929,0.09168469905853271,0.10086376965045929,0.09444046765565872,0.1386883556842804
animation,0.22164176404476166,0.2922804057598114,0.24915793538093567,0.13783329725265503,0.2492457777261734,0.06693810224533081,0.19141925871372223,0.134942427277565,0.1427425891160965,0.1837698221206665,-0.11313467472791672,0.20589326322078705,0.027095042169094086,0.24092254042625427,0.09574256837368011,0.24884939193725586,0.14877983927726746,0.1837698221206665,0.2492457777261734,0.12991082668304443,0.14839880168437958,0.12991082668304443,0.18871302902698517,0.16489346325397491
