,who,scolded,luther,about,his,rudeness,?
his,0.44966956973075867,0.2644050717353821,0.27093374729156494,0.24169853329658508,0.9999998807907104,0.3549917936325073,0.18075084686279297
poor,0.30099374055862427,0.22191503643989563,0.15004777908325195,0.2146407961845398,0.2804878056049347,0.27418431639671326,0.12937016785144806
physical,0.21561264991760254,0.13822709023952484,0.09395226091146469,0.1732972413301468,0.1997232735157013,0.28908029198646545,0.11781801283359528
health,0.2314521074295044,0.20636411011219025,0.17949983477592468,0.25254836678504944,0.25097307562828064,0.2878599762916565,0.16094304621219635
made,0.2576322853565216,0.27535733580589294,0.15519264340400696,0.28390374779701233,0.29201897978782654,0.16963204741477966,0.17218779027462006
him,0.5491244792938232,0.30507591366767883,0.25429821014404297,0.2612628638744354,0.6629161238670349,0.4155554473400116,0.23943768441677094
short-tempered,0.23066672682762146,0.42980697751045227,0.17717163264751434,0.2697256803512573,0.34606698155403137,0.36493009328842163,0.2237992137670517
and,0.41279885172843933,0.2901001274585724,0.20796556770801544,0.3875081241130829,0.4234102666378021,0.23603223264217377,0.20544172823429108
even,0.33644744753837585,0.4012485444545746,0.13474266231060028,0.3887803256511688,0.2842361330986023,0.3234139084815979,0.30082517862319946
harsher,0.2646266222000122,0.34239307045936584,0.22396565973758698,0.24582001566886902,0.20110070705413818,0.3244878947734833,0.21320539712905884
in,0.2792111933231354,0.23386479914188385,0.20523880422115326,0.39797019958496094,0.3598145842552185,0.1105533018708229,0.20430970191955566
his,0.44966956973075867,0.2644050717353821,0.27093374729156494,0.24169853329658508,0.9999998807907104,0.3549917936325073,0.18075084686279297
writings,0.25615644454956055,0.15936462581157684,0.32714858651161194,0.34160128235816956,0.3246472179889679,0.28309136629104614,0.1770159751176834
and,0.41279885172843933,0.2901001274585724,0.20796556770801544,0.3875081241130829,0.4234102666378021,0.23603223264217377,0.20544172823429108
comments,0.253964364528656,0.2843537926673889,0.1768287569284439,0.2763776481151581,0.2170773148536682,0.41702812910079956,0.3595547676086426
.,0.3541337847709656,0.24814800918102264,0.24907569587230682,0.42038556933403015,0.3119256794452667,0.1703091710805893,0.4130953550338745
,who,scolded,luther,about,his,rudeness,?
his,0.44966956973075867,0.2644050717353821,0.27093374729156494,0.24169853329658508,0.9999998807907104,0.3549917936325073,0.18075084686279297
wife,0.3764849305152893,0.1926499754190445,0.22566832602024078,0.2111859768629074,0.4532906115055084,0.2270517796278,0.19987250864505768
katharina,0.2242349237203598,0.1299891471862793,0.34570983052253723,0.15200693905353546,0.17619097232818604,0.23237201571464539,0.13054367899894714
was,0.3318818509578705,0.25239184498786926,0.19185513257980347,0.2577359974384308,0.4405253231525421,0.16165322065353394,0.18412111699581146
overheard,0.30804118514060974,0.3446957468986511,0.23723956942558289,0.22364656627178192,0.3121159076690674,0.31890153884887695,0.23445972800254822
saying,0.3759990632534027,0.3553515374660492,0.22644348442554474,0.36896374821662903,0.31955578923225403,0.4308585822582245,0.36382168531417847
",",0.3365725874900818,0.2732449173927307,0.23255878686904907,0.3877100944519043,0.3378419280052185,0.23877665400505066,0.31091248989105225
``,0.02397952415049076,0.03227582946419716,-0.013964727520942688,0.008102871477603912,0.008275155909359455,0.09535937756299973,0.0685480609536171
dear,0.22398075461387634,0.21680471301078796,0.1654125154018402,0.24595779180526733,0.3176456689834595,0.38440194725990295,0.32834571599960327
husband,0.38604044914245605,0.2155558317899704,0.21358831226825714,0.21324285864830017,0.460519403219223,0.24450571835041046,0.15407632291316986
",",0.3365725874900818,0.2732449173927307,0.23255878686904907,0.3877100944519043,0.3378419280052185,0.23877665400505066,0.31091248989105225
you,0.29019442200660706,0.36721891164779663,0.19897010922431946,0.3038969933986664,0.2438826709985733,0.4266807734966278,0.5839095711708069
are,0.27294138073921204,0.29291650652885437,0.13997888565063477,0.36165615916252136,0.1785505712032318,0.2571098506450653,0.24591213464736938
too,0.292925089597702,0.31597036123275757,0.11522576212882996,0.28111532330513,0.21271850168704987,0.32016849517822266,0.33757779002189636
rude,0.35036003589630127,0.3021060824394226,0.17357231676578522,0.2213110774755478,0.26296743750572205,0.5936737060546875,0.2870999872684479
",",0.3365725874900818,0.2732449173927307,0.23255878686904907,0.3877100944519043,0.3378419280052185,0.23877665400505066,0.31091248989105225
'',0.024401003494858742,0.10227727890014648,-0.04572787508368492,0.007750829216092825,0.016508836299180984,0.03922942280769348,0.018684765323996544
and,0.41279885172843933,0.2901001274585724,0.20796556770801544,0.3875081241130829,0.4234102666378021,0.23603223264217377,0.20544172823429108
he,0.5500732064247131,0.29980888962745667,0.2454872578382492,0.2518255114555359,0.7171558737754822,0.27243882417678833,0.2089974731206894
responded,0.3167848289012909,0.2968592941761017,0.11256400495767593,0.2842569947242737,0.24157361686229706,0.40015333890914917,0.254449725151062
",",0.3365725874900818,0.2732449173927307,0.23255878686904907,0.3877100944519043,0.3378419280052185,0.23877665400505066,0.31091248989105225
``,0.02397952415049076,0.03227582946419716,-0.013964727520942688,0.008102871477603912,0.008275155909359455,0.09535937756299973,0.0685480609536171
they,0.47879111766815186,0.37915268540382385,0.16441592574119568,0.34267860651016235,0.3750406801700592,0.24056081473827362,0.2753053903579712
are,0.27294138073921204,0.29291650652885437,0.13997888565063477,0.36165615916252136,0.1785505712032318,0.2571098506450653,0.24591213464736938
teaching,0.2535073459148407,0.22043003141880035,0.2627531886100769,0.24752666056156158,0.3326769769191742,0.3649727702140808,0.20424684882164001
me,0.2493719607591629,0.2916801869869232,0.22058320045471191,0.2589477300643921,0.2580544352531433,0.3894577622413635,0.4646095037460327
to,0.42656609416007996,0.3108557164669037,0.18029534816741943,0.391953706741333,0.3715193271636963,0.2939594089984894,0.29463258385658264
be,0.3371641933917999,0.3950536251068115,0.15299063920974731,0.26362910866737366,0.21738691627979279,0.32282257080078125,0.3324260413646698
