,at,what,university,'s,facility,did,the,broncos,practice,?
the,0.457212895154953,0.42745697498321533,0.263973206281662,-0.01540423184633255,0.19252020120620728,0.34736719727516174,1.0,0.25985947251319885,0.27333036065101624,0.22068053483963013
broncos,0.23374907672405243,0.1787765771150589,0.32310593128204346,-0.037254199385643005,0.2314012199640274,0.1738176792860031,0.25985947251319885,1.0000001192092896,0.1544426530599594,0.18377114832401276
practiced,0.20187456905841827,0.19797801971435547,0.2665484845638275,0.09300829470157623,0.1930096298456192,0.2674696445465088,0.20430389046669006,0.15887229144573212,0.7772254943847656,0.07469849288463593
at,1.0,0.2838611304759979,0.30386853218078613,-0.08481216430664062,0.2692711055278778,0.28390252590179443,0.457212895154953,0.23374907672405243,0.17058232426643372,0.21978627145290375
stanford,0.3119223415851593,0.20460334420204163,0.5214306712150574,-0.002092467388138175,0.2469954490661621,0.16381965577602386,0.2224142998456955,0.33789780735969543,0.2125338464975357,0.14956782758235931
university,0.30386853218078613,0.20256435871124268,1.0,-0.007441582623869181,0.2896938621997833,0.15114416182041168,0.263973206281662,0.32310593128204346,0.2132919579744339,0.11887256056070328
and,0.3571503460407257,0.31309178471565247,0.2665814459323883,0.06895173341035843,0.2123740017414093,0.34479495882987976,0.5171257257461548,0.20959050953388214,0.2791718542575836,0.20544172823429108
stayed,0.2881714403629303,0.19541862607002258,0.25577598810195923,0.04686899110674858,0.1249115914106369,0.42530572414398193,0.3768083155155182,0.14158828556537628,0.16857481002807617,0.06590735167264938
at,1.0,0.2838611304759979,0.30386853218078613,-0.08481216430664062,0.2692711055278778,0.28390252590179443,0.457212895154953,0.23374907672405243,0.17058232426643372,0.21978627145290375
the,0.457212895154953,0.42745697498321533,0.263973206281662,-0.01540423184633255,0.19252020120620728,0.34736719727516174,1.0,0.25985947251319885,0.27333036065101624,0.22068053483963013
santa,0.22988058626651764,0.23841293156147003,0.176166832447052,-0.05174333602190018,0.15638887882232666,0.11785970628261566,0.23511074483394623,0.272367924451828,0.0811273530125618,0.17321589589118958
clara,0.19180597364902496,0.23403491079807281,0.2139827162027359,0.04011387377977371,0.104305200278759,0.15096807479858398,0.2410326898097992,0.23439905047416687,0.04719958454370499,0.11961202323436737
marriott,0.2200389802455902,0.09404444694519043,0.3143061101436615,-0.040775906294584274,0.21303799748420715,0.17210820317268372,0.2137458175420761,0.2674105763435364,0.18456484377384186,0.16338540613651276
.,0.4549728035926819,0.3567904531955719,0.290679007768631,-0.003708066651597619,0.1676650047302246,0.35288307070732117,0.5934505462646484,0.2612393796443939,0.2513175904750824,0.4130953550338745
