,who,taught,temüjin,early,lessons,about,politics,in,mongolia,?
temüjin,0.416724294424057,0.29555246233940125,1.0,0.3203945755958557,0.2425340861082077,0.2955760359764099,0.30957749485969543,0.3433155417442322,0.461716890335083,0.21090233325958252
grew,0.1660533845424652,0.2813722491264343,0.28345584869384766,0.3645409345626831,0.24785372614860535,0.23795731365680695,0.21001648902893066,0.2749199867248535,0.18048976361751556,0.05505307391285896
up,0.26056501269340515,0.08757881075143814,0.2783955931663513,0.18022514879703522,0.20101459324359894,0.34850332140922546,0.10007590055465698,0.3120773434638977,0.166392520070076,0.1819818764925003
observing,0.22623851895332336,0.16850969195365906,0.13958637416362762,0.23088720440864563,0.1960531622171402,0.2934768795967102,0.17186236381530762,0.2280377447605133,0.03701615333557129,0.17418181896209717
the,0.3733934462070465,0.17271466553211212,0.43713900446891785,0.34442198276519775,0.1640927940607071,0.37995871901512146,0.2115192860364914,0.6662389636039734,0.26887956261634827,0.22068053483963013
tough,0.22748354077339172,0.09212816506624222,0.21953943371772766,0.17761798202991486,0.0914299339056015,0.16931992769241333,0.18816642463207245,0.1541483998298645,0.17437481880187988,0.16948486864566803
political,0.24357503652572632,0.20126990973949432,0.29886260628700256,0.19994845986366272,0.1486620306968689,0.20451058447360992,0.7366124987602234,0.22136160731315613,0.18008466064929962,0.17130474746227264
climate,0.09277761727571487,0.1496162712574005,0.19607846438884735,0.1854027956724167,0.15170036256313324,0.2469775229692459,0.23750130832195282,0.24209141731262207,0.22542338073253632,0.19998492300510406
of,0.2827862501144409,0.23614580929279327,0.378805011510849,0.30937549471855164,0.17860174179077148,0.40939709544181824,0.24890418350696564,0.5696388483047485,0.24969549477100372,0.1826142966747284
mongolia,0.16683310270309448,0.08238967508077621,0.461716890335083,0.21871715784072876,0.07533171027898788,0.19993694126605988,0.15903940796852112,0.22565330564975739,1.0000001192092896,0.12165829539299011
",",0.3365725874900818,0.2902868986129761,0.3484273850917816,0.3022546172142029,0.2731812298297882,0.3877100944519043,0.28683698177337646,0.5201468467712402,0.23564393818378448,0.31091248989105225
