,what,are,the,largest,objects,in,the,v,&,a,ceramics,and,glass,collection,?
the,0.42745697498321533,0.40399202704429626,1.0,0.3757036626338959,0.24716724455356598,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.2034795880317688,0.5171257257461548,0.20646950602531433,0.25281965732574463,0.22068053483963013
largest,0.13463157415390015,0.23992078006267548,0.3757036626338959,0.9999999403953552,0.14424096047878265,0.3017216920852661,0.3757036626338959,0.06051240116357803,0.13004033267498016,0.24042341113090515,0.22064706683158875,0.24602696299552917,0.12659063935279846,0.22454601526260376,0.12401245534420013
objects,0.24020016193389893,0.3614059388637543,0.24716724455356598,0.14424096047878265,1.0000001192092896,0.23406893014907837,0.24716724455356598,0.12864506244659424,0.043518271297216415,0.24898670613765717,0.37168630957603455,0.2794862985610962,0.3234117031097412,0.3340989947319031,0.15479016304016113
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.3017216920852661,0.23406893014907837,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23126716911792755,0.4954058527946472,0.21226459741592407,0.23004686832427979,0.20430970191955566
the,0.42745697498321533,0.40399202704429626,1.0,0.3757036626338959,0.24716724455356598,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.2034795880317688,0.5171257257461548,0.20646950602531433,0.25281965732574463,0.22068053483963013
collection,0.215459942817688,0.22862131893634796,0.25281965732574463,0.22454601526260376,0.3340989947319031,0.23004686832427979,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.2409246265888214,0.2379438579082489,0.20833949744701385,0.9999998807907104,0.20069393515586853
are,0.29724663496017456,1.0,0.40399202704429626,0.23992078006267548,0.3614059388637543,0.3841303884983063,0.40399202704429626,0.07239489257335663,0.17888472974300385,0.265255331993103,0.2688659131526947,0.48576638102531433,0.22719284892082214,0.22862131893634796,0.24591213464736938
a,0.3320399522781372,0.265255331993103,0.5829201340675354,0.24042341113090515,0.24898670613765717,0.539380669593811,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.18882760405540466,0.3739250600337982,0.2592375874519348,0.24716788530349731,0.23916715383529663
series,0.17328087985515594,0.2139665186405182,0.31376904249191284,0.1409410983324051,0.2022794634103775,0.2914260923862457,0.31376904249191284,0.1446637511253357,0.2564862370491028,0.23966510593891144,0.14651791751384735,0.26972857117652893,0.16653026640415192,0.2362504005432129,0.1709602326154709
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.36650770902633667,0.23814009130001068,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.27865979075431824,0.5116966962814331,0.24470314383506775,0.2915455996990204,0.1826142966747284
elaborately,0.31271135807037354,0.30569300055503845,0.2229040414094925,0.02757774293422699,0.3295910358428955,0.1997935175895691,0.2229040414094925,0.13010680675506592,0.1586311310529709,0.21178388595581055,0.26531702280044556,0.3003714978694916,0.26751628518104553,0.2647883892059326,0.22935348749160767
ornamented,0.1646689772605896,0.3254810869693756,0.19412080943584442,0.18210849165916443,0.2935444116592407,0.1962287575006485,0.19412080943584442,-0.011105210520327091,0.12848444283008575,0.21878492832183838,0.3206791877746582,0.2874598801136017,0.3281319737434387,0.31423598527908325,0.14644664525985718
ceramic,0.16606177389621735,0.2461032122373581,0.21109232306480408,0.19611863791942596,0.3461626470088959,0.21737101674079895,0.21109232306480408,0.09104230999946594,0.06525865942239761,0.22480206191539764,0.8952290415763855,0.24743638932704926,0.4974730312824249,0.21442222595214844,0.14732256531715393
stoves,0.22231967747211456,0.30890271067619324,0.27307045459747314,0.1815059334039688,0.3150106966495514,0.2588171362876892,0.27307045459747314,0.1266852766275406,0.12258216738700867,0.3056522309780121,0.3979414105415344,0.2741055190563202,0.4076710045337677,0.1956462264060974,0.17463691532611847
from,0.2737620174884796,0.2674213647842407,0.40150508284568787,0.20374812185764313,0.22604778409004211,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.16016420722007751,0.3601827025413513,0.1566731482744217,0.2754948139190674,0.19969791173934937
the,0.42745697498321533,0.40399202704429626,1.0,0.3757036626338959,0.24716724455356598,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.2034795880317688,0.5171257257461548,0.20646950602531433,0.25281965732574463,0.22068053483963013
16th,0.08221480250358582,0.046213287860155106,0.2201097458600998,0.10571073740720749,0.09108985960483551,0.1515994518995285,0.2201097458600998,0.1764819324016571,0.11967941373586655,0.18024180829524994,0.08243592828512192,0.24571843445301056,0.15341199934482574,0.1372346729040146,0.06695828586816788
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.24602696299552917,0.2794862985610962,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.24298253655433655,1.0,0.2681989371776581,0.2379438579082489,0.20544172823429108
17th,0.15649843215942383,0.15786093473434448,0.2679309546947479,0.24661561846733093,0.11379527300596237,0.17784206569194794,0.2679309546947479,0.14369575679302216,0.0740395113825798,0.18620461225509644,0.1258799284696579,0.2645922303199768,0.20006676018238068,0.07431823760271072,0.096589595079422
centuries,0.18983326852321625,0.23801273107528687,0.32166481018066406,0.25032761693000793,0.20942120254039764,0.2558690905570984,0.32166481018066406,0.10898236930370331,0.08590544015169144,0.12476986646652222,0.2742374837398529,0.29204583168029785,0.1880914866924286,0.2218795269727707,0.13179439306259155
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.26626327633857727,0.21213118731975555,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2683262526988983,0.6633074283599854,0.23527590930461884,0.2277175933122635,0.31091248989105225
made,0.23419176042079926,0.2941095530986786,0.3885267674922943,0.1279991716146469,0.18952734768390656,0.25271502137184143,0.3885267674922943,0.14221197366714478,0.13146528601646423,0.3180864453315735,0.30438661575317383,0.34954607486724854,0.2878947854042053,0.20294539630413055,0.17218779027462006
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.3017216920852661,0.23406893014907837,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23126716911792755,0.4954058527946472,0.21226459741592407,0.23004686832427979,0.20430970191955566
germany,0.21690446138381958,0.19546794891357422,0.3181285262107849,0.19323766231536865,0.18156762421131134,0.3642844259738922,0.3181285262107849,0.15178538858890533,0.11738145351409912,0.2606942057609558,0.11893324553966522,0.29381805658340454,0.17287994921207428,0.0854194387793541,0.1388660967350006
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.24602696299552917,0.2794862985610962,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.24298253655433655,1.0,0.2681989371776581,0.2379438579082489,0.20544172823429108
switzerland,0.10552600771188736,0.14910723268985748,0.25689372420310974,0.16505053639411926,0.14212191104888916,0.35930100083351135,0.25689372420310974,0.09010451287031174,0.07566951215267181,0.21310605108737946,0.20847946405410767,0.20231366157531738,0.161591038107872,0.1509821116924286,0.13347817957401276
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.18871670961380005,0.23188386857509613,0.5591574311256409,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.2098563015460968,0.588965117931366,0.2393880933523178,0.2516246736049652,0.4130953550338745
