,what,percentage,of,the,u.s.,population,self-identify,with,umc,?
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.6662389636039734,-0.003064807504415512,0.3268454372882843,0.23713774979114532,0.4080928862094879,0.15436193346977234,0.20430970191955566
2015,-0.07269049435853958,-0.029794013127684593,0.21138253808021545,0.1466771513223648,0.09034682810306549,0.10743743926286697,-0.06278211623430252,-0.05818283185362816,0.04445567727088928,-0.029954981058835983
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.030410487204790115,0.2967977225780487,0.22771771252155304,0.4120737314224243,0.1953766793012619,0.31091248989105225
pew,0.1485137790441513,0.20680655539035797,0.20374251902103424,0.2575114071369171,-0.06988970190286636,0.2520296573638916,0.26103124022483826,0.1563696414232254,0.31150880455970764,0.17669090628623962
research,0.237140491604805,0.1890716552734375,0.22573977708816528,0.24391183257102966,-0.10686062276363373,0.24899956583976746,0.3009677529335022,0.17809204757213593,0.24150115251541138,0.13481977581977844
estimated,0.19670580327510834,0.3637859523296356,0.30473583936691284,0.29184040427207947,-0.00517821591347456,0.5198360681533813,0.2397480309009552,0.14269694685935974,0.11155924946069717,0.18149758875370026
that,0.6297725439071655,0.3343636393547058,0.41498205065727234,0.5473989248275757,0.006652553100138903,0.20048558712005615,0.3932529389858246,0.4154358208179474,0.26325681805610657,0.32716336846351624
3.6,-0.061203788965940475,0.019935213029384613,0.16182473301887512,0.16381292045116425,-0.011309496127068996,0.275419145822525,-0.035639967769384384,0.030787553638219833,-0.08731746673583984,-0.19496819376945496
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.21490740776062012,0.022205010056495667,0.4585210084915161,0.2032451033592224,0.16614031791687012,0.18546205759048462,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.733189046382904,0.011562774889171124,0.3060894012451172,0.2877925634384155,0.41827285289764404,0.18128293752670288,0.1826142966747284
the,0.42745697498321533,0.2736506462097168,0.733189046382904,1.0,0.06592652946710587,0.32044094800949097,0.30089977383613586,0.4223487675189972,0.21262750029563904,0.22068053483963013
