,where,is,energiprojekt,ab,based,?
the,0.5003893971443176,0.5823672413825989,0.359477698802948,0.14407378435134888,0.29860720038414,0.22068053483963013
company,0.21870826184749603,0.18005689978599548,0.20046575367450714,0.211991548538208,0.26747408509254456,0.12195809185504913
energiprojekt,0.2993680238723755,0.2754059135913849,1.0,0.21460098028182983,0.1829882115125656,0.2522973418235779
ab,0.1472659856081009,0.13701391220092773,0.21460098028182983,1.0,0.11971953511238098,0.1759927123785019
in,0.5344807505607605,0.5394441485404968,0.3209383487701416,0.1283741146326065,0.3070422410964966,0.20430970191955566
sweden,0.16838324069976807,0.15954536199569702,0.28082340955734253,0.1949109435081482,0.09195210784673691,0.1268482208251953
has,0.32190436124801636,0.5668748617172241,0.2508496344089508,0.08662887662649155,0.2381371408700943,0.15994466841220856
made,0.20431210100650787,0.29543453454971313,0.19079841673374176,0.13595889508724213,0.3004448413848877,0.17218779027462006
progress,0.19527779519557953,0.15454937517642975,0.2033054679632187,0.0636075809597969,0.23520661890506744,0.20267242193222046
in,0.5344807505607605,0.5394441485404968,0.3209383487701416,0.1283741146326065,0.3070422410964966,0.20430970191955566
using,0.32120537757873535,0.26543745398521423,0.15748010575771332,0.20658282935619354,0.2953546345233917,0.2804589569568634
modern,0.2249264419078827,0.24170172214508057,0.2279977947473526,0.13997691869735718,0.24341998994350433,0.12475407868623734
materials,0.23344121873378754,0.2010483592748642,0.24776138365268707,0.05396323651075363,0.13859303295612335,0.1301651895046234
for,0.38599511981010437,0.43268078565597534,0.28555119037628174,0.08221383392810822,0.2761107087135315,0.264628142118454
harnessing,0.24977664649486542,0.24242374300956726,0.2677714228630066,0.12480302900075912,0.192658931016922,0.15562471747398376
the,0.5003893971443176,0.5823672413825989,0.359477698802948,0.14407378435134888,0.29860720038414,0.22068053483963013
power,0.1914481520652771,0.15234114229679108,0.320660263299942,0.10235196352005005,0.1195274144411087,0.15304024517536163
of,0.38066378235816956,0.4854315221309662,0.32877352833747864,0.13576503098011017,0.3033197224140167,0.1826142966747284
steam,0.18907299637794495,0.13029660284519196,0.22548584640026093,0.14790964126586914,0.13382546603679657,0.113324373960495
.,0.41390106081962585,0.4569662809371948,0.3307434916496277,0.28026220202445984,0.29699069261550903,0.4130953550338745
