,who,did,emma,marry,?
this,0.3345087468624115,0.3609912693500519,0.14180678129196167,0.21950486302375793,0.3155723512172699
relationship,0.2678191661834717,0.23271940648555756,0.256801962852478,0.404407262802124,0.11361731588840485
eventually,0.3540181517601013,0.36719876527786255,0.19445200264453888,0.31663745641708374,0.13642115890979767
produced,0.12907662987709045,0.16971632838249207,0.21091876924037933,0.1360023468732834,0.1623450517654419
closer,0.19485768675804138,0.2073490172624588,0.0902262032032013,0.21861913800239563,0.13396333158016205
ties,0.16291405260562897,0.1495867371559143,0.16677580773830414,0.15072757005691528,0.08758962154388428
of,0.2827862501144409,0.2513895630836487,0.10641922056674957,0.15853992104530334,0.1826142966747284
blood,0.18777169287204742,0.1921168565750122,0.07949615269899368,0.20577175915241241,0.156274676322937
through,0.17793183028697968,0.14190755784511566,0.11621735990047455,0.1050027459859848,0.16913433372974396
the,0.3733934462070465,0.34736719727516174,0.1441326141357422,0.16624797880649567,0.22068053483963013
marriage,0.26453569531440735,0.26697254180908203,0.3100408911705017,0.6951314806938171,0.13543564081192017
of,0.2827862501144409,0.2513895630836487,0.10641922056674957,0.15853992104530334,0.1826142966747284
emma,0.27862924337387085,0.12491370737552643,0.9999999403953552,0.33726853132247925,0.12976235151290894
",",0.3365725874900818,0.3015086054801941,0.25262224674224854,0.2495274543762207,0.31091248989105225
sister,0.2822686433792114,0.1831069141626358,0.3205066919326782,0.3434101641178131,0.15028199553489685
of,0.2827862501144409,0.2513895630836487,0.10641922056674957,0.15853992104530334,0.1826142966747284
duke,0.20138677954673767,0.18803031742572784,0.310476690530777,0.3167583644390106,0.13699419796466827
richard,0.27835920453071594,0.17407897114753723,0.2951730787754059,0.23474031686782837,0.15003317594528198
ii,0.20800143480300903,0.17836059629917145,0.18520228564739227,0.18949086964130402,0.11928234249353409
of,0.2827862501144409,0.2513895630836487,0.10641922056674957,0.15853992104530334,0.1826142966747284
normandy,0.19740919768810272,0.22076494991779327,0.19325940310955048,0.24882954359054565,0.1584552675485611
",",0.3365725874900818,0.3015086054801941,0.25262224674224854,0.2495274543762207,0.31091248989105225
and,0.41279885172843933,0.34479495882987976,0.20552705228328705,0.252701997756958,0.20544172823429108
king,0.24555552005767822,0.24472618103027344,0.24068419635295868,0.3586818277835846,0.19130074977874756
ethelred,0.3192371428012848,0.2701309025287628,0.3562450706958771,0.4219828248023987,0.24839718639850616
ii,0.20800143480300903,0.17836059629917145,0.18520228564739227,0.18949086964130402,0.11928234249353409
of,0.2827862501144409,0.2513895630836487,0.10641922056674957,0.15853992104530334,0.1826142966747284
england,0.23733465373516083,0.22023706138134003,0.2289736121892929,0.27578073740005493,0.13436897099018097
.,0.3541337847709656,0.35288307070732117,0.24319568276405334,0.19600537419319153,0.4130953550338745
