,who,provides,the,bill,of,quantities,?
under,0.2962189018726349,0.19610582292079926,0.3348022699356079,0.13650529086589813,0.32766106724739075,0.13547377288341522,0.18233340978622437
this,0.3345087468624115,0.29086750745773315,0.6274310946464539,0.1531486064195633,0.45148900151252747,0.30411168932914734,0.3155723512172699
system,0.1550477296113968,0.2612590491771698,0.3233085572719574,0.1204049363732338,0.25597915053367615,0.21819007396697998,0.15556083619594574
",",0.3365725874900818,0.20848950743675232,0.4933079481124878,0.2472437173128128,0.4946078956127167,0.24184036254882812,0.31091248989105225
once,0.3575699031352997,0.162992462515831,0.4227895736694336,0.14667633175849915,0.2879956364631653,0.15411370992660522,0.17750471830368042
the,0.3733934462070465,0.29657405614852905,1.0,0.24155211448669434,0.733189046382904,0.2321729063987732,0.22068053483963013
design,0.12787467241287231,0.2260741889476776,0.27913451194763184,0.13838890194892883,0.2522938847541809,0.22913719713687897,0.16351860761642456
is,0.24293622374534607,0.3195696473121643,0.5823672413825989,0.16088230907917023,0.4854315221309662,0.28369030356407166,0.22961433231830597
completed,0.15320545434951782,0.16925780475139618,0.29278936982154846,0.09153424948453903,0.2491239756345749,0.11615408211946487,0.08272653818130493
by,0.39727845788002014,0.175614595413208,0.4408751428127289,0.14073550701141357,0.3646814823150635,0.26429417729377747,0.17966607213020325
the,0.3733934462070465,0.29657405614852905,1.0,0.24155211448669434,0.733189046382904,0.2321729063987732,0.22068053483963013
design,0.12787467241287231,0.2260741889476776,0.27913451194763184,0.13838890194892883,0.2522938847541809,0.22913719713687897,0.16351860761642456
team,0.22248858213424683,0.0953926295042038,0.22564226388931274,0.0775362178683281,0.20352502167224884,0.10347221791744232,0.11243411153554916
",",0.3365725874900818,0.20848950743675232,0.4933079481124878,0.2472437173128128,0.4946078956127167,0.24184036254882812,0.31091248989105225
a,0.36608949303627014,0.3295193016529083,0.5829201340675354,0.24716360867023468,0.5052502155303955,0.2281755805015564,0.23916715383529663
number,0.21304799616336823,0.20920990407466888,0.35145696997642517,0.12933529913425446,0.2778518795967102,0.4089958071708679,0.19256845116615295
of,0.2827862501144409,0.3119201064109802,0.733189046382904,0.17127205431461334,1.0,0.29088422656059265,0.1826142966747284
construction,0.08125896006822586,0.21721699833869934,0.2671978175640106,0.17591142654418945,0.2815735340118408,0.21269606053829193,0.13494056463241577
companies,0.23784202337265015,0.2820231318473816,0.26917189359664917,0.10152709484100342,0.22608543932437897,0.24575142562389374,0.14365637302398682
or,0.31144875288009644,0.2932921051979065,0.4174870550632477,0.1616130769252777,0.3792596757411957,0.36115363240242004,0.32389625906944275
construction,0.08125896006822586,0.21721699833869934,0.2671978175640106,0.17591142654418945,0.2815735340118408,0.21269606053829193,0.13494056463241577
management,0.14967867732048035,0.3520953059196472,0.26673808693885803,0.12504491209983826,0.31602242588996887,0.23219852149486542,0.15866325795650482
companies,0.23784202337265015,0.2820231318473816,0.26917189359664917,0.10152709484100342,0.22608543932437897,0.24575142562389374,0.14365637302398682
may,0.23082798719406128,0.1411188691854477,0.2694292366504669,0.15351812541484833,0.26447007060050964,0.25225475430488586,0.2768254578113556
then,0.29952746629714966,0.17211760580539703,0.4297412931919098,0.18147318065166473,0.2937326431274414,0.23664650321006775,0.2884598970413208
be,0.3371641933917999,0.26338061690330505,0.4248143136501312,0.14357201755046844,0.33904364705085754,0.4072120785713196,0.3324260413646698
asked,0.38866153359413147,0.16920943558216095,0.25750473141670227,0.18495769798755646,0.20290979743003845,0.10265765339136124,0.28475281596183777
to,0.42656609416007996,0.2667657732963562,0.535392165184021,0.17981381714344025,0.41548454761505127,0.26089707016944885,0.29463258385658264
make,0.28430092334747314,0.3354972004890442,0.3146495521068573,0.16363957524299622,0.2912110388278961,0.32135534286499023,0.28314751386642456
a,0.36608949303627014,0.3295193016529083,0.5829201340675354,0.24716360867023468,0.5052502155303955,0.2281755805015564,0.23916715383529663
bid,0.15758778154850006,0.1158813014626503,0.19956929981708527,0.22397705912590027,0.1715376228094101,0.09900924563407898,0.19390296936035156
for,0.37110671401023865,0.39385566115379333,0.4739971458911896,0.1828024983406067,0.4185989499092102,0.2853712737560272,0.264628142118454
the,0.3733934462070465,0.29657405614852905,1.0,0.24155211448669434,0.733189046382904,0.2321729063987732,0.22068053483963013
work,0.3146236836910248,0.20986239612102509,0.2704800069332123,0.11657189577817917,0.23473061621189117,0.24511398375034332,0.2621155381202698
",",0.3365725874900818,0.20848950743675232,0.4933079481124878,0.2472437173128128,0.4946078956127167,0.24184036254882812,0.31091248989105225
either,0.2945728600025177,0.22787058353424072,0.3795609474182129,0.11634114384651184,0.24225673079490662,0.3276873528957367,0.31498292088508606
based,0.20479141175746918,0.27720019221305847,0.29860720038414,0.05740524083375931,0.3033197224140167,0.18078336119651794,0.134929820895195
directly,0.2773066759109497,0.27329689264297485,0.4502958655357361,0.1526544839143753,0.2998887896537781,0.29291194677352905,0.2187996357679367
on,0.2340552806854248,0.2614932358264923,0.5107308030128479,0.1958429217338562,0.3966929316520691,0.18899288773536682,0.2714994251728058
the,0.3733934462070465,0.29657405614852905,1.0,0.24155211448669434,0.733189046382904,0.2321729063987732,0.22068053483963013
design,0.12787467241287231,0.2260741889476776,0.27913451194763184,0.13838890194892883,0.2522938847541809,0.22913719713687897,0.16351860761642456
",",0.3365725874900818,0.20848950743675232,0.4933079481124878,0.2472437173128128,0.4946078956127167,0.24184036254882812,0.31091248989105225
or,0.31144875288009644,0.2932921051979065,0.4174870550632477,0.1616130769252777,0.3792596757411957,0.36115363240242004,0.32389625906944275
on,0.2340552806854248,0.2614932358264923,0.5107308030128479,0.1958429217338562,0.3966929316520691,0.18899288773536682,0.2714994251728058
the,0.3733934462070465,0.29657405614852905,1.0,0.24155211448669434,0.733189046382904,0.2321729063987732,0.22068053483963013
basis,0.24115082621574402,0.3660842776298523,0.2758672833442688,0.13259835541248322,0.282950758934021,0.3240310847759247,0.14255106449127197
of,0.2827862501144409,0.3119201064109802,0.733189046382904,0.17127205431461334,1.0,0.29088422656059265,0.1826142966747284
drawings,0.20902255177497864,0.18585999310016632,0.19117170572280884,0.12816551327705383,0.23873206973075867,0.21144698560237885,0.15541397035121918
and,0.41279885172843933,0.28077030181884766,0.5171257257461548,0.24696701765060425,0.5116966962814331,0.30532482266426086,0.20544172823429108
a,0.36608949303627014,0.3295193016529083,0.5829201340675354,0.24716360867023468,0.5052502155303955,0.2281755805015564,0.23916715383529663
bill,0.19545355439186096,0.08089577406644821,0.24155211448669434,0.9999999403953552,0.17127205431461334,0.06884851306676865,0.12855131924152374
of,0.2827862501144409,0.3119201064109802,0.733189046382904,0.17127205431461334,1.0,0.29088422656059265,0.1826142966747284
quantities,0.1425330638885498,0.27347075939178467,0.2321729063987732,0.06884851306676865,0.29088422656059265,1.0,0.18230070173740387
provided,0.18789203464984894,0.7131780982017517,0.304488867521286,0.1218065470457077,0.272808313369751,0.2784333825111389,0.16893617808818817
by,0.39727845788002014,0.175614595413208,0.4408751428127289,0.14073550701141357,0.3646814823150635,0.26429417729377747,0.17966607213020325
a,0.36608949303627014,0.3295193016529083,0.5829201340675354,0.24716360867023468,0.5052502155303955,0.2281755805015564,0.23916715383529663
quantity,0.11572976410388947,0.22034135460853577,0.21664854884147644,0.08359077572822571,0.2326967865228653,0.8127679824829102,0.23787394165992737
surveyor,0.296164870262146,0.20064657926559448,0.2486654818058014,0.1467568725347519,0.25718656182289124,0.21014568209648132,0.0702582448720932
.,0.3541337847709656,0.1774633228778839,0.5934505462646484,0.2289014607667923,0.5352458953857422,0.22739656269550323,0.4130953550338745
