,what,was,the,most,important,discovery,that,led,to,the,understanding,that,earth,'s,lithosphere,is,separated,into,tectonic,plates,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.41416558623313904,0.3796374499797821,0.23947767913341522,0.435920387506485,0.2990247309207916,0.45010748505592346,0.6662389636039734,0.23784463107585907,0.435920387506485,0.18566735088825226,-0.037580832839012146,0.2248716950416565,0.5394441485404968,0.26304155588150024,0.38021373748779297,0.22851157188415527,0.17680886387825012,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.39348116517066956,0.29877567291259766,0.5473989248275757,0.3267505168914795,0.535392165184021,1.0,0.3089916408061981,0.5473989248275757,0.2801888585090637,-0.01540423184633255,0.28085029125213623,0.5823672413825989,0.27899038791656494,0.39493247866630554,0.3249375522136688,0.2566349506378174,0.22068053483963013
1960s,-0.17530474066734314,-0.029007330536842346,-0.06868536025285721,-0.04711916670203209,0.017875390127301216,0.0008266905206255615,-0.16963623464107513,-0.07408452033996582,-0.1955609768629074,-0.06868536025285721,-0.179173082113266,-0.16963623464107513,-0.045589692890644073,0.03265397250652313,-0.014792853966355324,0.053287625312805176,-0.03213759884238243,-0.07450207322835922,0.0761878713965416,-0.05949707329273224,-0.08257022500038147
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.1846623718738556,0.4137537479400635,0.22548827528953552,0.44245919585227966,0.4933079481124878,0.2624114453792572,0.4137537479400635,0.23186853528022766,-0.0016132977325469255,0.2066507637500763,0.4691906273365021,0.285319983959198,0.2826121151447296,0.2164171040058136,0.17598696053028107,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3508910834789276,0.2963852882385254,0.17069070041179657,0.47537946701049805,0.19072435796260834,0.45503583550453186,0.5829201340675354,0.3053482472896576,0.47537946701049805,0.21121151745319366,0.04866964742541313,0.23503807187080383,0.658733606338501,0.20032064616680145,0.3461161255836487,0.2037399262189865,0.22737491130828857,0.23916715383529663
series,0.17328087985515594,0.2261398285627365,0.31376904249191284,0.20793810486793518,0.12366285920143127,0.18587669730186462,0.24595457315444946,0.19765207171440125,0.19879554212093353,0.31376904249191284,0.23895545303821564,0.24595457315444946,0.23707154393196106,0.0006390819908119738,0.16261626780033112,0.20355552434921265,0.1474408656358719,0.16260218620300293,0.1472925841808319,0.1833595335483551,0.1709602326154709
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.4178851246833801,0.43301743268966675,0.2566966712474823,0.41498205065727234,0.32918456196784973,0.41548454761505127,0.733189046382904,0.31433331966400146,0.41498205065727234,0.2329314798116684,-0.03817026689648628,0.2557520568370819,0.4854315221309662,0.27533861994743347,0.32255905866622925,0.2780241370201111,0.22298482060432434,0.1826142966747284
discoveries,0.21252432465553284,0.22532552480697632,0.296929270029068,0.2623707056045532,0.35491958260536194,0.7859605550765991,0.26506713032722473,0.2543456256389618,0.1769595891237259,0.296929270029068,0.35476046800613403,0.26506713032722473,0.2096988409757614,-0.06090160831809044,0.2719302773475647,0.17839635908603668,0.16494886577129364,0.18439820408821106,0.29689034819602966,0.3048090934753418,0.1343231350183487
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.1846623718738556,0.4137537479400635,0.22548827528953552,0.44245919585227966,0.4933079481124878,0.2624114453792572,0.4137537479400635,0.23186853528022766,-0.0016132977325469255,0.2066507637500763,0.4691906273365021,0.285319983959198,0.2826121151447296,0.2164171040058136,0.17598696053028107,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.47635307908058167,0.39348116517066956,0.29877567291259766,0.5473989248275757,0.3267505168914795,0.535392165184021,1.0,0.3089916408061981,0.5473989248275757,0.2801888585090637,-0.01540423184633255,0.28085029125213623,0.5823672413825989,0.27899038791656494,0.39493247866630554,0.3249375522136688,0.2566349506378174,0.22068053483963013
