,what,year,did,charles,avison,die,in,newcastle,?
charles,0.18606366217136383,0.17921052873134613,0.11287324130535126,1.0000001192092896,0.3138812780380249,0.07876019179821014,0.21346928179264069,0.23244890570640564,0.17366734147071838
avison,0.19985678791999817,0.16033928096294403,0.1912604719400406,0.3138812780380249,1.0,0.11385085433721542,0.2690642476081848,0.34595543146133423,0.22081154584884644
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.24990057945251465,0.38442009687423706,0.23915338516235352,0.5201468467712402,0.251589834690094,0.31091248989105225
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.20777860283851624,0.2615819275379181,0.2242266982793808,0.6662389636039734,0.2253497689962387,0.22068053483963013
leading,0.197072371840477,0.23067477345466614,0.20311816036701202,0.14795584976673126,0.20905709266662598,0.19205445051193237,0.33273574709892273,0.18598178029060364,0.1360926628112793
british,0.19255435466766357,0.16501371562480927,0.2039594054222107,0.21354958415031433,0.295756071805954,0.09507467597723007,0.23084034025669098,0.2082098126411438,0.09711728990077972
composer,0.18320460617542267,0.21225714683532715,0.17356199026107788,0.2516932785511017,0.26112544536590576,0.11117397993803024,0.1647397130727768,0.17693772912025452,0.17525890469551086
of,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.22512592375278473,0.24789214134216309,0.21324244141578674,0.5696388483047485,0.18781472742557526,0.1826142966747284
concertos,0.18843689560890198,0.2189628928899765,0.21017789840698242,0.17067942023277283,0.2455148845911026,0.2214231938123703,0.25390860438346863,0.15143372118473053,0.18508778512477875
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.21346928179264069,0.2690642476081848,0.18641351163387299,1.0,0.19270820915699005,0.20430970191955566
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.20777860283851624,0.2615819275379181,0.2242266982793808,0.6662389636039734,0.2253497689962387,0.22068053483963013
18th,0.173826202750206,0.24683165550231934,0.14576448500156403,0.18825902044773102,0.18789318203926086,0.1520683914422989,0.19408075511455536,0.1583918035030365,0.11879357695579529
century,0.20422613620758057,0.3134029805660248,0.2333737462759018,0.23323561251163483,0.21669037640094757,0.09437399357557297,0.3174034655094147,0.17024719715118408,0.1026201918721199
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.24990057945251465,0.38442009687423706,0.23915338516235352,0.5201468467712402,0.251589834690094,0.31091248989105225
was,0.22111038863658905,0.3209837079048157,0.41399896144866943,0.28342804312705994,0.34518909454345703,0.15500055253505707,0.45514053106307983,0.25710436701774597,0.18412111699581146
born,0.16581368446350098,0.1811392456293106,0.15831230580806732,0.24112732708454132,0.360734224319458,0.11046277731657028,0.30027052760124207,0.2374611496925354,0.19166848063468933
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.21346928179264069,0.2690642476081848,0.18641351163387299,1.0,0.19270820915699005,0.20430970191955566
newcastle,0.16276082396507263,0.18703900277614594,0.18762841820716858,0.23244890570640564,0.34595543146133423,0.07978998124599457,0.19270820915699005,1.0000001192092896,0.0902252271771431
upon,0.2878674864768982,0.09947951138019562,0.1879829615354538,0.17797350883483887,0.1482504904270172,0.06979172676801682,0.20347267389297485,0.3827606737613678,0.13780277967453003
tyne,0.14296641945838928,0.08093351125717163,0.12907084822654724,0.21240775287151337,0.32958275079727173,0.03312575817108154,0.20370638370513916,0.6070957183837891,0.07377036660909653
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.21346928179264069,0.2690642476081848,0.18641351163387299,1.0,0.19270820915699005,0.20430970191955566
1709,-0.011308128945529461,0.15093421936035156,-0.0014046021969988942,0.20724773406982422,0.19423332810401917,0.009620356373488903,0.07398676127195358,0.09652004390954971,0.08219385892152786
and,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.23640480637550354,0.2996719479560852,0.15050403773784637,0.4954058527946472,0.20204751193523407,0.20544172823429108
died,0.11138711869716644,0.23179858922958374,0.2759808599948883,0.24916048347949982,0.25090861320495605,0.3548888862133026,0.25881269574165344,0.21536575257778168,0.15254227817058563
there,0.35085538029670715,0.23605135083198547,0.29736605286598206,0.11001649498939514,0.17021901905536652,0.16075079143047333,0.5361666083335876,0.1536160409450531,0.29405656456947327
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.21346928179264069,0.2690642476081848,0.18641351163387299,1.0,0.19270820915699005,0.20430970191955566
1770,0.03247795253992081,0.06263454258441925,-0.004285134375095367,-0.024101359769701958,0.04114297404885292,-0.0985756516456604,0.011090446263551712,0.020458737388253212,0.095426045358181
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.2551998198032379,0.33062484860420227,0.2658497095108032,0.5591574311256409,0.2714749276638031,0.4130953550338745
