,what,does,the,first,minister,deliver,at,the,beginning,of,each,parliamentary,year,?
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.3800288736820221,0.1931433081626892,0.2873070538043976,0.34237727522850037,0.4739971458911896,0.2987837791442871,0.4185989499092102,0.3044290542602539,0.242863729596138,0.29294124245643616,0.264628142118454
example,0.3456268310546875,0.3593006134033203,0.3755223751068115,0.24618929624557495,0.1479288935661316,0.24844282865524292,0.21853865683078766,0.3755223751068115,0.27551379799842834,0.3570667505264282,0.38267919421195984,0.1701846718788147,0.19735495746135712,0.30374911427497864
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.34503069519996643,0.24737542867660522,0.1787567138671875,0.38314947485923767,0.4933079481124878,0.31347912549972534,0.4946078956127167,0.207483172416687,0.23071794211864471,0.28560417890548706,0.31091248989105225
at,0.2838611304759979,0.17465277016162872,0.457212895154953,0.3138778805732727,0.12735222280025482,0.15578272938728333,1.0,0.457212895154953,0.3329997658729553,0.42558613419532776,0.21600523591041565,0.15703587234020233,0.3146436810493469,0.21978627145290375
the,0.42745697498321533,0.35928019881248474,1.0,0.49448907375335693,0.19297581911087036,0.25501659512519836,0.457212895154953,1.0,0.49622642993927,0.733189046382904,0.470844566822052,0.2708897888660431,0.3609684407711029,0.22068053483963013
beginning,0.3351518511772156,0.22459293901920319,0.49622642993927,0.4832592010498047,0.16097764670848846,0.18269070982933044,0.3329997658729553,0.49622642993927,0.9999998807907104,0.36558160185813904,0.31690895557403564,0.17855794727802277,0.38203126192092896,0.19413669407367706
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.3536086082458496,0.23343199491500854,0.18715758621692657,0.42558613419532776,0.733189046382904,0.36558160185813904,1.0,0.38460010290145874,0.33805084228515625,0.2578314542770386,0.1826142966747284
each,0.3353266417980194,0.31699198484420776,0.470844566822052,0.35237833857536316,0.0329749695956707,0.20330534875392914,0.21600523591041565,0.470844566822052,0.31690895557403564,0.38460010290145874,1.0,0.18104569613933563,0.286208838224411,0.21173812448978424
parliamentary,0.23120512068271637,0.20548999309539795,0.2708897888660431,0.20946794748306274,0.46604806184768677,0.17426805198192596,0.15703587234020233,0.2708897888660431,0.17855794727802277,0.33805084228515625,0.18104569613933563,1.0,0.09312421828508377,0.1612216979265213
year,0.15184831619262695,0.16000528633594513,0.3609684407711029,0.3099139928817749,0.14093878865242004,0.23555240035057068,0.3146436810493469,0.3609684407711029,0.38203126192092896,0.2578314542770386,0.286208838224411,0.09312421828508377,1.0,0.18315006792545319
