,what,is,the,united,methodist,church,?
the,0.42745697498321533,0.5823672413825989,1.0,0.34367692470550537,0.21922016143798828,0.23846197128295898,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,1.0000001192092896,0.3283560872077942,0.19284281134605408,0.17266890406608582
methodist,0.17637217044830322,0.14683330059051514,0.21922016143798828,0.3283560872077942,1.0,0.6119816899299622,0.1436992734670639
church,0.1944202184677124,0.203276589512825,0.23846197128295898,0.19284281134605408,0.6119816899299622,0.9999999403953552,0.18081501126289368
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.21098394691944122,0.1986307054758072,0.17581534385681152,0.40561532974243164
umc,0.2557855546474457,0.21909049153327942,0.21262750029563904,0.1928277611732483,0.2650960683822632,0.20494024455547333,0.2609967589378357
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.20623768866062164,0.2131137251853943,0.1983546018600464,0.42300865054130554
is,0.28837618231773376,1.0,0.5823672413825989,0.22408509254455566,0.14683330059051514,0.203276589512825,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2732578217983246,0.24651029706001282,0.19588641822338104,0.23916715383529663
mainline,0.16564925014972687,0.21104274690151215,0.3012564480304718,0.2773432731628418,0.26830798387527466,0.28134065866470337,0.18302324414253235
protestant,0.23531195521354675,0.1688958704471588,0.2679212689399719,0.18336354196071625,0.5382401943206787,0.590944766998291,0.14798137545585632
methodist,0.17637217044830322,0.14683330059051514,0.21922016143798828,0.3283560872077942,1.0,0.6119816899299622,0.1436992734670639
denomination,0.24481600522994995,0.22500525414943695,0.26250898838043213,0.22201207280158997,0.5030563473701477,0.5308495759963989,0.2643771171569824
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.3406063914299011,0.30669423937797546,0.28898224234580994,0.4130953550338745
