,what,is,the,effect,of,beta,decay,?
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.27630379796028137,0.48690423369407654,0.18733064830303192,0.2087838351726532,0.15103481709957123
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.22101694345474243,0.4178851246833801,0.1411626785993576,0.1766703575849533,0.2107497900724411
familiar,0.40296757221221924,0.19191116094589233,0.252662718296051,0.23824432492256165,0.26152390241622925,0.1550837755203247,0.13751475512981415,0.2747369706630707
effect,0.2546532452106476,0.17614969611167908,0.2865084111690521,1.0,0.24129827320575714,0.2334318459033966,0.21336108446121216,0.1783771812915802
is,0.28837618231773376,1.0,0.5823672413825989,0.17614969611167908,0.4854315221309662,0.18818753957748413,0.2197335660457611,0.22961433231830597
beta,0.1807221919298172,0.18818753957748413,0.20390360057353973,0.2334318459033966,0.14660470187664032,1.0,0.41951361298561096,0.1808648556470871
decay,0.19008733332157135,0.2197335660457611,0.19517692923545837,0.21336108446121216,0.23059330880641937,0.41951361298561096,1.0,0.14745593070983887
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.14807337522506714,0.35032153129577637,0.16081276535987854,0.11736951023340225,0.40561532974243164
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24129827320575714,1.0,0.14660470187664032,0.23059330880641937,0.1826142966747284
neutrons,0.197556734085083,0.18578003346920013,0.20993134379386902,0.2457936704158783,0.21559952199459076,0.4074878692626953,0.6063968539237976,0.12653736770153046
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.25150683522224426,0.5696388483047485,0.1952218860387802,0.15735839307308197,0.20430970191955566
atomic,0.24257957935333252,0.1635025292634964,0.20241498947143555,0.22671733796596527,0.2374633401632309,0.25446873903274536,0.43108877539634705,0.16654692590236664
nuclei,0.19931645691394806,0.2258600890636444,0.1860578954219818,0.2316049039363861,0.22407028079032898,0.40230026841163635,0.5024129748344421,0.14270271360874176
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1535777598619461,0.3680361211299896,0.15893292427062988,0.10093313455581665,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23508284986019135,0.5116966962814331,0.21016964316368103,0.22840984165668488,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.2865084111690521,0.733189046382904,0.20390360057353973,0.19517692923545837,0.22068053483963013
associated,0.15836219489574432,0.2300606518983841,0.2742886245250702,0.2144554853439331,0.3077163100242615,0.16095517575740814,0.21930110454559326,0.1453326791524887
radioactivity,0.2828071415424347,0.2413831353187561,0.22687268257141113,0.3202108144760132,0.2589235305786133,0.30251866579055786,0.6033996343612671,0.1957060694694519
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2277858853340149,0.5352458953857422,0.217173770070076,0.22214375436306,0.4130953550338745
