,when,is,the,sicilian,tristan,quilt,dated,?
one,0.38307374715805054,0.4544198513031006,0.5514441132545471,0.18837970495224,0.13557983934879303,0.22045409679412842,0.17455975711345673,0.2673267424106598
of,0.3757161796092987,0.4854315221309662,0.733189046382904,0.23206602036952972,0.15111105144023895,0.25940898060798645,0.210488960146904,0.1826142966747284
the,0.5091903209686279,0.5823672413825989,1.0,0.21240513026714325,0.17579536139965057,0.25518253445625305,0.2046709507703781,0.22068053483963013
earliest,0.1827615648508072,0.22056961059570312,0.32825469970703125,0.16059096157550812,0.1069481372833252,0.2484719306230545,0.39019903540611267,0.139415442943573
surviving,0.23499177396297455,0.21385541558265686,0.3328552544116974,0.2790937125682831,0.17423264682292938,0.23399971425533295,0.26516610383987427,0.1395692080259323
examples,0.2518409192562103,0.29282552003860474,0.30092597007751465,0.1475696712732315,0.13050997257232666,0.20458634197711945,0.11911138892173767,0.19976599514484406
of,0.3757161796092987,0.4854315221309662,0.733189046382904,0.23206602036952972,0.15111105144023895,0.25940898060798645,0.210488960146904,0.1826142966747284
european,0.1717725396156311,0.16083641350269318,0.3423081040382385,0.29677778482437134,0.2523471713066101,0.07693658024072647,0.13583698868751526,0.14560863375663757
quilting,0.28690990805625916,0.22985032200813293,0.2540039122104645,0.18002155423164368,0.06415800750255585,0.727308452129364,0.19920551776885986,0.17178861796855927
",",0.36674630641937256,0.4691906273365021,0.4933079481124878,0.21046201884746552,0.23840835690498352,0.22400788962841034,0.2621086835861206,0.31091248989105225
the,0.5091903209686279,0.5823672413825989,1.0,0.21240513026714325,0.17579536139965057,0.25518253445625305,0.2046709507703781,0.22068053483963013
late,0.29498016834259033,0.20186106860637665,0.31481194496154785,0.1559770256280899,0.09745366126298904,0.1838138848543167,0.289897620677948,0.11339222639799118
14th-century,0.24553334712982178,0.19050055742263794,0.3126668930053711,0.21044988930225372,0.25836479663848877,0.20284844934940338,0.27154234051704407,0.09547005593776703
sicilian,0.1299944967031479,0.13870833814144135,0.21240513026714325,0.9999998807907104,0.24042966961860657,0.22319696843624115,0.1454157680273056,0.12409627437591553
tristan,0.18800599873065948,0.14995960891246796,0.17579536139965057,0.24042966961860657,1.0000001192092896,0.06529543548822403,0.1832965463399887,0.09253475815057755
quilt,0.20991219580173492,0.21609365940093994,0.25518253445625305,0.22319696843624115,0.06529543548822403,1.0000001192092896,0.15888679027557373,0.12312470376491547
",",0.36674630641937256,0.4691906273365021,0.4933079481124878,0.21046201884746552,0.23840835690498352,0.22400788962841034,0.2621086835861206,0.31091248989105225
is,0.3471449911594391,1.0,0.5823672413825989,0.13870833814144135,0.14995960891246796,0.21609365940093994,0.13580690324306488,0.22961433231830597
also,0.5475645065307617,0.5012649297714233,0.6021018624305725,0.22746337950229645,0.1693798452615738,0.26068246364593506,0.10305439680814743,0.21848613023757935
held,0.1848648637533188,0.19884860515594482,0.32185450196266174,0.12354645133018494,0.06823421269655228,0.2349894940853119,0.20315128564834595,0.14103956520557404
by,0.4376842677593231,0.3899846076965332,0.4408751428127289,0.15661782026290894,0.13483670353889465,0.14441370964050293,0.18139129877090454,0.17966607213020325
the,0.5091903209686279,0.5823672413825989,1.0,0.21240513026714325,0.17579536139965057,0.25518253445625305,0.2046709507703781,0.22068053483963013
collection,0.13679222762584686,0.21135231852531433,0.25281965732574463,0.1552448868751526,0.10640779882669449,0.1953679919242859,0.19724096357822418,0.20069393515586853
.,0.475719153881073,0.4569662809371948,0.5934505462646484,0.18946656584739685,0.20209316909313202,0.21022765338420868,0.2194228619337082,0.4130953550338745
