,when,was,the,last,episode,of,the,original,series,?
doctor,0.16867952048778534,0.19672659039497375,0.2820442318916321,0.14827261865139008,0.2940889000892639,0.16895952820777893,0.2820442318916321,0.13737785816192627,0.2712797522544861,0.1462511420249939
who,0.48282691836357117,0.3318818509578705,0.3733934462070465,0.30598369240760803,0.2015407234430313,0.2827862501144409,0.3733934462070465,0.1785319596529007,0.21484537422657013,0.26220351457595825
originally,0.3108700215816498,0.5204543471336365,0.36820849776268005,0.24191176891326904,0.17068684101104736,0.21349623799324036,0.36820849776268005,0.5966677069664001,0.2600085735321045,0.07821967452764511
ran,0.1778479516506195,0.3893149197101593,0.28357353806495667,0.18454605340957642,0.1809777319431305,0.21351689100265503,0.28357353806495667,0.19018512964248657,0.28360751271247864,0.11304427683353424
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.3043119013309479,0.17981192469596863,0.4185989499092102,0.4739971458911896,0.2975997030735016,0.2715710699558258,0.264628142118454
26,0.08542202413082123,0.15403041243553162,0.11227777600288391,0.09482535719871521,0.15377525985240936,0.0640103667974472,0.11227777600288391,0.11510315537452698,0.12810680270195007,-0.05200668424367905
seasons,0.1706220507621765,0.24377715587615967,0.24226845800876617,0.23539626598358154,0.34398454427719116,0.20746608078479767,0.24226845800876617,0.17992128431797028,0.35102206468582153,0.13766995072364807
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.2517152428627014,0.28993746638298035,0.3966929316520691,0.5107308030128479,0.21149557828903198,0.23828625679016113,0.2714994251728058
bbc,0.19045519828796387,0.19087861478328705,0.2735401690006256,0.17806288599967957,0.3176216185092926,0.1797877550125122,0.2735401690006256,0.16681616008281708,0.31758952140808105,0.20556949079036713
one,0.38307374715805054,0.3752199709415436,0.5514441132545471,0.3381962776184082,0.20317377150058746,0.4999135136604309,0.5514441132545471,0.35621145367622375,0.21504130959510803,0.2673267424106598
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.29026782512664795,0.18198037147521973,0.4946078956127167,0.4933079481124878,0.23508994281291962,0.24060699343681335,0.31091248989105225
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.235591322183609,0.18589910864830017,0.4249346852302551,0.40150508284568787,0.233787402510643,0.20279763638973236,0.19969791173934937
23,0.0008026579744182527,-0.04668274149298668,-0.04008803516626358,-0.04149150103330612,-0.08418307453393936,-0.01973372884094715,-0.04008803516626358,-0.07869958132505417,-0.10668274015188217,0.012076443061232567
november,0.2606481611728668,0.4240739941596985,0.25734350085258484,0.2684473991394043,0.20623475313186646,0.19941139221191406,0.25734350085258484,0.09696900099515915,0.15890206396579742,0.3159552216529846
1963,-0.029794543981552124,0.0005160232540220022,0.03728247061371803,-0.09609397500753403,-0.029357485473155975,0.040411919355392456,0.03728247061371803,-0.027743469923734665,0.038042102009058,0.03411978855729103
until,0.494509756565094,0.43126991391181946,0.37191009521484375,0.38339319825172424,0.20898890495300293,0.2787701487541199,0.37191009521484375,0.2212042659521103,0.20481762290000916,0.20304496586322784
6,0.11803975701332092,0.021614471450448036,0.041227471083402634,-0.059903886169195175,-0.0027084231842309237,0.055943556129932404,0.041227471083402634,0.043538473546504974,-0.05727657675743103,0.045001473277807236
december,0.28435230255126953,0.41127854585647583,0.23266014456748962,0.20362061262130737,0.19132000207901,0.1503814309835434,0.23266014456748962,0.1263897866010666,0.13597121834754944,0.2480352818965912
1989,-0.1379205584526062,0.06480737775564194,-0.009533590637147427,0.029570750892162323,0.011097845621407032,0.01702592521905899,-0.009533590637147427,0.0062954905442893505,0.04167081043124199,0.08110656589269638
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.3548945486545563,0.23102888464927673,0.5352458953857422,0.5934505462646484,0.275844931602478,0.3121925890445709,0.4130953550338745
