,what,was,the,first,public,building,to,be,lit,by,electric,light,in,newcastle,?
operating,0.25311869382858276,0.22596235573291779,0.28778329491615295,0.20385541021823883,0.2684173285961151,0.29265284538269043,0.27687832713127136,0.26751333475112915,0.10191825777292252,0.18530799448490143,0.2860467731952667,0.19302497804164886,0.2706070840358734,0.22439521551132202,0.15840965509414673
since,0.29783400893211365,0.4384658932685852,0.4054957628250122,0.42581459879875183,0.19604887068271637,0.20161990821361542,0.3733763098716736,0.3591734766960144,0.0828956738114357,0.32704517245292664,0.21525651216506958,0.1736241728067398,0.4325680434703827,0.21187444031238556,0.2876587212085724
1793,0.11329496651887894,0.06818362325429916,0.10651886463165283,0.0746038630604744,0.08596056699752808,0.06377069652080536,0.0734686478972435,0.07924030721187592,0.05628377944231033,0.13928315043449402,0.054100725799798965,0.023762287572026253,0.10566750168800354,0.08652915060520172,0.17686468362808228
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.3227643668651581,0.2593274712562561,0.48971283435821533,0.41766801476478577,0.16350990533828735,0.4289871156215668,0.212884783744812,0.20458035171031952,0.4954058527946472,0.20204751193523407,0.20544172823429108
founded,0.1163782924413681,0.36917948722839355,0.2840350568294525,0.29694172739982605,0.19852060079574585,0.22556813061237335,0.15697255730628967,0.06928835064172745,0.049849092960357666,0.264241099357605,0.15389710664749146,0.028565069660544395,0.24877111613750458,0.23992013931274414,0.09119737893342972
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.33842000365257263,0.2423635572195053,0.23924584686756134,0.42092081904411316,0.5230465531349182,0.07845994830131531,0.3815547823905945,0.18756335973739624,0.25754430890083313,0.3887844979763031,0.21526619791984558,0.27043893933296204
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.19607044756412506,0.2576078176498413,0.45503583550453186,0.39883795380592346,0.19410212337970734,0.32094135880470276,0.24061402678489685,0.2622554302215576,0.539380669593811,0.21405641734600067,0.23916715383529663
‘,0.16325587034225464,0.22974365949630737,0.2720426023006439,0.261839896440506,0.13888725638389587,0.14202304184436798,0.17299921810626984,0.1454440951347351,0.2031370997428894,0.12449610233306885,0.04001917317509651,0.11854841560125351,0.29093801975250244,0.08531785756349564,0.1448942869901657
conversation,0.35883522033691406,0.14932553470134735,0.2044977843761444,0.192352756857872,0.21790483593940735,0.13254207372665405,0.27626293897628784,0.26029860973358154,0.119489386677742,0.2239757627248764,0.1551632285118103,0.14177066087722778,0.13432638347148895,0.17270717024803162,0.3075454533100128
club,0.11263371258974075,0.22850245237350464,0.23249365389347076,0.16412177681922913,0.16003254055976868,0.16936074197292328,0.16831053793430328,0.13883644342422485,0.040024589747190475,0.14662392437458038,0.13195744156837463,0.14778615534305573,0.2541219890117645,0.29002583026885986,0.1374303698539734
