,what,type,of,soil,is,considered,a,product,of,soil,management,by,indigenous,peoples,in,the,amazon,forest,?
terra,0.1928153783082962,0.04689149558544159,0.1871613711118698,0.2062738686800003,0.1469227522611618,0.11253330856561661,0.15864808857440948,0.14112763106822968,0.1871613711118698,0.2062738686800003,0.14253325760364532,0.17190289497375488,0.2920810878276825,0.16934894025325775,0.1328161656856537,0.19379344582557678,0.27570641040802,0.19643142819404602,0.15037380158901215
preta,0.1996321976184845,0.1162949800491333,0.14621321856975555,0.07049031555652618,0.19209076464176178,0.1124022826552391,0.2734670639038086,0.1234423965215683,0.14621321856975555,0.07049031555652618,0.13765360414981842,0.08869658410549164,0.1722460389137268,0.12942208349704742,0.19195538759231567,0.19202633202075958,0.2181381732225418,0.12836989760398865,0.218936488032341
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.13571467995643616,0.35393038392066956,0.22818490862846375,0.3206180930137634,0.12811395525932312,0.35032153129577637,0.13571467995643616,0.19692523777484894,0.20696312189102173,0.11143002659082413,0.17941145598888397,0.3087427020072937,0.33289089798927307,0.11605185270309448,0.1459040343761444,0.40561532974243164
black,0.12054000794887543,0.16061070561408997,0.23966942727565765,0.17331548035144806,0.20887219905853271,0.15496376156806946,0.23173153400421143,0.1375589370727539,0.23966942727565765,0.17331548035144806,0.08453548699617386,0.1966358721256256,0.19777405261993408,0.1647287905216217,0.20407067239284515,0.28466513752937317,0.1685827225446701,0.1402224451303482,0.15159966051578522
earth,0.25883176922798157,0.07964067161083221,0.2329314798116684,0.33782556653022766,0.26888176798820496,0.18622265756130219,0.21121151745319366,0.1973923295736313,0.2329314798116684,0.33782556653022766,0.10541242361068726,0.1861492097377777,0.15472084283828735,0.2665712833404541,0.18566735088825226,0.2801888585090637,0.26471105217933655,0.2295503318309784,0.17717236280441284
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.14899784326553345,0.37732169032096863,0.2430245578289032,0.3640355169773102,0.14045067131519318,0.3680361211299896,0.14899784326553345,0.20966209471225739,0.2151763141155243,0.11775786429643631,0.17284195125102997,0.3326910734176636,0.3456730246543884,0.131951242685318,0.15610210597515106,0.42300865054130554
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.25815996527671814,0.4691906273365021,0.32932984828948975,0.427140474319458,0.20782852172851562,0.4946078956127167,0.25815996527671814,0.24724458158016205,0.3680937886238098,0.20256207883358002,0.2866608202457428,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.31091248989105225
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.30140286684036255,0.4457404911518097,0.32509535551071167,0.56894451379776,0.32536378502845764,0.5011631846427917,0.30140286684036255,0.3268308639526367,0.40543368458747864,0.21264877915382385,0.20231254398822784,0.4840516746044159,0.6521818041801453,0.1877625584602356,0.20571978390216827,0.25814583897590637
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.20612452924251556,1.0,0.4096149802207947,0.658733606338501,0.2903512120246887,0.4854315221309662,0.20612452924251556,0.24706420302391052,0.3899846076965332,0.1472627967596054,0.21010412275791168,0.5394441485404968,0.5823672413825989,0.15197539329528809,0.209678515791893,0.22961433231830597
distributed,0.12753748893737793,0.13325752317905426,0.239964559674263,0.1793345957994461,0.2017366737127304,0.3053119480609894,0.19609881937503815,0.2829965054988861,0.239964559674263,0.1793345957994461,0.27492237091064453,0.3274691104888916,0.09424508363008499,0.08819641172885895,0.2443390041589737,0.28740596771240234,0.2228824347257614,0.1650683730840683,0.08428370952606201
over,0.28007611632347107,0.13094623386859894,0.36136594414711,0.20606766641139984,0.2159561663866043,0.22459743916988373,0.32199642062187195,0.1418619304895401,0.36136594414711,0.20606766641139984,0.2334752231836319,0.29360154271125793,0.21366539597511292,0.19288283586502075,0.3605569899082184,0.39856547117233276,0.18121705949306488,0.1812811940908432,0.25742942094802856
large,0.2017821967601776,0.27216973900794983,0.3569655418395996,0.25525033473968506,0.2971126437187195,0.18257629871368408,0.3740714490413666,0.19227296113967896,0.3569655418395996,0.25525033473968506,0.1844712495803833,0.2555539309978485,0.20203012228012085,0.21171934902668,0.2841601073741913,0.3828733265399933,0.16262684762477875,0.1917639672756195,0.1355665624141693
