,what,did,luther,believe,that,the,soul,does,after,death,?
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.20806841552257538,0.435920387506485,0.6662389636039734,0.1501491367816925,0.214483380317688,0.44050168991088867,0.18743370473384857,0.20430970191955566
contrast,0.2773490250110626,0.15323619544506073,0.17197979986667633,0.1799139678478241,0.31651821732521057,0.25799670815467834,0.1506916582584381,0.29833805561065674,0.07836084812879562,0.026928093284368515,0.15469981729984283
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.34598591923713684,0.5436353087425232,0.535392165184021,0.1948116272687912,0.4391997456550598,0.37890323996543884,0.19568277895450592,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.2972484529018402,0.5473989248275757,1.0,0.2054273635149002,0.35928019881248474,0.4565047025680542,0.21438048779964447,0.22068053483963013
views,0.32671356201171875,0.22832201421260834,0.19727660715579987,0.304360955953598,0.30377236008644104,0.23137402534484863,0.1666911542415619,0.18072807788848877,0.10078383982181549,0.15755915641784668,0.19388815760612488
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2925758957862854,0.41498205065727234,0.733189046382904,0.1792602837085724,0.3119818866252899,0.3867455720901489,0.23778599500656128,0.1826142966747284
john,0.18237407505512238,0.18785913288593292,0.3108772039413452,0.17756401002407074,0.17830057442188263,0.2230520099401474,0.11767595261335373,0.1121395081281662,0.22597751021385193,0.19530434906482697,0.13162356615066528
calvin,0.2447197437286377,0.1391587257385254,0.31689026951789856,0.23467567563056946,0.20420591533184052,0.1621416211128235,0.20382308959960938,0.20613723993301392,0.1423037350177765,0.16499875485897064,0.2228267937898636
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.29652947187423706,0.4731321930885315,0.5171257257461548,0.2859630286693573,0.3461615741252899,0.3765919506549835,0.1816639006137848,0.20544172823429108
philipp,0.09266739338636398,0.18630307912826538,0.30913978815078735,0.13532939553260803,0.13087531924247742,0.15171875059604645,0.11170551925897598,0.10543917119503021,0.15831845998764038,0.17830543220043182,0.14114081859588623
melanchthon,0.1285841315984726,0.07751930505037308,0.30344337224960327,0.14432425796985626,0.14514373242855072,0.17877939343452454,0.19962036609649658,0.027379827573895454,0.1276373267173767,0.2185550481081009,0.14275860786437988
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.2459280639886856,0.4137537479400635,0.4933079481124878,0.27691033482551575,0.28617382049560547,0.38860568404197693,0.2070959210395813,0.31091248989105225
throughout,0.2130906730890274,0.194510817527771,0.10819269716739655,0.26213595271110535,0.35608357191085815,0.4158564507961273,0.20908403396606445,0.2064560502767563,0.2900364100933075,0.20173302292823792,0.12665234506130219
his,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.22664840519428253,0.3173833191394806,0.4394008219242096,0.29033195972442627,0.20403875410556793,0.41949746012687683,0.3678654432296753,0.18075084686279297
life,0.24693015217781067,0.22298283874988556,0.20761863887310028,0.2703624665737152,0.2885509729385376,0.23528170585632324,0.33311039209365845,0.14979252219200134,0.1972336620092392,0.28946104645729065,0.21677987277507782
luther,0.2134782373905182,0.23667675256729126,1.0,0.21247079968452454,0.21746599674224854,0.1759674996137619,0.1514018028974533,0.14081993699073792,0.17198127508163452,0.15764257311820984,0.1732746809720993
maintained,0.20107032358646393,0.23758384585380554,0.06595812737941742,0.20309966802597046,0.2833130657672882,0.2751169800758362,0.1466170698404312,0.2029023915529251,0.19246773421764374,0.13738688826560974,0.17174425721168518
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.533393383026123,1.0,0.5473989248275757,0.2695053815841675,0.4764937460422516,0.373811811208725,0.25607815384864807,0.32716336846351624
it,0.45803478360176086,0.2993364930152893,0.15365919470787048,0.31943458318710327,0.5921133160591125,0.6251175999641418,0.22863073647022247,0.34188351035118103,0.36872005462646484,0.16903388500213623,0.25732165575027466
was,0.22111038863658905,0.41399896144866943,0.19185513257980347,0.20507054030895233,0.33670201897621155,0.48711544275283813,0.17936494946479797,0.19302551448345184,0.49306565523147583,0.28516459465026855,0.18412111699581146
not,0.5449194312095642,0.6481515765190125,0.21636232733726501,0.462744802236557,0.6600887179374695,0.4310511648654938,0.1655241847038269,0.6355478763580322,0.3115830719470978,0.23071882128715515,0.41942933201789856
false,0.29977917671203613,0.18280620872974396,0.12126229703426361,0.2797103822231293,0.30976200103759766,0.16059079766273499,0.07979106903076172,0.21879954636096954,0.10821934044361115,0.14823132753372192,0.2877490520477295
doctrine,0.3112909197807312,0.1904553771018982,0.34285056591033936,0.37664008140563965,0.315192848443985,0.23041051626205444,0.2223077416419983,0.18365386128425598,0.11590564996004105,0.17702263593673706,0.21789313852787018
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.34598591923713684,0.5436353087425232,0.535392165184021,0.1948116272687912,0.4391997456550598,0.37890323996543884,0.19568277895450592,0.29463258385658264
believe,0.46656209230422974,0.3557283282279968,0.21247079968452454,1.0,0.533393383026123,0.2972484529018402,0.2319573163986206,0.37803488969802856,0.24915747344493866,0.1744125932455063,0.3329349160194397
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.533393383026123,1.0,0.5473989248275757,0.2695053815841675,0.4764937460422516,0.373811811208725,0.25607815384864807,0.32716336846351624
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.2732302248477936,0.47537946701049805,0.5829201340675354,0.18477685749530792,0.38201746344566345,0.3831600844860077,0.16249743103981018,0.23916715383529663
christian,0.17849333584308624,0.20078235864639282,0.36969617009162903,0.3044629991054535,0.18580004572868347,0.19930796325206757,0.2129030078649521,0.11483608186244965,0.1393807977437973,0.17143726348876953,0.1508396863937378
's,0.02692362666130066,0.05069678649306297,-0.009990512393414974,0.00462753139436245,0.04397977516055107,-0.01540423184633255,0.08064237982034683,-0.02895052544772625,-0.055672239512205124,0.07207932323217392,-0.023395681753754616
soul,0.23502515256404877,0.13049879670143127,0.1514018028974533,0.2319573163986206,0.2695053815841675,0.2054273635149002,1.0000001192092896,0.14913393557071686,0.15610353648662567,0.25791794061660767,0.2029775083065033
sleeps,0.24765385687351227,0.19267313182353973,0.14381396770477295,0.24622304737567902,0.27250927686691284,0.22536548972129822,0.24529054760932922,0.2769627273082733,0.1881534904241562,0.19728228449821472,0.25254565477371216
after,0.21973377466201782,0.30330467224121094,0.17198127508163452,0.24915747344493866,0.373811811208725,0.4565047025680542,0.15610353648662567,0.18596531450748444,1.0,0.2794583737850189,0.16608688235282898
