,how,many,men,would,the,lm,take,to,the,lunar,surface,and,return,to,the,csm,?
the,0.33890387415885925,0.4335206151008606,0.26001617312431335,0.4133751392364502,1.0,0.25534775853157043,0.31620436906814575,0.535392165184021,1.0,0.23309995234012604,0.2555135488510132,0.5171257257461548,0.2543797492980957,0.535392165184021,1.0,0.15609420835971832,0.22068053483963013
final,0.2052120715379715,0.16054779291152954,0.145663782954216,0.25731417536735535,0.3543182611465454,0.1767168492078781,0.22395361959934235,0.26099109649658203,0.3543182611465454,0.1725466549396515,0.17493019998073578,0.2635152339935303,0.2368161529302597,0.26099109649658203,0.3543182611465454,0.16021384298801422,0.17315025627613068
choice,0.30234581232070923,0.24746885895729065,0.16209109127521515,0.3625279366970062,0.2640603482723236,0.2044656127691269,0.31198835372924805,0.28106144070625305,0.2640603482723236,0.09691145271062851,0.07315462082624435,0.19819556176662445,0.18040716648101807,0.28106144070625305,0.2640603482723236,0.06217462569475174,0.28709158301353455
of,0.2480744868516922,0.37253960967063904,0.2133621722459793,0.3353942930698395,0.733189046382904,0.15462981164455414,0.29282352328300476,0.41548454761505127,0.733189046382904,0.204553484916687,0.24204103648662567,0.5116966962814331,0.20821265876293182,0.41548454761505127,0.733189046382904,0.15882812440395355,0.1826142966747284
lunar,0.21081319451332092,0.1407979428768158,0.18380065262317657,0.20055215060710907,0.23309995234012604,0.42166680097579956,0.2205018848180771,0.15437743067741394,0.23309995234012604,1.0000001192092896,0.34174928069114685,0.206029012799263,0.17998239398002625,0.15437743067741394,0.23309995234012604,0.5040956735610962,0.1628302037715912
orbit,0.18904346227645874,0.12388269603252411,0.11158264428377151,0.2201908528804779,0.1565481424331665,0.3392186462879181,0.1954312026500702,0.23271086812019348,0.1565481424331665,0.5343210697174072,0.3658416271209717,0.1805662214756012,0.163314089179039,0.23271086812019348,0.1565481424331665,0.4203069508075714,0.16621392965316772
rendezvous,0.1363270878791809,0.1643146425485611,0.26431718468666077,0.19824711978435516,0.28183797001838684,0.35044172406196594,0.20260241627693176,0.20874395966529846,0.28183797001838684,0.42603108286857605,0.29919910430908203,0.2727621793746948,0.28520074486732483,0.20874395966529846,0.28183797001838684,0.37896814942359924,0.08957836031913757
changed,0.26023972034454346,0.3243117034435272,0.18333986401557922,0.31017357110977173,0.351829469203949,0.15848834812641144,0.2290930151939392,0.2968057096004486,0.351829469203949,0.18934674561023712,0.12745478749275208,0.3026684522628784,0.14260058104991913,0.2968057096004486,0.351829469203949,0.18874028325080872,0.21123318374156952
the,0.33890387415885925,0.4335206151008606,0.26001617312431335,0.4133751392364502,1.0,0.25534775853157043,0.31620436906814575,0.535392165184021,1.0,0.23309995234012604,0.2555135488510132,0.5171257257461548,0.2543797492980957,0.535392165184021,1.0,0.15609420835971832,0.22068053483963013
csm,0.1352749764919281,0.027502095326781273,0.15053126215934753,0.11080329865217209,0.15609420835971832,0.4229579269886017,0.09028736501932144,0.11701257526874542,0.15609420835971832,0.5040956735610962,0.24297504127025604,0.15724779665470123,0.25004297494888306,0.11701257526874542,0.15609420835971832,0.9999998807907104,0.19925744831562042
's,-0.026164190843701363,0.01698932610452175,0.01802987791597843,0.036968596279621124,-0.01540423184633255,0.02066141553223133,0.02030942589044571,0.03782717138528824,-0.01540423184633255,0.05316370725631714,0.11841000616550446,0.06895173341035843,0.03277071565389633,0.03782717138528824,-0.01540423184633255,-0.0011338747572153807,-0.023395681753754616
role,0.19391292333602905,0.24574100971221924,0.1275559961795807,0.23390333354473114,0.26607486605644226,0.06493347883224487,0.21015900373458862,0.17841029167175293,0.26607486605644226,0.09703697264194489,0.01885630376636982,0.2629789710044861,0.13739672303199768,0.17841029167175293,0.26607486605644226,0.07522930204868317,0.18676944077014923
to,0.44169697165489197,0.40243685245513916,0.24045762419700623,0.5965728163719177,0.535392165184021,0.17625956237316132,0.4075521230697632,1.0,0.535392165184021,0.15437743067741394,0.23727688193321228,0.48971283435821533,0.3110596537590027,1.0,0.535392165184021,0.11701257526874542,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.26001617312431335,0.4133751392364502,1.0,0.25534775853157043,0.31620436906814575,0.535392165184021,1.0,0.23309995234012604,0.2555135488510132,0.5171257257461548,0.2543797492980957,0.535392165184021,1.0,0.15609420835971832,0.22068053483963013
translunar,0.2735055088996887,0.2298925369977951,0.23954294621944427,0.25101134181022644,0.33685752749443054,0.36822497844696045,0.25864413380622864,0.20362171530723572,0.33685752749443054,0.6322809457778931,0.3898408114910126,0.279305100440979,0.1993352174758911,0.20362171530723572,0.33685752749443054,0.4147883951663971,0.23503059148788452
