,construction,involves,the,translation,of,what,?
in,0.3031303882598877,0.2665846645832062,0.6662389636039734,0.1721324771642685,0.5696388483047485,0.30808621644973755,0.20430970191955566
the,0.2671978175640106,0.25744810700416565,1.0,0.26402729749679565,0.733189046382904,0.42745697498321533,0.22068053483963013
modern,0.25003910064697266,0.19641777873039246,0.3283970355987549,0.14268966019153595,0.3482828736305237,0.2655639946460724,0.12475407868623734
industrialized,0.3411073684692383,0.2358473688364029,0.30628761649131775,0.13667841255664825,0.30613189935684204,0.1756548136472702,0.07084181904792786
world,0.20556379854679108,0.1764424592256546,0.33604270219802856,0.12257067859172821,0.2828933000564575,0.21669597923755646,0.17579582333564758
",",0.23704268038272858,0.2186070829629898,0.4933079481124878,0.2429160475730896,0.4946078956127167,0.3087472915649414,0.31091248989105225
construction,1.0,0.1520182341337204,0.2671978175640106,0.2632998824119568,0.2815735340118408,0.20329850912094116,0.13494056463241577
usually,0.2216884046792984,0.3933779001235962,0.36782920360565186,0.15384896099567413,0.33931583166122437,0.32521089911460876,0.19435347616672516
involves,0.1520182341337204,0.9999999403953552,0.25744810700416565,0.17330890893936157,0.32495999336242676,0.2138185203075409,0.14038428664207458
the,0.2671978175640106,0.25744810700416565,1.0,0.26402729749679565,0.733189046382904,0.42745697498321533,0.22068053483963013
translation,0.2632998824119568,0.17330890893936157,0.26402729749679565,0.9999998807907104,0.18704865872859955,0.22188860177993774,0.22574150562286377
of,0.2815735340118408,0.32495999336242676,0.733189046382904,0.18704865872859955,1.0,0.33290785551071167,0.1826142966747284
designs,0.37989237904548645,0.22650308907032013,0.2415979504585266,0.1455351561307907,0.2253444343805313,0.197528675198555,0.12927207350730896
into,0.11891017109155655,0.24760691821575165,0.39493247866630554,0.24055281281471252,0.32255905866622925,0.2180619090795517,0.15662476420402527
reality,0.0743708461523056,0.20003683865070343,0.2677460014820099,0.11138477921485901,0.22407591342926025,0.3121267557144165,0.20780257880687714
.,0.23682771623134613,0.17409084737300873,0.5934505462646484,0.2109805941581726,0.5352458953857422,0.3567904531955719,0.4130953550338745
