,what,is,pedanius,dioscorides,known,for,?
the,0.42745697498321533,0.5823672413825989,0.2213621884584427,0.3262089490890503,0.3624623417854309,0.4739971458911896,0.22068053483963013
greek,0.14808377623558044,0.22842112183570862,0.36769965291023254,0.2944881021976471,0.18097802996635437,0.16074992716312408,0.11180876195430756
physician,0.1763363629579544,0.1387769728899002,0.3430229425430298,0.16383682191371918,0.17705963551998138,0.16676828265190125,0.1271199882030487
pedanius,0.25906485319137573,0.19940951466560364,1.0,0.35843780636787415,0.13208633661270142,0.13089773058891296,0.2277146577835083
dioscorides,0.2030434012413025,0.36735954880714417,0.35843780636787415,1.0,0.34882816672325134,0.2704591453075409,0.17538045346736908
is,0.28837618231773376,1.0,0.19940951466560364,0.36735954880714417,0.41921812295913696,0.43268078565597534,0.22961433231830597
famous,0.1616666167974472,0.26248517632484436,0.09633786976337433,0.29181382060050964,0.5231455564498901,0.2801532745361328,0.10379006713628769
for,0.3017193675041199,0.43268078565597534,0.13089773058891296,0.2704591453075409,0.363901823759079,0.9999999403953552,0.264628142118454
writing,0.3355313539505005,0.22832350432872772,0.27776139974594116,0.180275097489357,0.23477803170681,0.36352667212486267,0.21497225761413574
a,0.3320399522781372,0.658733606338501,0.2602200508117676,0.3195284307003021,0.30882248282432556,0.44038116931915283,0.23916715383529663
five,0.18688078224658966,0.22980348765850067,0.17132292687892914,0.2422732412815094,0.16128626465797424,0.30701300501823425,0.18342848122119904
volume,0.18066860735416412,0.20146408677101135,0.19509971141815186,0.18988314270973206,0.15996673703193665,0.1439160704612732,0.1651400327682495
book,0.2872225046157837,0.21808475255966187,0.21937571465969086,0.28183895349502563,0.15559889376163483,0.22091296315193176,0.20572158694267273
in,0.30808621644973755,0.5394441485404968,0.18599270284175873,0.28125157952308655,0.32641831040382385,0.4322226941585541,0.20430970191955566
his,0.26976513862609863,0.24372583627700806,0.2767444849014282,0.22150607407093048,0.29665085673332214,0.39312878251075745,0.18075084686279297
native,0.19453833997249603,0.25614386796951294,0.21293318271636963,0.28667518496513367,0.1994364708662033,0.2542033791542053,0.1457047313451767
greek,0.14808377623558044,0.22842112183570862,0.36769965291023254,0.2944881021976471,0.18097802996635437,0.16074992716312408,0.11180876195430756
περί,0.0010521163931116462,-0.01814495585858822,-0.0984237864613533,0.1019352599978447,0.05521000176668167,0.05997053533792496,-0.02830606698989868
ύλης,0.24872107803821564,0.15738080441951752,0.39903193712234497,0.287361204624176,0.2009943574666977,0.1008826345205307,0.35225731134414673
ιατρικής,0.14331834018230438,0.04209517315030098,0.11812423169612885,0.13790500164031982,0.05250801891088486,0.0768524557352066,0.12506844103336334
in,0.30808621644973755,0.5394441485404968,0.18599270284175873,0.28125157952308655,0.32641831040382385,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.2213621884584427,0.3262089490890503,0.3624623417854309,0.4739971458911896,0.22068053483963013
1st,0.23860467970371246,0.22772808372974396,0.08713095635175705,0.08058527857065201,0.19341941177845,0.21751828491687775,0.2033112645149231
century,0.20422613620758057,0.20648397505283356,0.27296364307403564,0.26056212186813354,0.2454954832792282,0.18660898506641388,0.1026201918721199
ad,0.27659884095191956,0.19672587513923645,0.39924946427345276,0.19314035773277283,0.10960683226585388,0.09682639688253403,0.20824462175369263
.,0.3567904531955719,0.4569662809371948,0.24618582427501678,0.3135232925415039,0.283290296792984,0.4726039469242096,0.4130953550338745
