,who,besides,the,british,colonized,africa,?
he,0.5500732064247131,0.2798825204372406,0.4571082592010498,0.20335537195205688,0.1506824791431427,0.170254185795784,0.2089974731206894
states,0.21313154697418213,0.17416031658649445,0.3463578522205353,0.27906519174575806,0.2629161775112152,0.2616387605667114,0.16272737085819244
that,0.45444270968437195,0.4139655530452728,0.5473989248275757,0.19530552625656128,0.22487773001194,0.2020931839942932,0.32716336846351624
maps,0.09954190254211426,0.22036299109458923,0.21223653852939606,0.11547112464904785,0.1876278966665268,0.14082908630371094,0.1744592785835266
``,0.02397952415049076,0.06691358983516693,0.029072100296616554,0.01002498995512724,0.07447797060012817,0.07715797424316406,0.0685480609536171
contributed,0.24363453686237335,0.26605987548828125,0.2633678913116455,0.19536641240119934,0.28051814436912537,0.18243595957756042,0.21200142800807953
to,0.42656609416007996,0.3272998631000519,0.535392165184021,0.22690963745117188,0.243290975689888,0.23667606711387634,0.29463258385658264
empire,0.18977859616279602,0.09588722139596939,0.32532164454460144,0.3761709928512573,0.3506622016429901,0.3045766353607178,0.14909450709819794
by,0.39727845788002014,0.23799698054790497,0.4408751428127289,0.26707085967063904,0.23151372373104095,0.19697435200214386,0.17966607213020325
promoting,0.21391776204109192,0.29418766498565674,0.26784375309944153,0.10336630791425705,0.18666258454322815,0.14228300750255585,0.2656548321247101
",",0.3365725874900818,0.340058833360672,0.4933079481124878,0.25734075903892517,0.2565811276435852,0.2545008063316345,0.31091248989105225
assisting,0.3755319118499756,0.18683375418186188,0.2556987702846527,0.15393337607383728,0.133104145526886,0.1447525918483734,0.13886818289756775
",",0.3365725874900818,0.340058833360672,0.4933079481124878,0.25734075903892517,0.2565811276435852,0.2545008063316345,0.31091248989105225
and,0.41279885172843933,0.3610946238040924,0.5171257257461548,0.325880765914917,0.2483113408088684,0.2685798704624176,0.20544172823429108
legitimizing,0.33552855253219604,0.25678279995918274,0.283089280128479,0.1350397914648056,0.18451231718063354,0.11267321556806564,0.2098625898361206
the,0.3733934462070465,0.367077499628067,1.0,0.28973397612571716,0.3187461197376251,0.2903064787387848,0.22068053483963013
extension,0.09699306637048721,0.24601145088672638,0.3090997040271759,0.12753057479858398,0.1615169644355774,0.0885993167757988,0.24237069487571716
of,0.2827862501144409,0.3665722906589508,0.733189046382904,0.23701532185077667,0.2987323999404907,0.2694264054298401,0.1826142966747284
french,0.2756427824497223,0.16213920712471008,0.2555147111415863,0.43574923276901245,0.31260374188423157,0.25143733620643616,0.1386883556842804
and,0.41279885172843933,0.3610946238040924,0.5171257257461548,0.325880765914917,0.2483113408088684,0.2685798704624176,0.20544172823429108
british,0.2666113078594208,0.11677022278308868,0.28973397612571716,1.0,0.29121512174606323,0.22958926856517792,0.09711728990077972
power,0.25855374336242676,0.205847829580307,0.2647338807582855,0.16342106461524963,0.1292964220046997,0.1095619648694992,0.15304024517536163
into,0.16956904530525208,0.22880211472511292,0.39493247866630554,0.14113298058509827,0.29221591353416443,0.16067509353160858,0.15662476420402527
west,0.1436629444360733,0.12642861902713776,0.32918402552604675,0.23949159681797028,0.2833273708820343,0.33628568053245544,0.12088293582201004
africa,0.1834123730659485,0.1569291353225708,0.2903064787387848,0.22958926856517792,0.3827246129512787,0.9999999403953552,0.12926554679870605
'',0.024401003494858742,0.04215095192193985,0.041273195296525955,0.042234957218170166,0.017329435795545578,-0.06821451336145401,0.018684765323996544
.,0.3541337847709656,0.28636154532432556,0.5934505462646484,0.23159366846084595,0.2707810699939728,0.25634920597076416,0.4130953550338745
