,when,did,the,nfl,announce,the,suspension,of,using,roman,numerals,to,brand,the,super,bowl,?
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.18523651361465454,0.24828478693962097,0.5107308030128479,0.22561131417751312,0.3966929316520691,0.29792529344558716,0.15509356558322906,0.1492345631122589,0.41031414270401,0.1868440955877304,0.5107308030128479,0.1569211632013321,0.1334993690252304,0.2714994251728058
june,0.2469879388809204,0.26244688034057617,0.24568822979927063,0.20633910596370697,0.24162550270557404,0.24568822979927063,0.14939510822296143,0.19721001386642456,0.08518724888563156,0.11824105679988861,0.1070602759718895,0.22441016137599945,0.19965453445911407,0.24568822979927063,0.12735934555530548,0.15820787847042084,0.31416764855384827
4,0.06794765591621399,0.0646207332611084,0.15499350428581238,0.03529456630349159,0.05115828290581703,0.15499350428581238,0.04107344150543213,0.17227263748645782,0.00030069699278101325,0.16189806163311005,0.03203694894909859,0.059323787689208984,0.02507382072508335,0.15499350428581238,0.046946682035923004,0.020155208185315132,0.010515431873500347
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.18939071893692017,0.19437241554260254,0.4933079481124878,0.1453205645084381,0.4946078956127167,0.27050045132637024,0.26863154768943787,0.23818567395210266,0.44245919585227966,0.26502054929733276,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
2014,0.1509266346693039,-0.002547524170950055,0.059490643441677094,0.10824394971132278,0.004546395502984524,0.059490643441677094,0.012536940164864063,0.0493064783513546,-0.0011405543191358447,0.10688325762748718,0.050574127584695816,0.016496146097779274,0.14392925798892975,0.059490643441677094,0.0236821286380291,0.07104186713695526,0.058127544820308685
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.18939071893692017,0.19437241554260254,0.4933079481124878,0.1453205645084381,0.4946078956127167,0.27050045132637024,0.26863154768943787,0.23818567395210266,0.44245919585227966,0.26502054929733276,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.15305201709270477,0.2190934419631958,1.0,0.279620885848999,0.733189046382904,0.28364112973213196,0.2862859070301056,0.25819507241249084,0.535392165184021,0.18590734899044037,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
nfl,0.13304822146892548,0.16524574160575867,0.15305201709270477,1.0,0.2041601538658142,0.15305201709270477,0.16419701278209686,0.1524115800857544,0.12897957861423492,0.12639591097831726,0.2016570121049881,0.1526731252670288,0.10653813928365707,0.15305201709270477,0.319060355424881,0.48354101181030273,0.10610254108905792
announced,0.15404565632343292,0.2690480351448059,0.2277132272720337,0.2523188889026642,0.8293300867080688,0.2277132272720337,0.2301412969827652,0.22339491546154022,0.1392059177160263,0.13161100447177887,0.118888258934021,0.20247882604599,0.29518893361091614,0.2277132272720337,0.1638530194759369,0.11583950370550156,0.17416009306907654
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.15213505923748016,0.2828746736049652,0.5473989248275757,0.2951022982597351,0.41498205065727234,0.4372335970401764,0.20374512672424316,0.2481309473514557,0.5436353087425232,0.20620881021022797,0.5473989248275757,0.18258553743362427,0.10987387597560883,0.32716336846351624
the,0.5091903209686279,0.34736719727516174,1.0,0.15305201709270477,0.2190934419631958,1.0,0.279620885848999,0.733189046382904,0.28364112973213196,0.2862859070301056,0.25819507241249084,0.535392165184021,0.18590734899044037,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
practice,0.24361737072467804,0.256716251373291,0.27333036065101624,0.12826721370220184,0.14373822510242462,0.27333036065101624,0.2186182141304016,0.2597380578517914,0.3289502263069153,0.2321038544178009,0.26670295000076294,0.289366751909256,0.14981910586357117,0.27333036065101624,0.168790802359581,0.10187067836523056,0.21386858820915222
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.1524115800857544,0.23663374781608582,0.733189046382904,0.2304374873638153,1.0,0.24298200011253357,0.31028008460998535,0.2555062174797058,0.41548454761505127,0.13266319036483765,0.733189046382904,0.14718765020370483,0.2243070751428604,0.1826142966747284
