,what,can,be,used,to,model,tension,forces,?
tension,0.2603653073310852,0.2607966363430023,0.2628217935562134,0.25254178047180176,0.29600581526756287,0.13932392001152039,0.9999998807907104,0.3747520446777344,0.16257193684577942
forces,0.2112482488155365,0.15958181023597717,0.17733727395534515,0.15227629244327545,0.2581802308559418,0.17795944213867188,0.3747520446777344,1.0,0.16984491050243378
can,0.34502777457237244,1.0,0.5791122913360596,0.48128408193588257,0.4979398250579834,0.13417871296405792,0.2607966363430023,0.15958181023597717,0.3226337134838104
be,0.3929833769798279,0.5791122913360596,1.0,0.3731876611709595,0.4972836375236511,0.1368791162967682,0.2628217935562134,0.17733727395534515,0.3324260413646698
modeled,0.1949741691350937,0.13413523137569427,0.1606120616197586,0.2949385344982147,0.17938095331192017,0.6283743977546692,0.17309418320655823,0.17563971877098083,0.11213120818138123
using,0.27984681725502014,0.5030062794685364,0.4113650619983673,0.6102309226989746,0.3678804934024811,0.15568937361240387,0.27665480971336365,0.13638299703598022,0.2804589569568634
ideal,0.31059911847114563,0.2787913382053375,0.34239843487739563,0.30020809173583984,0.29955336451530457,0.29409968852996826,0.321076363325119,0.16517361998558044,0.13358637690544128
strings,0.19280186295509338,0.23353976011276245,0.23409953713417053,0.2226407378911972,0.20373444259166718,0.09459419548511505,0.3695492446422577,0.17347116768360138,0.16539564728736877
that,0.6297725439071655,0.4522190988063812,0.6036020517349243,0.37621384859085083,0.5436353087425232,0.16250061988830566,0.3515162169933319,0.24199660122394562,0.32716336846351624
are,0.29724663496017456,0.5408529043197632,0.5556803941726685,0.3322218656539917,0.3504326641559601,0.07012248039245605,0.1908927857875824,0.22039441764354706,0.24591213464736938
massless,0.30841463804244995,0.32900530099868774,0.35725486278533936,0.27410587668418884,0.3017245829105377,0.3182646334171295,0.3792353570461273,0.331416517496109,0.25550538301467896
",",0.3087472915649414,0.3139454126358032,0.39254459738731384,0.3120402991771698,0.44245919585227966,0.244965597987175,0.15723368525505066,0.2544684410095215,0.31091248989105225
frictionless,0.26435789465904236,0.3783658444881439,0.34982216358184814,0.3142430782318115,0.29326844215393066,0.17770476639270782,0.44177699089050293,0.30936399102211,0.26306411623954773
",",0.3087472915649414,0.3139454126358032,0.39254459738731384,0.3120402991771698,0.44245919585227966,0.244965597987175,0.15723368525505066,0.2544684410095215,0.31091248989105225
unbreakable,0.2692643404006958,0.22071890532970428,0.21826022863388062,0.21690411865711212,0.2282981127500534,0.12038853019475937,0.3021378219127655,0.2608755826950073,0.2153874784708023
",",0.3087472915649414,0.3139454126358032,0.39254459738731384,0.3120402991771698,0.44245919585227966,0.244965597987175,0.15723368525505066,0.2544684410095215,0.31091248989105225
and,0.31309178471565247,0.3675691485404968,0.41766801476478577,0.3150506615638733,0.48971283435821533,0.22216768562793732,0.2492290735244751,0.26456665992736816,0.20544172823429108
unstretchable,0.32995694875717163,0.38064059615135193,0.352904736995697,0.33668169379234314,0.3393234610557556,0.1280181109905243,0.3316802680492401,0.22905273735523224,0.2375819981098175
.,0.3567904531955719,0.35783761739730835,0.4383580684661865,0.33111312985420227,0.4645031690597534,0.1938832700252533,0.21468229591846466,0.21802116930484772,0.4130953550338745
