,what,caused,the,need,for,principal,treaties,that,ended,up,forming,the,eu,?
the,0.42745697498321533,0.24990202486515045,1.0,0.2594960331916809,0.4739971458911896,0.23882900178432465,0.28970760107040405,0.5473989248275757,0.3356485068798065,0.38423117995262146,0.3776164948940277,1.0,0.14126400649547577,0.22068053483963013
principal,0.1582305133342743,0.07700642198324203,0.23882900178432465,0.12159180641174316,0.18790912628173828,0.9999998807907104,0.16060826182365417,0.17596200108528137,0.0649426132440567,0.09652013331651688,0.1946125328540802,0.23882900178432465,0.14018242061138153,0.10016445070505142
treaties,0.2403455525636673,0.14963741600513458,0.28970760107040405,0.23470991849899292,0.2837989032268524,0.16060826182365417,0.9999998807907104,0.2838388681411743,0.359449565410614,0.18554998934268951,0.23300087451934814,0.28970760107040405,0.33172380924224854,0.1693580597639084
that,0.6297725439071655,0.33201703429222107,0.5473989248275757,0.46464914083480835,0.4137635827064514,0.17596200108528137,0.2838388681411743,1.0,0.2152271419763565,0.35427621006965637,0.29488736391067505,0.5473989248275757,0.10275088250637054,0.32716336846351624
form,0.15868011116981506,0.1958635300397873,0.29286009073257446,0.24589726328849792,0.2342945635318756,0.1702863872051239,0.14574183523654938,0.31894639134407043,0.09624025225639343,0.1420457363128662,0.5346757769584656,0.29286009073257446,0.07890233397483826,0.1463010311126709
the,0.42745697498321533,0.24990202486515045,1.0,0.2594960331916809,0.4739971458911896,0.23882900178432465,0.28970760107040405,0.5473989248275757,0.3356485068798065,0.38423117995262146,0.3776164948940277,1.0,0.14126400649547577,0.22068053483963013
european,0.15324164927005768,0.11902003735303879,0.3423081040382385,0.18418820202350616,0.2838500738143921,0.21024054288864136,0.30161675810813904,0.2049320936203003,0.19365191459655762,0.16363249719142914,0.1783471256494522,0.3423081040382385,0.46552222967147827,0.14560863375663757
union,0.1396910548210144,0.1306479126214981,0.24421639740467072,0.14818958938121796,0.20406247675418854,0.12002922594547272,0.34353530406951904,0.17320044338703156,0.19030073285102844,0.17829470336437225,0.2101878672838211,0.24421639740467072,0.3292396068572998,0.07797172665596008
began,0.1665823757648468,0.24245098233222961,0.3059147596359253,0.17890718579292297,0.29047009348869324,0.15112963318824768,0.1993774026632309,0.21520264446735382,0.5945717096328735,0.24335254728794098,0.250753790140152,0.3059147596359253,0.0757535845041275,0.1370266228914261
with,0.2464839518070221,0.31770411133766174,0.4223487675189972,0.3471839725971222,0.39140474796295166,0.20574983954429626,0.3085373342037201,0.4154358208179474,0.3083439767360687,0.38676461577415466,0.3598114252090454,0.4223487675189972,0.20157751441001892,0.2433311939239502
common,0.19989867508411407,0.25504475831985474,0.2705984115600586,0.26753294467926025,0.25494384765625,0.12372966855764389,0.17313340306282043,0.2786630392074585,0.08709164708852768,0.1482699066400528,0.18750552833080292,0.2705984115600586,0.11576838791370392,0.20434872806072235
rules,0.3341682255268097,0.13933856785297394,0.27022838592529297,0.3324194550514221,0.2820928990840912,0.05310302600264549,0.35571011900901794,0.3367280662059784,0.24698525667190552,0.22558414936065674,0.1042010709643364,0.27022838592529297,0.12336549907922745,0.22111085057258606
for,0.3017193675041199,0.1862620860338211,0.4739971458911896,0.3668079972267151,0.9999999403953552,0.18790912628173828,0.2837989032268524,0.4137635827064514,0.25393593311309814,0.342966228723526,0.225502610206604,0.4739971458911896,0.17181243002414703,0.264628142118454
