,what,was,the,goal,of,braddock,'s,expedition,?
after,0.21973377466201782,0.49306565523147583,0.4565047025680542,0.176401287317276,0.3867455720901489,0.31423136591911316,-0.055672239512205124,0.2324652075767517,0.16608688235282898
several,0.22446060180664062,0.25396689772605896,0.40559855103492737,0.07592905312776566,0.3271615505218506,0.16391274333000183,-0.012985157780349255,0.21103006601333618,0.15595775842666626
months,0.24954822659492493,0.30324822664260864,0.2680157423019409,0.12372319400310516,0.22298860549926758,0.1824847310781479,0.017206644639372826,0.25360873341560364,0.2804218530654907
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.1838325709104538,1.0,0.22112226486206055,-0.03817026689648628,0.18468376994132996,0.1826142966747284
negotiations,0.12244246155023575,0.24871394038200378,0.28858432173728943,0.19875864684581757,0.2613631784915924,0.28307706117630005,-0.031208638101816177,0.3043506145477295,0.12190581113100052
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.3523558974266052,-0.0016132977325469255,0.17991885542869568,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.2864013612270355,-0.01540423184633255,0.26213887333869934,0.22068053483963013
government,0.28074538707733154,0.2995857298374176,0.31798112392425537,0.17317861318588257,0.3475167155265808,0.17480963468551636,0.00033092309604398906,0.26773521304130554,0.18851417303085327
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.1838325709104538,1.0,0.22112226486206055,-0.03817026689648628,0.18468376994132996,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.2864013612270355,-0.01540423184633255,0.26213887333869934,0.22068053483963013
duke,0.0933435782790184,0.23636797070503235,0.218814879655838,0.10254253447055817,0.26720118522644043,0.3253377079963684,-0.09903083741664886,0.2285669445991516,0.13699419796466827
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.1838325709104538,1.0,0.22112226486206055,-0.03817026689648628,0.18468376994132996,0.1826142966747284
newcastle,0.16276082396507263,0.25710436701774597,0.2253497689962387,0.2625422179698944,0.18781472742557526,0.3853193521499634,-0.017262522131204605,0.2223847210407257,0.0902252271771431
decided,0.3212295174598694,0.41358432173728943,0.37534645199775696,0.28041207790374756,0.2880963683128357,0.1880139708518982,0.06634151935577393,0.2405989021062851,0.258772075176239
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.37094977498054504,0.41548454761505127,0.23444142937660217,0.03782717138528824,0.2431555688381195,0.29463258385658264
send,0.28887391090393066,0.11789905279874802,0.2581755518913269,0.17115066945552826,0.22127455472946167,0.16941781342029572,0.07027942687273026,0.18342915177345276,0.1784207671880722
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.16866573691368103,0.32280945777893066,0.24292224645614624,0.025255560874938965,0.1551290899515152,0.19793890416622162
army,0.1698741316795349,0.30177709460258484,0.31011611223220825,0.17040914297103882,0.2669098675251007,0.30646201968193054,0.03417222201824188,0.4023039638996124,0.180583193898201
expedition,0.19300568103790283,0.2416619211435318,0.26213887333869934,0.1452360302209854,0.18468376994132996,0.3435863256454468,0.031321313232183456,1.0000001192092896,0.10355690121650696
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.2864013612270355,-0.01540423184633255,0.26213887333869934,0.22068053483963013
following,0.2506418824195862,0.16493390500545502,0.39779382944107056,0.17103786766529083,0.3576679527759552,0.2107035517692566,-0.005975736305117607,0.19003263115882874,0.1555173695087433
year,0.15184831619262695,0.3209837079048157,0.3609684407711029,0.1297859102487564,0.2578314542770386,0.16216941177845,-0.04087831452488899,0.20637860894203186,0.18315006792545319
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.37094977498054504,0.41548454761505127,0.23444142937660217,0.03782717138528824,0.2431555688381195,0.29463258385658264
dislodge,0.24576976895332336,0.1724252551794052,0.35755282640457153,0.21649408340454102,0.2893393933773041,0.40230467915534973,-0.003560443175956607,0.2861648201942444,0.10409138351678848
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,0.2864013612270355,-0.01540423184633255,0.26213887333869934,0.22068053483963013
french,0.17393042147159576,0.2523815333843231,0.2555147111415863,0.0869997963309288,0.19450366497039795,0.31502044200897217,0.0634014755487442,0.15031877160072327,0.1386883556842804
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.19919876754283905,0.5352458953857422,0.3080593943595886,-0.003708066651597619,0.17779675126075745,0.4130953550338745
