,during,what,period,the,drainage,basin,of,the,amazon,likely,split,?
during,1.0,0.24137552082538605,0.5020045042037964,0.4838213622570038,0.16492190957069397,0.17691287398338318,0.3869180977344513,0.4838213622570038,0.11170908063650131,0.23529133200645447,0.1790570616722107,0.1325719803571701
the,0.4838213622570038,0.42745697498321533,0.3125074505805969,1.0,0.2736852467060089,0.24553915858268738,0.733189046382904,1.0,0.260541707277298,0.28129076957702637,0.2967630624771118,0.22068053483963013
mid-eocene,0.3038148283958435,0.23373368382453918,0.4051399827003479,0.25416916608810425,0.2686854898929596,0.3988892138004303,0.20399650931358337,0.25416916608810425,0.19582322239875793,0.30728039145469666,0.21539530158042908,0.16638007760047913
",",0.3225448727607727,0.3087472915649414,0.25030651688575745,0.4933079481124878,0.20687855780124664,0.25865232944488525,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.22176046669483185,0.26985031366348267,0.31091248989105225
it,0.26678937673568726,0.45803478360176086,0.2586527168750763,0.6251175999641418,0.2714359164237976,0.25201135873794556,0.38761502504348755,0.6251175999641418,0.22231659293174744,0.32353657484054565,0.19493211805820465,0.25732165575027466
is,0.2240111529827118,0.28837618231773376,0.1838376820087433,0.5823672413825989,0.2501681447029114,0.2273138016462326,0.4854315221309662,0.5823672413825989,0.15197539329528809,0.2638912796974182,0.1479039490222931,0.22961433231830597
believed,0.29333433508872986,0.32626157999038696,0.21553684771060944,0.324635773897171,0.14397597312927246,0.20235739648342133,0.2945859134197235,0.324635773897171,0.16641747951507568,0.355274498462677,0.08082016557455063,0.17606885731220245
that,0.31487685441970825,0.6297725439071655,0.261763334274292,0.5473989248275757,0.18015657365322113,0.21932947635650635,0.41498205065727234,0.5473989248275757,0.2228476107120514,0.4531876742839813,0.26544344425201416,0.32716336846351624
the,0.4838213622570038,0.42745697498321533,0.3125074505805969,1.0,0.2736852467060089,0.24553915858268738,0.733189046382904,1.0,0.260541707277298,0.28129076957702637,0.2967630624771118,0.22068053483963013
drainage,0.16492190957069397,0.1597922295331955,0.21420343220233917,0.2736852467060089,1.0,0.6340781450271606,0.2812975347042084,0.2736852467060089,0.35996633768081665,0.15312038362026215,0.11054781824350357,0.160207137465477
basin,0.17691287398338318,0.1565224826335907,0.19154924154281616,0.24553915858268738,0.6340781450271606,1.0,0.2557278275489807,0.24553915858268738,0.41143864393234253,0.21333257853984833,0.10522393137216568,0.14685653150081635
of,0.3869180977344513,0.33290785551071167,0.2698146104812622,0.733189046382904,0.2812975347042084,0.2557278275489807,1.0,0.733189046382904,0.20143137872219086,0.2704482078552246,0.2359420210123062,0.1826142966747284
the,0.4838213622570038,0.42745697498321533,0.3125074505805969,1.0,0.2736852467060089,0.24553915858268738,0.733189046382904,1.0,0.260541707277298,0.28129076957702637,0.2967630624771118,0.22068053483963013
amazon,0.11170908063650131,0.16355936229228973,0.0240377988666296,0.260541707277298,0.35996633768081665,0.41143864393234253,0.20143137872219086,0.260541707277298,1.0000001192092896,0.20426800847053528,0.022433342412114143,0.18144656717777252
was,0.4470829963684082,0.22111038863658905,0.2820133864879608,0.48711544275283813,0.1710943579673767,0.1841808706521988,0.4069072902202606,0.48711544275283813,0.14616160094738007,0.20650577545166016,0.17593012750148773,0.18412111699581146
split,0.1790570616722107,0.2802104353904724,0.10811769962310791,0.2967630624771118,0.11054781824350357,0.10522393137216568,0.2359420210123062,0.2967630624771118,0.022433342412114143,0.12204042077064514,1.0,0.16133880615234375
along,0.2916613221168518,0.22421957552433014,0.11920028179883957,0.39495137333869934,0.2822628319263458,0.17943032085895538,0.34889817237854004,0.39495137333869934,0.19534365832805634,0.18066850304603577,0.19774951040744781,0.17134909331798553
the,0.4838213622570038,0.42745697498321533,0.3125074505805969,1.0,0.2736852467060089,0.24553915858268738,0.733189046382904,1.0,0.260541707277298,0.28129076957702637,0.2967630624771118,0.22068053483963013
middle,0.2737145721912384,0.18312302231788635,0.3017711937427521,0.3405749201774597,0.16470839083194733,0.20068888366222382,0.2799445688724518,0.3405749201774597,0.13513457775115967,0.1706540882587433,0.23364047706127167,0.13139553368091583
of,0.3869180977344513,0.33290785551071167,0.2698146104812622,0.733189046382904,0.2812975347042084,0.2557278275489807,1.0,0.733189046382904,0.20143137872219086,0.2704482078552246,0.2359420210123062,0.1826142966747284
the,0.4838213622570038,0.42745697498321533,0.3125074505805969,1.0,0.2736852467060089,0.24553915858268738,0.733189046382904,1.0,0.260541707277298,0.28129076957702637,0.2967630624771118,0.22068053483963013
continent,0.2741602659225464,0.23903432488441467,0.26923394203186035,0.3139871060848236,0.2530270218849182,0.34918317198753357,0.2647381126880646,0.3139871060848236,0.24172286689281464,0.21267929673194885,0.22300207614898682,0.17592057585716248
by,0.3220438063144684,0.2455483376979828,0.22862431406974792,0.4408751428127289,0.18968628346920013,0.19840280711650848,0.3646814823150635,0.4408751428127289,0.16320857405662537,0.22235819697380066,0.21557176113128662,0.17966607213020325
the,0.4838213622570038,0.42745697498321533,0.3125074505805969,1.0,0.2736852467060089,0.24553915858268738,0.733189046382904,1.0,0.260541707277298,0.28129076957702637,0.2967630624771118,0.22068053483963013
purus,0.03388280048966408,0.15506362915039062,0.1336848884820938,0.12622052431106567,0.29164692759513855,0.3173162639141083,0.16428261995315552,0.12622052431106567,0.31015291810035706,0.14026492834091187,0.10620585829019547,0.10452352464199066
arch,0.11119561642408371,0.08674012869596481,0.1369277536869049,0.26320189237594604,0.25521665811538696,0.13928711414337158,0.2235732227563858,0.26320189237594604,0.10991878062486649,0.07478249818086624,0.13369645178318024,0.12708529829978943
.,0.3485563397407532,0.3567904531955719,0.2575049102306366,0.5934505462646484,0.18976770341396332,0.20696322619915009,0.5352458953857422,0.5934505462646484,0.262887567281723,0.26822179555892944,0.26228174567222595,0.4130953550338745
