,how,do,socialists,think,the,means,of,production,should,be,owned,?
in,0.2601168751716614,0.23402775824069977,0.19073569774627686,0.23837615549564362,0.6662389636039734,0.1979396492242813,0.5696388483047485,0.22079120576381683,0.23054338991641998,0.3481820821762085,0.22438469529151917,0.20430970191955566
order,0.22134430706501007,0.20566318929195404,0.18986894190311432,0.16008847951889038,0.3284194767475128,0.27115827798843384,0.31287699937820435,0.14503537118434906,0.2464611828327179,0.23933173716068268,0.10993311554193497,0.13725648820400238
to,0.44169697165489197,0.38876664638519287,0.2196017950773239,0.3748004138469696,0.535392165184021,0.2301892638206482,0.41548454761505127,0.2144220918416977,0.44452130794525146,0.4972836375236511,0.12258157879114151,0.29463258385658264
rectify,0.3336012065410614,0.3676319122314453,0.20510989427566528,0.3938025236129761,0.263774573802948,0.2050492763519287,0.22648826241493225,0.08593860268592834,0.3952788710594177,0.3922386169433594,0.07031618803739548,0.2360811084508896
this,0.45272302627563477,0.34963881969451904,0.21503420174121857,0.5337333679199219,0.6274310946464539,0.355641633272171,0.45148900151252747,0.29359349608421326,0.5047021508216858,0.566177248954773,0.14459708333015442,0.3155723512172699
situation,0.42087048292160034,0.25660836696624756,0.26243120431900024,0.39944207668304443,0.29657405614852905,0.2642885446548462,0.22593308985233307,0.18369950354099274,0.3858863115310669,0.36314764618873596,0.11785625666379929,0.2714049518108368
",",0.22659391164779663,0.3283645510673523,0.24083997309207916,0.3095206320285797,0.4933079481124878,0.24041147530078888,0.4946078956127167,0.24176549911499023,0.2706286907196045,0.39254459738731384,0.21168820559978485,0.31091248989105225
socialists,0.18745599687099457,0.27937644720077515,0.9999998807907104,0.3017447292804718,0.2460591197013855,0.19573315978050232,0.22956755757331848,0.09793578088283539,0.2850625216960907,0.21549515426158905,0.2553552985191345,0.1783614307641983
argue,0.35433515906333923,0.37047433853149414,0.32702481746673584,0.5350470542907715,0.20374833047389984,0.21460744738578796,0.19617585837841034,0.14518100023269653,0.3745560944080353,0.317128986120224,0.11373892426490784,0.32235559821128845
that,0.557814359664917,0.44533252716064453,0.26218128204345703,0.5798900723457336,0.5473989248275757,0.3582829535007477,0.41498205065727234,0.2620202302932739,0.4588061273097992,0.6036020517349243,0.26197874546051025,0.32716336846351624
the,0.33890387415885925,0.30239659547805786,0.2460591197013855,0.3102172613143921,1.0,0.32225894927978516,0.733189046382904,0.2657334506511688,0.32399165630340576,0.4248143136501312,0.1999378502368927,0.22068053483963013
means,0.27608850598335266,0.3306066393852234,0.19573315978050232,0.3384155035018921,0.32225894927978516,1.0000001192092896,0.29942914843559265,0.17755331099033356,0.25273996591567993,0.33581557869911194,0.18232977390289307,0.21233566105365753
of,0.2480744868516922,0.26150479912757874,0.22956755757331848,0.2625778615474701,0.733189046382904,0.29942914843559265,1.0,0.1928233802318573,0.23792634904384613,0.33904364705085754,0.17190153896808624,0.1826142966747284
production,0.19858919084072113,0.10785744339227676,0.09793578088283539,0.15453873574733734,0.2657334506511688,0.17755331099033356,0.1928233802318573,1.0,0.12073273956775665,0.20240652561187744,0.2565430998802185,0.19318072497844696
should,0.40632209181785583,0.49775537848472595,0.2850625216960907,0.577530026435852,0.32399165630340576,0.25273996591567993,0.23792634904384613,0.12073273956775665,0.9999999403953552,0.6527681946754456,0.16207817196846008,0.4442402422428131
be,0.4158933162689209,0.36575672030448914,0.21549515426158905,0.4904957115650177,0.4248143136501312,0.33581557869911194,0.33904364705085754,0.20240652561187744,0.6527681946754456,1.0,0.14386385679244995,0.3324260413646698
socially,0.2540576159954071,0.21943266689777374,0.5881314873695374,0.3353855013847351,0.18457017838954926,0.22359177470207214,0.15390996634960175,0.11717616021633148,0.30134156346321106,0.38587772846221924,0.20862069725990295,0.13515418767929077
owned,0.10617922991514206,0.1401011347770691,0.2553552985191345,0.16038812696933746,0.1999378502368927,0.18232977390289307,0.17190153896808624,0.2565430998802185,0.16207817196846008,0.14386385679244995,1.0000001192092896,0.1288648396730423
so,0.6081400513648987,0.4966239333152771,0.26373961567878723,0.5814604759216309,0.4296516180038452,0.40313225984573364,0.3184450566768646,0.18980643153190613,0.4854746460914612,0.5552230477333069,0.17594677209854126,0.43163934350013733
that,0.557814359664917,0.44533252716064453,0.26218128204345703,0.5798900723457336,0.5473989248275757,0.3582829535007477,0.41498205065727234,0.2620202302932739,0.4588061273097992,0.6036020517349243,0.26197874546051025,0.32716336846351624
