,what,caused,the,dynamos,to,be,burnt,out,?
in,0.30808621644973755,0.2494886964559555,0.6662389636039734,0.22034192085266113,0.45010748505592346,0.3481820821762085,0.28502529859542847,0.3576207756996155,0.20430970191955566
august,0.2305731326341629,0.1531265377998352,0.22689028084278107,0.1428794115781784,0.2269229143857956,0.20480798184871674,0.055376674979925156,0.14808784425258636,0.3006744682788849
1917,0.01769399829208851,0.042706746608018875,0.0785154402256012,0.2099045068025589,-0.00011572400399018079,0.02400072291493416,-0.04763523116707802,-0.015464198775589466,0.11480528861284256
",",0.3087472915649414,0.2600580155849457,0.4933079481124878,0.22256934642791748,0.44245919585227966,0.39254459738731384,0.22986051440238953,0.3161109685897827,0.31091248989105225
tesla,0.23221199214458466,0.05371434986591339,0.1324402391910553,0.3287908136844635,0.17548894882202148,0.15180771052837372,0.07171531766653061,0.2017683982849121,0.10250775516033173
explained,0.4148936867713928,0.30425408482551575,0.2738569974899292,0.10987826436758041,0.2741650342941284,0.3688352108001709,0.16104410588741302,0.29283973574638367,0.31240519881248474
what,0.9999998807907104,0.22264783084392548,0.42745697498321533,0.14836987853050232,0.455847829580307,0.3929833769798279,0.20376738905906677,0.3633197546005249,0.5051238536834717
had,0.23849567770957947,0.3557124435901642,0.3875846862792969,0.14625924825668335,0.37984350323677063,0.35315439105033875,0.22089873254299164,0.317210853099823,0.20728366076946259
happened,0.47802624106407166,0.4673246145248413,0.3589572608470917,0.09885106980800629,0.2299996316432953,0.259830504655838,0.3034898340702057,0.3009033799171448,0.3097429871559143
in,0.30808621644973755,0.2494886964559555,0.6662389636039734,0.22034192085266113,0.45010748505592346,0.3481820821762085,0.28502529859542847,0.3576207756996155,0.20430970191955566
the,0.42745697498321533,0.24990202486515045,1.0,0.2381102442741394,0.535392165184021,0.4248143136501312,0.2630751132965088,0.39404502511024475,0.22068053483963013
electrical,0.19961315393447876,0.17726890742778778,0.2523402273654938,0.3604138493537903,0.2649001479148865,0.23986664414405823,0.20960164070129395,0.1793334037065506,0.10923371464014053
experimenter,0.2885882258415222,0.12567436695098877,0.18919293582439423,0.21768221259117126,0.2326885312795639,0.29936882853507996,0.053007181733846664,0.2600405216217041,0.14729253947734833
:,-0.12022944539785385,-0.16143012046813965,-0.03403344005346298,0.03546052426099777,-0.09243495017290115,-0.09417453408241272,-0.10550342500209808,-0.0349646657705307,-0.07156077772378922
``,0.008517155423760414,0.01392306201159954,0.029072100296616554,0.03439316153526306,0.06720756739377975,0.07670000940561295,-0.1494418978691101,0.024644849821925163,0.0685480609536171
as,0.31749409437179565,0.16101646423339844,0.48381632566452026,0.18194209039211273,0.42092081904411316,0.5230465531349182,0.18196070194244385,0.3124499022960663,0.27043893933296204
an,0.2821882665157318,0.2219875156879425,0.4207492768764496,0.1898823231458664,0.3138085603713989,0.33041056990623474,0.12276624888181686,0.2333006113767624,0.19793890416622162
example,0.3456268310546875,0.24628683924674988,0.3755223751068115,0.1797051578760147,0.3451666533946991,0.4382762610912323,0.10066238045692444,0.2541006803512573,0.30374911427497864
of,0.33290785551071167,0.29665443301200867,0.733189046382904,0.20738711953163147,0.41548454761505127,0.33904364705085754,0.19265000522136688,0.34176841378211975,0.1826142966747284
what,0.9999998807907104,0.22264783084392548,0.42745697498321533,0.14836987853050232,0.455847829580307,0.3929833769798279,0.20376738905906677,0.3633197546005249,0.5051238536834717
has,0.20338068902492523,0.1852779984474182,0.4177538752555847,0.15769970417022705,0.3619994819164276,0.3863394856452942,0.14417360723018646,0.30727511644363403,0.15994466841220856
been,0.2567804455757141,0.2684411406517029,0.3563927710056305,0.11822003871202469,0.34945759177207947,0.5304332375526428,0.2550283670425415,0.2526022791862488,0.24354910850524902
done,0.40743619203567505,0.280630499124527,0.26575928926467896,0.13307875394821167,0.2647212743759155,0.39659690856933594,0.18619616329669952,0.29111334681510925,0.36153489351272583
with,0.2464839518070221,0.31770411133766174,0.4223487675189972,0.1766856610774994,0.4239959120750427,0.36101722717285156,0.1546066254377365,0.3367781639099121,0.2433311939239502
several,0.22446060180664062,0.1962815672159195,0.40559855103492737,0.21688804030418396,0.36196985840797424,0.3049358129501343,0.21573175489902496,0.23978015780448914,0.15595775842666626
hundred,0.16879357397556305,0.17203693091869354,0.3325488865375519,0.1331106573343277,0.2489847093820572,0.24208588898181915,0.22314272820949554,0.2468559741973877,0.17378053069114685
kilowatts,0.1843169778585434,0.2217918485403061,0.24929918348789215,0.25880321860313416,0.27093854546546936,0.30517813563346863,0.22365215420722961,0.2073163241147995,0.2282012701034546
of,0.33290785551071167,0.29665443301200867,0.733189046382904,0.20738711953163147,0.41548454761505127,0.33904364705085754,0.19265000522136688,0.34176841378211975,0.1826142966747284
high,0.20466077327728271,0.18134021759033203,0.28034812211990356,0.13219673931598663,0.28947713971138,0.1991795301437378,0.207664355635643,0.22897948324680328,0.11137914657592773
frequency,0.2807137370109558,0.24203941226005554,0.20417852699756622,0.2802744209766388,0.2516654431819916,0.2725064158439636,0.08867597579956055,0.16544511914253235,0.17067383229732513
energy,0.190252885222435,0.19706611335277557,0.26756542921066284,0.252238929271698,0.27179354429244995,0.2677359879016876,0.157292902469635,0.23746363818645477,0.14860127866268158
liberated,0.18041864037513733,0.28507184982299805,0.2949730455875397,0.14838363230228424,0.2402469366788864,0.15158627927303314,0.279611736536026,0.23093004524707794,0.1415107548236847
",",0.3087472915649414,0.2600580155849457,0.4933079481124878,0.22256934642791748,0.44245919585227966,0.39254459738731384,0.22986051440238953,0.3161109685897827,0.31091248989105225
it,0.45803478360176086,0.16968581080436707,0.6251175999641418,0.13092629611492157,0.513711154460907,0.5203388929367065,0.2709875702857971,0.3502036929130554,0.25732165575027466
was,0.22111038863658905,0.25113144516944885,0.48711544275283813,0.1745767891407013,0.3636345863342285,0.42228707671165466,0.2836604714393616,0.28168347477912903,0.18412111699581146
found,0.1796332150697708,0.24224184453487396,0.3452354073524475,0.08457425981760025,0.25225648283958435,0.23313552141189575,0.23626184463500977,0.22100472450256348,0.16790300607681274
that,0.6297725439071655,0.33201703429222107,0.5473989248275757,0.18960656225681305,0.5436353087425232,0.6036020517349243,0.2288326770067215,0.43996092677116394,0.32716336846351624
the,0.42745697498321533,0.24990202486515045,1.0,0.2381102442741394,0.535392165184021,0.4248143136501312,0.2630751132965088,0.39404502511024475,0.22068053483963013
dynamos,0.14836987853050232,0.12702128291130066,0.2381102442741394,1.0,0.17252151668071747,0.14787380397319794,0.09597807377576828,0.13291263580322266,0.15026286244392395
