,what,kind,of,gradients,does,cpdna,have,?
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.16120393574237823,0.214483380317688,0.29560428857803345,0.36843645572662354,0.20430970191955566
cpdna,0.3001426160335541,0.23342859745025635,0.3094331622123718,0.30427464842796326,0.27968472242355347,0.9999999403953552,0.33162617683410645,0.20631195604801178
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.22679220139980316,0.28617382049560547,0.31784769892692566,0.3541618287563324,0.31091248989105225
there,0.35085538029670715,0.29799365997314453,0.44397735595703125,0.1763945370912552,0.2930194139480591,0.2114943116903305,0.5194604992866516,0.29405656456947327
are,0.29724663496017456,0.296465665102005,0.39081433415412903,0.2966657876968384,0.3126322329044342,0.2663031816482544,0.6577680706977844,0.24591213464736938
several,0.22446060180664062,0.19271114468574524,0.3271615505218506,0.17390306293964386,0.2083442658185959,0.28102850914001465,0.45253247022628784,0.15595775842666626
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.2098013162612915,0.38201746344566345,0.3500497341156006,0.338716596364975,0.23916715383529663
→,0.0946284607052803,0.10202056169509888,0.1470615416765213,0.19030633568763733,0.14716893434524536,0.05920691788196564,0.08797155320644379,0.27053216099739075
g,0.1146370992064476,0.11944307386875153,0.179255872964859,0.2177831083536148,0.19039864838123322,0.2094288170337677,0.1465212106704712,0.213205024600029
deamination,0.3345491588115692,0.24774269759655,0.3055019974708557,0.36310210824012756,0.2356075644493103,0.39510756731033325,0.30284491181373596,0.26252666115760803
gradients,0.28271761536598206,0.20358537137508392,0.2172093391418457,1.0000001192092896,0.3216506540775299,0.30427464842796326,0.25967317819595337,0.19242653250694275
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.24666668474674225,0.3022993505001068,0.3225124180316925,0.41614407300949097,0.4130953550338745
