,what,do,the,top,400,richest,americans,have,more,of,than,half,of,all,americans,combined,?
according,0.2776208221912384,0.16328340768814087,0.3202974498271942,0.1592642366886139,0.04457101225852966,0.27411696314811707,0.19246500730514526,0.23988237977027893,0.22043061256408691,0.3307822346687317,0.21595615148544312,0.17748919129371643,0.3307822346687317,0.1804305762052536,0.19246500730514526,0.30667218565940857,0.21173474192619324
to,0.455847829580307,0.38876664638519287,0.535392165184021,0.20897358655929565,0.0779322162270546,0.17104682326316833,0.30128014087677,0.4544740617275238,0.47084665298461914,0.41548454761505127,0.3192550539970398,0.21248666942119598,0.41548454761505127,0.42520734667778015,0.30128014087677,0.24629315733909607,0.29463258385658264
politifact,0.29743894934654236,0.18696872889995575,0.21818405389785767,0.15902522206306458,0.05980721861124039,0.26939716935157776,0.2435058206319809,0.22643880546092987,0.23192107677459717,0.29086360335350037,0.18339881300926208,0.09988849610090256,0.29086360335350037,0.1849304437637329,0.2435058206319809,0.08768802136182785,0.27299514412879944
the,0.42745697498321533,0.30239659547805786,1.0,0.31754136085510254,0.17705115675926208,0.27766263484954834,0.3275100290775299,0.40389683842658997,0.39758381247520447,0.733189046382904,0.3227543234825134,0.3189295828342438,0.733189046382904,0.4860881567001343,0.3275100290775299,0.3713363707065582,0.22068053483963013
top,0.21232028305530548,0.15315739810466766,0.31754136085510254,1.0000001192092896,0.19601263105869293,0.1784248650074005,0.11195775121450424,0.24586878716945648,0.2007104605436325,0.20362378656864166,0.20067130029201508,0.2034376710653305,0.20362378656864166,0.3058520257472992,0.11195775121450424,0.1252330094575882,0.17265194654464722
400,0.19401682913303375,0.14342384040355682,0.17705115675926208,0.19601263105869293,1.0,0.03967668116092682,0.026167768985033035,0.06559506803750992,0.11689270287752151,0.1451684534549713,0.08722815662622452,0.11155281215906143,0.1451684534549713,0.11065758019685745,0.026167768985033035,0.06454223394393921,0.14271585643291473
richest,0.15347081422805786,0.12872956693172455,0.27766263484954834,0.1784248650074005,0.03967668116092682,1.0,0.2053712159395218,0.16106930375099182,0.20074482262134552,0.3122171461582184,0.20574013888835907,0.1929003894329071,0.3122171461582184,0.2586996853351593,0.2053712159395218,0.1909211426973343,0.15691500902175903
americans,0.2497653216123581,0.1926230788230896,0.3275100290775299,0.11195775121450424,0.026167768985033035,0.2053712159395218,1.0,0.28350692987442017,0.2998882234096527,0.22938047349452972,0.2501428425312042,0.16127902269363403,0.22938047349452972,0.28793179988861084,1.0,0.29124897718429565,0.19417695701122284
``,0.008517155423760414,0.06628920882940292,0.029072100296616554,-0.04198819771409035,-0.10072708129882812,0.030559908598661423,0.00415491359308362,0.1022237241268158,0.08673381805419922,0.06780257821083069,0.12080201506614685,0.059091221541166306,0.06780257821083069,0.0555710643529892,0.00415491359308362,0.08128747344017029,0.0685480609536171
have,0.39808809757232666,0.49831271171569824,0.40389683842658997,0.24586878716945648,0.06559506803750992,0.16106930375099182,0.28350692987442017,0.9999999403953552,0.49033403396606445,0.3802283704280853,0.46517109870910645,0.252441942691803,0.3802283704280853,0.5559456944465637,0.28350692987442017,0.24778592586517334,0.32991164922714233
more,0.3484537899494171,0.3514035940170288,0.39758381247520447,0.2007104605436325,0.11689270287752151,0.20074482262134552,0.2998882234096527,0.49033403396606445,1.0,0.30478984117507935,0.726518988609314,0.2620123624801636,0.30478984117507935,0.39087146520614624,0.2998882234096527,0.3179871141910553,0.27894994616508484
wealth,0.2415573000907898,0.07294061034917831,0.24999672174453735,0.10033880174160004,0.03731580451130867,0.5262152552604675,0.2542923092842102,0.20081286132335663,0.24429993331432343,0.27235376834869385,0.22315660119056702,0.14941507577896118,0.27235376834869385,0.20417547225952148,0.2542923092842102,0.17849938571453094,0.1624586433172226
than,0.29388150572776794,0.2387038916349411,0.3227543234825134,0.20067130029201508,0.08722815662622452,0.20574013888835907,0.2501428425312042,0.46517109870910645,0.726518988609314,0.33036211133003235,1.0,0.3671102523803711,0.33036211133003235,0.30176207423210144,0.2501428425312042,0.25774458050727844,0.24917294085025787
half,0.13016436994075775,0.13905537128448486,0.3189295828342438,0.2034376710653305,0.11155281215906143,0.1929003894329071,0.16127902269363403,0.252441942691803,0.2620123624801636,0.2784358561038971,0.3671102523803711,1.0000001192092896,0.2784358561038971,0.3124762177467346,0.16127902269363403,0.14145991206169128,0.07471233606338501
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.20362378656864166,0.1451684534549713,0.3122171461582184,0.22938047349452972,0.3802283704280853,0.30478984117507935,1.0,0.33036211133003235,0.2784358561038971,1.0,0.42798417806625366,0.22938047349452972,0.399336040019989,0.1826142966747284
all,0.41981086134910583,0.38664430379867554,0.4860881567001343,0.3058520257472992,0.11065758019685745,0.2586996853351593,0.28793179988861084,0.5559456944465637,0.39087146520614624,0.42798417806625366,0.30176207423210144,0.3124762177467346,0.42798417806625366,1.0000001192092896,0.28793179988861084,0.331554114818573,0.29575422406196594
americans,0.2497653216123581,0.1926230788230896,0.3275100290775299,0.11195775121450424,0.026167768985033035,0.2053712159395218,1.0,0.28350692987442017,0.2998882234096527,0.22938047349452972,0.2501428425312042,0.16127902269363403,0.22938047349452972,0.28793179988861084,1.0,0.29124897718429565,0.19417695701122284
combined,0.21267308294773102,0.11344467103481293,0.3713363707065582,0.1252330094575882,0.06454223394393921,0.1909211426973343,0.29124897718429565,0.24778592586517334,0.3179871141910553,0.399336040019989,0.25774458050727844,0.14145991206169128,0.399336040019989,0.331554114818573,0.29124897718429565,1.0000001192092896,0.17985320091247559
.,0.3567904531955719,0.3613996207714081,0.5934505462646484,0.3064132034778595,0.1989181786775589,0.25926893949508667,0.2883085310459137,0.41614407300949097,0.4070230722427368,0.5352458953857422,0.3594527542591095,0.2995082437992096,0.5352458953857422,0.43406882882118225,0.2883085310459137,0.2813032567501068,0.4130953550338745
'',0.08143015950918198,-0.00043653504690155387,0.041273195296525955,-0.067232146859169,-0.025032708421349525,0.06304971128702164,-0.01845560036599636,0.0312618687748909,0.006126302294433117,0.13035868108272552,0.03252623230218887,-0.06915741413831711,0.13035868108272552,-0.05933554098010063,-0.01845560036599636,0.12371319532394409,0.018684765323996544
