,in,the,case,geven,v,land,nordrhein-westfalen,",",how,many,hours,was,the,dutch,woman,in,question,working,in,germany,?
conversely,0.2494407296180725,0.2955932319164276,0.25104251503944397,0.2845153212547302,0.11800896376371384,0.17266155779361725,0.16316303610801697,0.2322176992893219,0.26666948199272156,0.28080588579177856,0.23343180119991302,0.1470712125301361,0.2955932319164276,0.06695902347564697,0.1621321588754654,0.2494407296180725,0.3661673665046692,0.14845088124275208,0.2494407296180725,0.1347235143184662,0.1408759355545044
",",0.5201468467712402,0.4933079481124878,0.2977246046066284,0.3628690838813782,0.22053663432598114,0.22220008075237274,0.2946597933769226,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.236481711268425,0.45456063747406006,0.4933079481124878,0.23674406111240387,0.18664926290512085,0.5201468467712402,0.2616102993488312,0.29007792472839355,0.5201468467712402,0.2898865044116974,0.31091248989105225
in,1.0,0.6662389636039734,0.2190418541431427,0.3328619599342346,0.15216681361198425,0.22871792316436768,0.34919682145118713,0.5201468467712402,0.2601168751716614,0.41474202275276184,0.2001713663339615,0.45514053106307983,0.6662389636039734,0.17559829354286194,0.2614135444164276,1.0,0.207119882106781,0.3062970042228699,1.0,0.3642844259738922,0.20430970191955566
geven,0.3328619599342346,0.4250638782978058,0.201730415225029,1.0,0.15606050193309784,0.3052910268306732,0.4702661633491516,0.3628690838813782,0.274238258600235,0.29568424820899963,0.2627919018268585,0.3327416777610779,0.4250638782978058,0.31203433871269226,0.22318920493125916,0.3328619599342346,0.23112301528453827,0.24526149034500122,0.3328619599342346,0.3343907594680786,0.22895367443561554
v,0.15216681361198425,0.18580520153045654,0.2666381299495697,0.15606050193309784,1.0,0.1269713044166565,0.1643991470336914,0.22053663432598114,0.15972670912742615,0.09144165366888046,0.15015637874603271,0.16128918528556824,0.18580520153045654,0.06204941123723984,0.12127333879470825,0.15216681361198425,0.16260933876037598,0.04314824938774109,0.15216681361198425,0.15178538858890533,0.28677162528038025
land,0.22871792316436768,0.28587454557418823,0.14212025701999664,0.3052910268306732,0.1269713044166565,1.0000001192092896,0.27196285128593445,0.22220008075237274,0.1918935328722,0.19642266631126404,0.11329525709152222,0.23751215636730194,0.28587454557418823,0.13470709323883057,0.13883134722709656,0.22871792316436768,0.13250522315502167,0.09548249840736389,0.22871792316436768,0.19614209234714508,0.1432059109210968
nordrhein-westfalen,0.34919682145118713,0.3072216212749481,0.12828010320663452,0.4702661633491516,0.1643991470336914,0.27196285128593445,1.0,0.2946597933769226,0.1410672515630722,0.1598273366689682,0.11707623302936554,0.23061716556549072,0.3072216212749481,0.3244915008544922,0.15008068084716797,0.34919682145118713,0.14788399636745453,0.1341342329978943,0.34919682145118713,0.5775896310806274,0.19806541502475739
the,0.6662389636039734,1.0,0.31022098660469055,0.4250638782978058,0.18580520153045654,0.28587454557418823,0.3072216212749481,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.18919475376605988,0.48711544275283813,1.0,0.1705695390701294,0.2831476032733917,0.6662389636039734,0.28031662106513977,0.25857484340667725,0.6662389636039734,0.3181285262107849,0.22068053483963013
court,0.2793687880039215,0.2812081575393677,0.4225234091281891,0.18782778084278107,0.31226083636283875,0.19571229815483093,0.14735352993011475,0.24410836398601532,0.16033481061458588,0.1737540364265442,0.12620720267295837,0.2737988233566284,0.2812081575393677,0.11459442973136902,0.20282529294490814,0.2793687880039215,0.24516108632087708,0.12989234924316406,0.2793687880039215,0.21192631125450134,0.17100423574447632
of,0.5696388483047485,0.733189046382904,0.24743439257144928,0.38154467940330505,0.1655031144618988,0.3057127296924591,0.27976885437965393,0.4946078956127167,0.2480744868516922,0.37253960967063904,0.1357264667749405,0.4069072902202606,0.733189046382904,0.14408773183822632,0.23774354159832,0.5696388483047485,0.2222393900156021,0.19986772537231445,0.5696388483047485,0.2942050099372864,0.1826142966747284
justice,0.2678598463535309,0.23470892012119293,0.284448504447937,0.18588787317276,0.22317616641521454,0.1622002273797989,0.14911189675331116,0.22630788385868073,0.14733581244945526,0.13277673721313477,0.12305502593517303,0.24932703375816345,0.23470892012119293,0.03029491752386093,0.2576695680618286,0.2678598463535309,0.2523495554924011,0.1926376074552536,0.2678598463535309,0.15594257414340973,0.19269752502441406
held,0.3127288818359375,0.32185450196266174,0.1021638736128807,0.24904900789260864,0.09840460121631622,0.17132847011089325,0.1934286206960678,0.2880980372428894,0.06776752322912216,0.20985887944698334,0.16521301865577698,0.30231067538261414,0.32185450196266174,0.07870341837406158,0.1879318654537201,0.3127288818359375,0.1231640875339508,0.19494469463825226,0.3127288818359375,0.1865389198064804,0.14103956520557404
that,0.435920387506485,0.5473989248275757,0.4129708409309387,0.3577074706554413,0.14623945951461792,0.256797194480896,0.1560973972082138,0.4137537479400635,0.557814359664917,0.5391656160354614,0.22699102759361267,0.33670201897621155,0.5473989248275757,0.15895026922225952,0.21424329280853271,0.435920387506485,0.4109575152397156,0.34541255235671997,0.435920387506485,0.22514168918132782,0.32716336846351624
a,0.539380669593811,0.5829201340675354,0.3104211390018463,0.3098410665988922,0.21861357986927032,0.247930645942688,0.25008976459503174,0.427140474319458,0.29312583804130554,0.2872205972671509,0.22820048034191132,0.4508470594882965,0.5829201340675354,0.1946597695350647,0.31183090806007385,0.539380669593811,0.3184618055820465,0.2998538911342621,0.539380669593811,0.2606942057609558,0.23916715383529663
dutch,0.17559829354286194,0.1705695390701294,0.07627259194850922,0.31203433871269226,0.06204941123723984,0.13470709323883057,0.3244915008544922,0.23674406111240387,0.14990761876106262,0.13524720072746277,0.15012530982494354,0.2182149887084961,0.1705695390701294,0.9999999403953552,0.1275305300951004,0.17559829354286194,0.1649201512336731,0.1592073142528534,0.17559829354286194,0.28909558057785034,0.1081366017460823
woman,0.2614135444164276,0.2831476032733917,0.19362810254096985,0.22318920493125916,0.12127333879470825,0.13883134722709656,0.15008068084716797,0.18664926290512085,0.20250318944454193,0.16905343532562256,0.138595312833786,0.2959340214729309,0.2831476032733917,0.1275305300951004,0.9999998807907104,0.2614135444164276,0.18432006239891052,0.1591673046350479,0.2614135444164276,0.13796904683113098,0.22504617273807526
living,0.3253810405731201,0.3127744197845459,0.14183177053928375,0.19955889880657196,0.04331940785050392,0.27157387137413025,0.23110413551330566,0.26278790831565857,0.16140781342983246,0.3044293522834778,0.09329625219106674,0.16790105402469635,0.3127744197845459,0.10695058852434158,0.16447432339191437,0.3253810405731201,0.13595205545425415,0.2555222809314728,0.3253810405731201,0.14926227927207947,0.18362653255462646
in,1.0,0.6662389636039734,0.2190418541431427,0.3328619599342346,0.15216681361198425,0.22871792316436768,0.34919682145118713,0.5201468467712402,0.2601168751716614,0.41474202275276184,0.2001713663339615,0.45514053106307983,0.6662389636039734,0.17559829354286194,0.2614135444164276,1.0,0.207119882106781,0.3062970042228699,1.0,0.3642844259738922,0.20430970191955566
the,0.6662389636039734,1.0,0.31022098660469055,0.4250638782978058,0.18580520153045654,0.28587454557418823,0.3072216212749481,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.18919475376605988,0.48711544275283813,1.0,0.1705695390701294,0.2831476032733917,0.6662389636039734,0.28031662106513977,0.25857484340667725,0.6662389636039734,0.3181285262107849,0.22068053483963013
