,what,scripture,did,luther,use,to,back,up,his,opinion,that,churchmen,were,not,infallible,?
luther,0.2134782373905182,0.28423163294792175,0.23667675256729126,1.0,0.10849796235561371,0.18029534816741943,0.1458507627248764,0.16395266354084015,0.27093374729156494,0.2205309271812439,0.21746599674224854,0.3640729486942291,0.18652333319187164,0.21636232733726501,0.27819791436195374,0.1732746809720993
's,0.02692362666130066,0.021652311086654663,0.05069678649306297,-0.009990512393414974,0.004619393963366747,0.03782717138528824,-0.032200850546360016,-0.08862818777561188,0.047556519508361816,0.048765089362859726,0.04397977516055107,0.043971456587314606,0.007088581565767527,0.002583299996331334,-0.013566303066909313,-0.023395681753754616
boldest,0.20154057443141937,0.2343493551015854,0.16970117390155792,0.10793078690767288,0.23821504414081573,0.24735255539417267,0.16322696208953857,0.2137911170721054,0.22650885581970215,0.23226672410964966,0.2499392330646515,0.1870061159133911,0.16032475233078003,0.28826481103897095,0.2381027787923813,0.29992786049842834
assertion,0.40484869480133057,0.3781432807445526,0.2573946714401245,0.2606428265571594,0.25632452964782715,0.27834227681159973,0.1413920521736145,0.14971153438091278,0.26751071214675903,0.4561727046966553,0.3883535861968994,0.228402778506279,0.12431760132312775,0.46094077825546265,0.4444473087787628,0.3792293667793274
in,0.30808621644973755,0.20650522410869598,0.2593238651752472,0.20523880422115326,0.2715643048286438,0.45010748505592346,0.25397348403930664,0.3120773434638977,0.3598145842552185,0.21849191188812256,0.435920387506485,0.24204930663108826,0.3815755248069763,0.3403114080429077,0.21592213213443756,0.20430970191955566
the,0.42745697498321533,0.26313304901123047,0.34736719727516174,0.1759674996137619,0.34342584013938904,0.535392165184021,0.3612101674079895,0.38423117995262146,0.4394008219242096,0.22474613785743713,0.5473989248275757,0.27289846539497375,0.3906462490558624,0.4310511648654938,0.27693629264831543,0.22068053483963013
debate,0.2918691337108612,0.2738338112831116,0.2533755600452423,0.19845250248908997,0.20266121625900269,0.26563018560409546,0.1625595986843109,0.19715078175067902,0.1642204374074936,0.39043086767196655,0.32586756348609924,0.17548413574695587,0.17712408304214478,0.31624066829681396,0.2533983290195465,0.227684885263443
was,0.22111038863658905,0.19491881132125854,0.41399896144866943,0.19185513257980347,0.17744606733322144,0.3636345863342285,0.2438982129096985,0.24070115387439728,0.4405253231525421,0.23842191696166992,0.33670201897621155,0.27495715022087097,0.590133786201477,0.2888734042644501,0.27923840284347534,0.18412111699581146
that,0.6297725439071655,0.3266982138156891,0.47518548369407654,0.21746599674224854,0.3939064145088196,0.5436353087425232,0.34040841460227966,0.35427621006965637,0.3173833191394806,0.36596253514289856,1.0,0.22821182012557983,0.35517072677612305,0.6600887179374695,0.38342854380607605,0.32716336846351624
matthew,0.22658760845661163,0.27642467617988586,0.21262799203395844,0.22797901928424835,0.059137605130672455,0.21404333412647247,0.1237129345536232,0.12823525071144104,0.1792549043893814,0.1275164783000946,0.23421569168567657,0.2592080533504486,0.17198430001735687,0.19476810097694397,0.27524515986442566,0.08641620725393295
