,what,doctor,who,was,written,without,doctor,who,in,it,?
other,0.341873437166214,0.21788395941257477,0.3612329661846161,0.14651623368263245,0.1887332946062088,0.2757754325866699,0.21788395941257477,0.3612329661846161,0.39989137649536133,0.36282607913017273,0.24682199954986572
original,0.24651947617530823,0.13737785816192627,0.1785319596529007,0.32203906774520874,0.30392760038375854,0.23838302493095398,0.13737785816192627,0.1785319596529007,0.2534193694591522,0.3096504509449005,0.17256900668144226
plays,0.12965579330921173,0.15809568762779236,0.24272681772708893,0.24187156558036804,0.24769137799739838,0.032930925488471985,0.15809568762779236,0.24272681772708893,0.24790528416633606,0.15999141335487366,0.14138242602348328
have,0.39808809757232666,0.17649078369140625,0.39246654510498047,0.2863433063030243,0.214742973446846,0.3828096389770508,0.17649078369140625,0.39246654510498047,0.36843645572662354,0.40974161028862,0.32991164922714233
been,0.2567804455757141,0.12184444069862366,0.3295723795890808,0.518218457698822,0.23291315138339996,0.26306283473968506,0.12184444069862366,0.3295723795890808,0.3515113592147827,0.35515493154525757,0.24354910850524902
staged,0.13009463250637054,0.044100478291511536,0.2343902438879013,0.30605757236480713,0.2630749046802521,0.10492930561304092,0.044100478291511536,0.2343902438879013,0.30971506237983704,0.20859894156455994,0.11597814410924911
as,0.31749409437179565,0.17422905564308167,0.3923053741455078,0.3677520453929901,0.27031588554382324,0.2948721945285797,0.17422905564308167,0.3923053741455078,0.3887844979763031,0.4461488723754883,0.27043893933296204
amateur,0.17013204097747803,0.1511613130569458,0.2762869596481323,0.214753657579422,0.12066512554883957,0.12187641113996506,0.1511613130569458,0.2762869596481323,0.23893384635448456,0.15821287035942078,0.08575764298439026
productions,0.18529511988162994,0.1531556099653244,0.1643865406513214,0.24518412351608276,0.312692254781723,0.16227369010448456,0.1531556099653244,0.1643865406513214,0.23328478634357452,0.2452317327260971,0.22681239247322083
",",0.3087472915649414,0.20407600700855255,0.3365725874900818,0.45456063747406006,0.2737409770488739,0.24492648243904114,0.20407600700855255,0.3365725874900818,0.5201468467712402,0.48329564929008484,0.31091248989105225
