,which,current,type,was,tesla,in,favor,of,?
tesla,0.2203940600156784,0.19374153017997742,0.17444045841693878,0.16455206274986267,0.9999999403953552,0.17097744345664978,0.13973775506019592,0.18837453424930573,0.10250775516033173
's,0.03856118768453598,0.004145179875195026,0.05257158726453781,0.008974763564765453,0.06449045985937119,-0.037580832839012146,0.006719120312482119,-0.03817026689648628,-0.023395681753754616
demonstration,0.2880883812904358,0.1250639110803604,0.16577105224132538,0.22351692616939545,0.33262601494789124,0.27814018726348877,0.19184567034244537,0.24823273718357086,0.13217706978321075
of,0.5011631846427917,0.31470298767089844,0.18112817406654358,0.4069072902202606,0.18837453424930573,0.5696388483047485,0.25472742319107056,1.0,0.1826142966747284
his,0.32283493876457214,0.1555706262588501,0.0908033698797226,0.4405253231525421,0.1580733060836792,0.3598145842552185,0.26858577132225037,0.38364991545677185,0.18075084686279297
induction,0.36106711626052856,0.2691754996776581,0.21528244018554688,0.1620527058839798,0.3487966060638428,0.18288569152355194,0.15593171119689941,0.273759663105011,0.1510571390390396
motor,0.3341423571109772,0.2648129463195801,0.1800278127193451,0.20476558804512024,0.3617369830608368,0.21732762455940247,0.06071963161230087,0.20839329063892365,0.0637441948056221
and,0.506277859210968,0.23919939994812012,0.16898801922798157,0.3740963041782379,0.19560420513153076,0.4954058527946472,0.2348119467496872,0.5116966962814331,0.20544172823429108
westinghouse,0.2770593464374542,0.24448244273662567,0.1995045244693756,0.30702054500579834,0.35764777660369873,0.2579890191555023,0.08453474193811417,0.28119996190071106,0.17307911813259125
's,0.03856118768453598,0.004145179875195026,0.05257158726453781,0.008974763564765453,0.06449045985937119,-0.037580832839012146,0.006719120312482119,-0.03817026689648628,-0.023395681753754616
subsequent,0.19329877197742462,0.35288429260253906,0.08884867280721664,0.20916680991649628,0.0893700048327446,0.1837678998708725,0.16493567824363708,0.1740972250699997,0.13111010193824768
licensing,0.29218631982803345,0.2307317852973938,0.1332099437713623,0.144392192363739,0.19400954246520996,0.16309748589992523,0.18275485932826996,0.1692100167274475,0.23048727214336395
