,which,parish,church,in,newcastle,is,typically,agreed,to,be,the,oldest,one,in,town,?
the,0.6521818041801453,0.19595003128051758,0.23846197128295898,0.6662389636039734,0.2253497689962387,0.5823672413825989,0.33345210552215576,0.24722334742546082,0.535392165184021,0.4248143136501312,1.0,0.30836519598960876,0.5514441132545471,0.6662389636039734,0.2974243760108948,0.22068053483963013
parish,0.17145097255706787,0.9999998807907104,0.48603907227516174,0.21548442542552948,0.2248457819223404,0.18190798163414001,0.14175882935523987,0.12295575439929962,0.19528508186340332,0.11073685437440872,0.19595003128051758,0.11204807460308075,0.08650878071784973,0.21548442542552948,0.4314996600151062,0.099716417491436
church,0.20821009576320648,0.48603907227516174,0.9999999403953552,0.2493300437927246,0.20361153781414032,0.203276589512825,0.09973515570163727,0.2101333886384964,0.24439501762390137,0.14655785262584686,0.23846197128295898,0.21877340972423553,0.15520724654197693,0.2493300437927246,0.3534713089466095,0.18081501126289368
of,0.5011631846427917,0.17264637351036072,0.3079429268836975,0.5696388483047485,0.18781472742557526,0.4854315221309662,0.28964799642562866,0.24395716190338135,0.41548454761505127,0.33904364705085754,0.733189046382904,0.33351290225982666,0.4999135136604309,0.5696388483047485,0.26585668325424194,0.1826142966747284
st,0.18361647427082062,0.3546767830848694,0.3345811367034912,0.259651780128479,0.23380810022354126,0.14744308590888977,0.10252682119607925,0.1405920535326004,0.21034306287765503,0.11736679822206497,0.27966225147247314,0.21880294382572174,0.15279412269592285,0.259651780128479,0.22315265238285065,0.13298600912094116
andrew,0.1835368275642395,0.28268197178840637,0.18061894178390503,0.17072397470474243,0.2282288372516632,0.19632114470005035,0.11772849410772324,0.16512741148471832,0.19888398051261902,0.13398051261901855,0.22624769806861877,0.07983595132827759,0.1912761628627777,0.17072397470474243,0.1629810780286789,0.13208141922950745
is,0.4457404911518097,0.18190798163414001,0.203276589512825,0.5394441485404968,0.1841045320034027,1.0,0.3483496606349945,0.11099598556756973,0.42745086550712585,0.4819129705429077,0.5823672413825989,0.3135911226272583,0.4544198513031006,0.5394441485404968,0.30097827315330505,0.22961433231830597
traditionally,0.37881484627723694,0.2200733870267868,0.22367876768112183,0.31378570199012756,0.12743450701236725,0.33712470531463623,0.4412439167499542,0.14965081214904785,0.3243606984615326,0.3716203570365906,0.32626137137413025,0.277553915977478,0.30081549286842346,0.31378570199012756,0.16164866089820862,0.10789176821708679
recognised,0.29329246282577515,0.17014193534851074,0.1482573300600052,0.25980618596076965,0.20993156731128693,0.23218490183353424,0.2342490702867508,0.30529287457466125,0.1954433172941208,0.2512267231941223,0.2839850187301636,0.25904402136802673,0.24129590392112732,0.25980618596076965,0.11217344552278519,0.1985509693622589
as,0.41006597876548767,0.17889010906219482,0.211966410279274,0.3887844979763031,0.21526619791984558,0.43216490745544434,0.31947922706604004,0.23998716473579407,0.42092081904411316,0.5230465531349182,0.48381632566452026,0.22728434205055237,0.3954789340496063,0.3887844979763031,0.17528915405273438,0.27043893933296204
'the,0.23740708827972412,0.23625393211841583,0.2269822210073471,0.3644907772541046,0.26433295011520386,0.3571856617927551,0.13652032613754272,0.2185104787349701,0.21861030161380768,0.18679502606391907,0.3932134211063385,0.3039681315422058,0.3122589588165283,0.3644907772541046,0.2948589324951172,0.16737021505832672
oldest,0.19479234516620636,0.11204807460308075,0.21877340972423553,0.33251360058784485,0.16729390621185303,0.3135911226272583,0.12288809567689896,0.09031780809164047,0.16884976625442505,0.1469913125038147,0.30836519598960876,0.9999999403953552,0.38706573843955994,0.33251360058784485,0.17544138431549072,0.14864160120487213
church,0.20821009576320648,0.48603907227516174,0.9999999403953552,0.2493300437927246,0.20361153781414032,0.203276589512825,0.09973515570163727,0.2101333886384964,0.24439501762390137,0.14655785262584686,0.23846197128295898,0.21877340972423553,0.15520724654197693,0.2493300437927246,0.3534713089466095,0.18081501126289368
in,0.4840516746044159,0.21548442542552948,0.2493300437927246,1.0,0.19270820915699005,0.5394441485404968,0.22473083436489105,0.18135444819927216,0.45010748505592346,0.3481820821762085,0.6662389636039734,0.33251360058784485,0.4129433035850525,1.0,0.34975525736808777,0.20430970191955566
this,0.6719430088996887,0.14289671182632446,0.18826861679553986,0.45205554366111755,0.1843338906764984,0.480927973985672,0.38951244950294495,0.29046183824539185,0.5759071707725525,0.566177248954773,0.6274310946464539,0.16659577190876007,0.4978463351726532,0.45205554366111755,0.1396026909351349,0.3155723512172699
town,0.20332901179790497,0.4314996600151062,0.3534713089466095,0.34975525736808777,0.3030468225479126,0.30097827315330505,0.038745567202568054,0.12311365455389023,0.18535545468330383,0.09147442877292633,0.2974243760108948,0.17544138431549072,0.1844533234834671,0.34975525736808777,1.0,0.09902279824018478
',0.32852497696876526,0.15328159928321838,0.16788123548030853,0.4158826768398285,0.17393088340759277,0.5508411526679993,0.15855248272418976,0.2096160650253296,0.34544456005096436,0.2717236876487732,0.474788099527359,0.26141396164894104,0.36029258370399475,0.4158826768398285,0.23159845173358917,0.330942302942276
.,0.45942068099975586,0.19832754135131836,0.28898224234580994,0.5591574311256409,0.2714749276638031,0.4569662809371948,0.25537845492362976,0.2463553100824356,0.4645031690597534,0.4383580684661865,0.5934505462646484,0.2520267069339752,0.4123194217681885,0.5591574311256409,0.28254011273384094,0.4130953550338745
