,what,is,used,to,calculate,cross,section,area,in,the,volume,of,an,object,?
this,0.5489566326141357,0.480927973985672,0.3996967375278473,0.5759071707725525,0.31960728764533997,0.21138621866703033,0.338134229183197,0.27175459265708923,0.45205554366111755,0.6274310946464539,0.22076471149921417,0.45148900151252747,0.41881775856018066,0.3117026686668396,0.3155723512172699
formalism,0.29607903957366943,0.18445272743701935,0.2533532381057739,0.21581976115703583,0.24237410724163055,0.08269870281219482,0.16719213128089905,0.10794384032487869,0.18643413484096527,0.21240977942943573,0.15528790652751923,0.2811226546764374,0.21094165742397308,0.2547082304954529,0.18209508061408997
includes,0.17138352990150452,0.4033885896205902,0.2994908094406128,0.19327151775360107,0.16351495683193207,0.1328606754541397,0.21904714405536652,0.277859628200531,0.32460328936576843,0.3388250470161438,0.23516450822353363,0.4359378218650818,0.18626248836517334,0.12311453372240067,0.14011523127555847
pressure,0.2625555694103241,0.19239991903305054,0.23263566195964813,0.30812981724739075,0.2905479371547699,0.11308050155639648,0.20610536634922028,0.26376429200172424,0.16116683185100555,0.28285476565361023,0.32341867685317993,0.22627468407154083,0.20067937672138214,0.28778764605522156,0.142023503780365
terms,0.23885610699653625,0.27452221512794495,0.2983282804489136,0.356818288564682,0.2629637122154236,0.10544867068529129,0.2336108535528183,0.16405314207077026,0.2410934716463089,0.29706791043281555,0.2073020339012146,0.2767748534679413,0.18021589517593384,0.23974041640758514,0.23466452956199646
associated,0.15836219489574432,0.2300606518983841,0.3205183446407318,0.2648659348487854,0.13213150203227997,0.21559883654117584,0.13058018684387207,0.2113826870918274,0.23328746855258942,0.2742886245250702,0.09496790170669556,0.3077163100242615,0.2386062890291214,0.19982336461544037,0.1453326791524887
with,0.2464839518070221,0.3250955045223236,0.3047430217266083,0.4239959120750427,0.22601959109306335,0.1790148913860321,0.18969540297985077,0.2303420901298523,0.4080928862094879,0.4223487675189972,0.20581743121147156,0.41827285289764404,0.2730048894882202,0.1933450996875763,0.2433311939239502
forces,0.2112482488155365,0.18792390823364258,0.15227629244327545,0.2581802308559418,0.20146091282367706,0.17438571155071259,0.12805931270122528,0.2040027678012848,0.2565164566040039,0.3134811818599701,0.0973762795329094,0.3090144991874695,0.16929563879966736,0.23975132405757904,0.16984491050243378
that,0.6297725439071655,0.3995479643344879,0.37621384859085083,0.5436353087425232,0.3741362988948822,0.22265294194221497,0.2808297276496887,0.2566552460193634,0.435920387506485,0.5473989248275757,0.20829114317893982,0.41498205065727234,0.365763783454895,0.3378750681877136,0.32716336846351624
act,0.2622668445110321,0.18206438422203064,0.18907727301120758,0.24833928048610687,0.11824332177639008,0.10993537306785583,0.2602912187576294,0.17131035029888153,0.22050046920776367,0.28682878613471985,0.14163289964199066,0.2802577316761017,0.20058928430080414,0.2549629211425781,0.1482519507408142
normal,0.32813265919685364,0.2731911838054657,0.31843456625938416,0.32997602224349976,0.3209379017353058,0.15793274343013763,0.2393300086259842,0.1378878802061081,0.25896620750427246,0.25256022810935974,0.17095094919204712,0.2300747036933899,0.22325031459331512,0.30159792304039,0.19617988169193268
to,0.455847829580307,0.42745086550712585,0.40058770775794983,1.0,0.28528669476509094,0.21814192831516266,0.28596532344818115,0.2797197997570038,0.45010748505592346,0.535392165184021,0.16561628878116608,0.41548454761505127,0.3138085603713989,0.2821136713027954,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.3718377649784088,0.535392165184021,0.2715446352958679,0.25741100311279297,0.3365345895290375,0.37834644317626953,0.6662389636039734,1.0,0.2396446168422699,0.733189046382904,0.4207492768764496,0.22418850660324097,0.22068053483963013
cross-sectional,0.26170453429222107,0.3073527216911316,0.2990913391113281,0.3485570251941681,0.22585193812847137,0.5590918064117432,0.6012006402015686,0.22162212431430817,0.2973218262195587,0.3440467119216919,0.22443528473377228,0.3153718411922455,0.2525254189968109,0.27478399872779846,0.20900274813175201
area,0.21965408325195312,0.29283958673477173,0.2307427078485489,0.2797197997570038,0.23739665746688843,0.12847304344177246,0.2290077656507492,1.0,0.33632898330688477,0.37834644317626953,0.2684365510940552,0.3409860134124756,0.23076042532920837,0.22080294787883759,0.12640461325645447
(,0.2411840260028839,0.35393038392066956,0.19005385041236877,0.30882009863853455,0.19454209506511688,0.16738106310367584,0.22324657440185547,0.18064655363559723,0.3087427020072937,0.33289089798927307,0.21936368942260742,0.35032153129577637,0.286407470703125,0.13700400292873383,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,0.3718377649784088,0.535392165184021,0.2715446352958679,0.25741100311279297,0.3365345895290375,0.37834644317626953,0.6662389636039734,1.0,0.2396446168422699,0.733189046382904,0.4207492768764496,0.22418850660324097,0.22068053483963013
matrix,0.2444038838148117,0.20511119067668915,0.19417081773281097,0.18976537883281708,0.3064362704753876,0.12285225838422775,0.20502382516860962,0.12756836414337158,0.17885158956050873,0.20151212811470032,0.18023042380809784,0.18660695850849152,0.16905046999454498,0.2455388605594635,0.14848898351192474
diagonals,0.21781028807163239,0.17882932722568512,0.2131667286157608,0.29316800832748413,0.31344226002693176,0.2829059362411499,0.20833559334278107,0.23198524117469788,0.1702800989151001,0.30725252628326416,0.12431247532367706,0.25155654549598694,0.12381113320589066,0.23860801756381989,0.11622293293476105
of,0.33290785551071167,0.4854315221309662,0.3075267970561981,0.41548454761505127,0.25099822878837585,0.2018742561340332,0.21215301752090454,0.3409860134124756,0.5696388483047485,0.733189046382904,0.27775493264198303,1.0,0.32280945777893066,0.1993778944015503,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.3718377649784088,0.535392165184021,0.2715446352958679,0.25741100311279297,0.3365345895290375,0.37834644317626953,0.6662389636039734,1.0,0.2396446168422699,0.733189046382904,0.4207492768764496,0.22418850660324097,0.22068053483963013
tensor,0.25098997354507446,0.2241663932800293,0.2863865792751312,0.19761569797992706,0.3879837989807129,0.12783250212669373,0.17593054473400116,0.1064152717590332,0.1845361739397049,0.22975583374500275,0.2559148967266083,0.21075791120529175,0.1950998604297638,0.40409204363822937,0.16432704031467438
),0.26259949803352356,0.37732169032096863,0.1905621439218521,0.31236231327056885,0.1964477151632309,0.17981074750423431,0.23834258317947388,0.18319392204284668,0.3326910734176636,0.3456730246543884,0.20224043726921082,0.3680361211299896,0.2873353958129883,0.13732478022575378,0.42300865054130554
as,0.31749409437179565,0.43216490745544434,0.35160550475120544,0.42092081904411316,0.2651507556438446,0.19365482032299042,0.21584227681159973,0.2407972663640976,0.3887844979763031,0.48381632566452026,0.21654558181762695,0.3886612355709076,0.37218472361564636,0.22475431859493256,0.27043893933296204
well,0.4154493808746338,0.33406564593315125,0.34104275703430176,0.3422003388404846,0.21909528970718384,0.2001599818468094,0.2857913374900818,0.24829234182834625,0.36612698435783386,0.42630070447921753,0.22771230340003967,0.3343164324760437,0.2743435502052307,0.15816152095794678,0.24815571308135986
