,how,many,members,make,up,the,judicial,council,?
it,0.36714982986450195,0.39615920186042786,0.13934354484081268,0.40787607431411743,0.36426842212677,0.6251175999641418,0.22543735802173615,0.21568971872329712,0.25732165575027466
consists,0.14797210693359375,0.18753206729888916,0.3005954921245575,0.26168015599250793,0.26749280095100403,0.3362659811973572,0.17092743515968323,0.184028759598732,-0.004641483072191477
of,0.2480744868516922,0.37253960967063904,0.28120753169059753,0.2912110388278961,0.32945773005485535,0.733189046382904,0.2965162694454193,0.2972237169742584,0.1826142966747284
nine,0.1557593196630478,0.3415135145187378,0.2736395001411438,0.13582094013690948,0.3158254027366638,0.33253175020217896,0.18708938360214233,0.18175484240055084,0.13964155316352844
members,0.20418256521224976,0.25127971172332764,0.9999998807907104,0.1829683482646942,0.22290948033332825,0.3321719169616699,0.20645000040531158,0.3003452718257904,0.10212311148643494
",",0.22659391164779663,0.40610817074775696,0.2357054501771927,0.324553906917572,0.34193792939186096,0.4933079481124878,0.230997234582901,0.23820561170578003,0.31091248989105225
both,0.3017238676548004,0.5466644167900085,0.23901604115962982,0.30401846766471863,0.28324854373931885,0.4931981563568115,0.19394461810588837,0.11913405358791351,0.19455738365650177
laity,0.2736656665802002,0.27845850586891174,0.16550864279270172,0.13610053062438965,0.14066173136234283,0.25578728318214417,0.22604890167713165,0.2064567506313324,0.2055709958076477
and,0.33647966384887695,0.5296266674995422,0.2994427978992462,0.4160483181476593,0.4032393991947174,0.5171257257461548,0.2202012538909912,0.25117602944374084,0.20544172823429108
clergy,0.15283432602882385,0.24330389499664307,0.2882705628871918,0.14879906177520752,0.2097906619310379,0.26154741644859314,0.3584257960319519,0.3025865852832794,0.14422976970672607
",",0.22659391164779663,0.40610817074775696,0.2357054501771927,0.324553906917572,0.34193792939186096,0.4933079481124878,0.230997234582901,0.23820561170578003,0.31091248989105225
elected,0.15145733952522278,0.13487686216831207,0.37164974212646484,0.1120835691690445,0.10747691988945007,0.23167964816093445,0.33440959453582764,0.4162713587284088,0.1966295689344406
by,0.34370526671409607,0.3409687578678131,0.24919851124286652,0.2695997655391693,0.2738759219646454,0.4408751428127289,0.14751248061656952,0.18552932143211365,0.17966607213020325
the,0.33890387415885925,0.4335206151008606,0.3321719169616699,0.3146495521068573,0.38423117995262146,1.0,0.27282875776290894,0.2829204201698303,0.22068053483963013
general,0.19638104736804962,0.21976788341999054,0.15332673490047455,0.15528690814971924,0.14383499324321747,0.28634732961654663,0.2172645926475525,0.29982858896255493,0.1972234547138214
conference,0.12395361065864563,0.14310325682163239,0.2240617722272873,0.20202034711837769,0.15028122067451477,0.25393402576446533,0.19475053250789642,0.29785650968551636,0.11172781884670258
for,0.3308170735836029,0.40972793102264404,0.2612179219722748,0.386745423078537,0.342966228723526,0.4739971458911896,0.20194660127162933,0.1601620316505432,0.264628142118454
an,0.2520636022090912,0.2465583086013794,0.1668950915336609,0.17815372347831726,0.2649265229701996,0.4207492768764496,0.19821026921272278,0.13216540217399597,0.19793890416622162
eight-year,0.21159641444683075,0.21584488451480865,0.18531537055969238,0.16750210523605347,0.25540396571159363,0.38172024488449097,0.18475349247455597,0.21010644733905792,0.25363337993621826
term,0.23617766797542572,0.22119450569152832,0.15077292919158936,0.19553270936012268,0.12385809421539307,0.2740369141101837,0.18857629597187042,0.2115360051393509,0.1901002675294876
.,0.3287222981452942,0.3974229395389557,0.21119362115859985,0.3547073304653168,0.351434588432312,0.5934505462646484,0.2003612220287323,0.2314436286687851,0.4130953550338745
