,what,are,some,proposals,to,connect,campuses,?
proposals,0.3042101562023163,0.23465047776699066,0.28590989112854004,1.0,0.31794703006744385,0.16300812363624573,0.3251682221889496,0.3097764849662781
to,0.455847829580307,0.3504326641559601,0.4636894166469574,0.31794703006744385,1.0,0.2861320674419403,0.1469273716211319,0.29463258385658264
connect,0.21411117911338806,0.3178507685661316,0.2535722255706787,0.16300812363624573,0.2861320674419403,1.0,0.206579327583313,0.12289916723966599
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.2984413504600525,0.535392165184021,0.28719469904899597,0.19650089740753174,0.22068053483963013
cambridge,0.19321057200431824,0.12315071374177933,0.19253578782081604,0.11939172446727753,0.2020665556192398,0.13741537928581238,0.36120811104774475,0.14006337523460388
campus,0.13670016825199127,0.2026534378528595,0.1275748759508133,0.2383744865655899,0.11795692890882492,0.17443345487117767,0.8510088324546814,0.06952692568302155
with,0.2464839518070221,0.38996943831443787,0.3924338221549988,0.17115652561187744,0.4239959120750427,0.2467513084411621,0.11228181421756744,0.2433311939239502
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.2984413504600525,0.535392165184021,0.28719469904899597,0.19650089740753174,0.22068053483963013
new,0.2130378633737564,0.1899496167898178,0.3095579743385315,0.2579082250595093,0.33159172534942627,0.22266483306884766,0.19361048936843872,0.14782847464084625
allston,0.17020148038864136,0.14896497130393982,0.1921509951353073,0.07294746488332748,0.16905508935451508,0.13641756772994995,0.2324829399585724,0.17989090085029602
campus,0.13670016825199127,0.2026534378528595,0.1275748759508133,0.2383744865655899,0.11795692890882492,0.17443345487117767,0.8510088324546814,0.06952692568302155
include,0.1535889357328415,0.5140694975852966,0.5271874070167542,0.13952670991420746,0.1820748895406723,0.1999174803495407,0.19892962276935577,0.14925788342952728
new,0.2130378633737564,0.1899496167898178,0.3095579743385315,0.2579082250595093,0.33159172534942627,0.22266483306884766,0.19361048936843872,0.14782847464084625
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.23791493475437164,0.48971283435821533,0.24899420142173767,0.2599843442440033,0.20544172823429108
enlarged,0.13825678825378418,0.11886245012283325,0.20014947652816772,0.1362445056438446,0.21175919473171234,0.20105835795402527,0.16546018421649933,0.0948033556342125
bridges,0.11543038487434387,0.19194601476192474,0.16248248517513275,0.3081118166446686,0.2583223581314087,0.29963210225105286,0.2847803831100464,0.15265579521656036
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.25202223658561707,0.44245919585227966,0.21849390864372253,0.25282976031303406,0.31091248989105225
a,0.3320399522781372,0.265255331993103,0.34539633989334106,0.24198690056800842,0.45503583550453186,0.2188892811536789,0.1268402636051178,0.23916715383529663
shuttle,0.19065336883068085,0.1345888078212738,0.1587093621492386,0.220160573720932,0.17158663272857666,0.1911429762840271,0.18016301095485687,0.16073749959468842
service,0.16857224702835083,0.14771409332752228,0.19467693567276,0.2010403871536255,0.24411341547966003,0.2683864235877991,0.242986261844635,0.1676298975944519
and/or,0.26439139246940613,0.3490902781486511,0.39449381828308105,0.1933998316526413,0.32471010088920593,0.13130806386470795,0.057982705533504486,0.24081800878047943
a,0.3320399522781372,0.265255331993103,0.34539633989334106,0.24198690056800842,0.45503583550453186,0.2188892811536789,0.1268402636051178,0.23916715383529663
tram,0.18289586901664734,0.14002178609371185,0.15209925174713135,0.280184268951416,0.18523995578289032,0.32895371317863464,0.2646713852882385,0.09031618386507034
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.2270965725183487,0.4645031690597534,0.23481737077236176,0.1942993551492691,0.4130953550338745
