,how,many,plant,species,make,up,the,total,in,the,rainforest,?
to,0.44169697165489197,0.40243685245513916,0.20493197441101074,0.2193736732006073,0.497876912355423,0.40375280380249023,0.535392165184021,0.22792020440101624,0.45010748505592346,0.535392165184021,0.23412610590457916,0.29463258385658264
date,0.16644634306430817,0.10952645540237427,0.18280020356178284,0.13960672914981842,0.17691437900066376,0.17187295854091644,0.25333094596862793,0.16367825865745544,0.21362407505512238,0.25333094596862793,0.12953676283359528,0.2698357403278351
",",0.22659391164779663,0.40610817074775696,0.25194862484931946,0.2223871648311615,0.324553906917572,0.34193792939186096,0.4933079481124878,0.25815486907958984,0.5201468467712402,0.4933079481124878,0.2737860679626465,0.31091248989105225
at,0.2154216170310974,0.2716965675354004,0.21092824637889862,0.15864497423171997,0.19904619455337524,0.26974549889564514,0.457212895154953,0.17510145902633667,0.4374977946281433,0.457212895154953,0.17889252305030823,0.21978627145290375
least,0.2839330732822418,0.36189308762550354,0.15465186536312103,0.2839786112308502,0.3005813956260681,0.20793287456035614,0.3428877890110016,0.3401201367378235,0.3232700824737549,0.3428877890110016,0.2395399510860443,0.28866854310035706
"40,000",0.08398868143558502,0.0646485835313797,0.014732708223164082,0.01231361459940672,0.0883435606956482,0.05121322348713875,0.21362866461277008,0.0802270770072937,0.24079853296279907,0.21362866461277008,-0.013918007723987103,0.262452632188797
plant,0.24431802332401276,0.2707696259021759,1.0,0.47544243931770325,0.2121713012456894,0.19687622785568237,0.28395459055900574,0.13649120926856995,0.2597269117832184,0.28395459055900574,0.3484148681163788,0.16613075137138367
species,0.20142129063606262,0.25436872243881226,0.47544243931770325,0.9999999403953552,0.16408716142177582,0.1282709538936615,0.2522439956665039,0.11245447397232056,0.2179255336523056,0.2522439956665039,0.477342426776886,0.1957087516784668
",",0.22659391164779663,0.40610817074775696,0.25194862484931946,0.2223871648311615,0.324553906917572,0.34193792939186096,0.4933079481124878,0.25815486907958984,0.5201468467712402,0.4933079481124878,0.2737860679626465,0.31091248989105225
"2,200",0.14244776964187622,0.22842593491077423,0.2732763886451721,0.3219307065010071,0.06504687666893005,0.04392511397600174,0.06788789480924606,-0.012023267336189747,0.12239512801170349,0.06788789480924606,0.19721034169197083,0.013263288885354996
fishes,0.23515382409095764,0.29536959528923035,0.29944470524787903,0.43634048104286194,0.20007629692554474,0.16709958016872406,0.29045408964157104,0.1335582286119461,0.23867948353290558,0.29045408964157104,0.31277796626091003,0.2000686526298523
",",0.22659391164779663,0.40610817074775696,0.25194862484931946,0.2223871648311615,0.324553906917572,0.34193792939186096,0.4933079481124878,0.25815486907958984,0.5201468467712402,0.4933079481124878,0.2737860679626465,0.31091248989105225
"1,294",0.23196715116500854,0.09071139991283417,0.1510734111070633,0.15981349349021912,0.1987786889076233,0.229210764169693,0.12081556022167206,0.11182324588298798,0.074866384267807,0.12081556022167206,0.19458125531673431,0.16479575634002686
birds,0.21416977047920227,0.26239219307899475,0.2512369453907013,0.5187767744064331,0.1975696086883545,0.2026686668395996,0.24023959040641785,0.15141130983829498,0.2125139683485031,0.24023959040641785,0.39671170711517334,0.13677363097667694
",",0.22659391164779663,0.40610817074775696,0.25194862484931946,0.2223871648311615,0.324553906917572,0.34193792939186096,0.4933079481124878,0.25815486907958984,0.5201468467712402,0.4933079481124878,0.2737860679626465,0.31091248989105225
427,-0.08305586874485016,-0.1524236649274826,-0.21177545189857483,-0.2062026560306549,-0.20283056795597076,-0.28213775157928467,-0.2638601064682007,-0.2393651008605957,-0.20808935165405273,-0.2638601064682007,-0.35938185453414917,-0.06483101099729538
mammals,0.18897929787635803,0.2083161473274231,0.24327407777309418,0.5211568474769592,0.1554775834083557,0.1746063381433487,0.27272844314575195,0.14182902872562408,0.21902817487716675,0.27272844314575195,0.36022794246673584,0.14248336851596832
