,enr,used,data,on,what,to,rank,top,400,firms,as,heavy,contractors,?
in,0.19801335036754608,0.3090210556983948,0.17588379979133606,0.46853652596473694,0.30808621644973755,0.45010748505592346,0.20269498229026794,0.2235720455646515,0.1977328509092331,0.2437836080789566,0.3887844979763031,0.2047721892595291,0.20235131680965424,0.20430970191955566
their,0.1892939656972885,0.3259406089782715,0.15962152183055878,0.3598666191101074,0.35142919421195984,0.44619059562683105,0.1540859192609787,0.214486762881279,0.09262585639953613,0.23372790217399597,0.29218852519989014,0.23977521061897278,0.3408256769180298,0.1898253709077835
reporting,0.15931347012519836,0.25796201825141907,0.23442772030830383,0.2677120566368103,0.26988375186920166,0.2542947828769684,0.146921306848526,0.15414509177207947,0.020540554076433182,0.24714024364948273,0.33357754349708557,0.15423183143138885,0.28805357217788696,0.294716477394104
on,0.198894202709198,0.24785758554935455,0.18273964524269104,0.9999999403953552,0.34226128458976746,0.41031414270401,0.13715727627277374,0.30151405930519104,0.17637258768081665,0.17484743893146515,0.36047765612602234,0.27002978324890137,0.2069595903158188,0.2714994251728058
the,0.2366248071193695,0.3718377649784088,0.20546740293502808,0.5107308030128479,0.42745697498321533,0.535392165184021,0.2690342664718628,0.31754136085510254,0.17705115675926208,0.2687743306159973,0.48381632566452026,0.2532151937484741,0.2715458869934082,0.22068053483963013
top,0.15564179420471191,0.18761134147644043,0.1634594202041626,0.30151405930519104,0.21232028305530548,0.20897358655929565,0.27692174911499023,1.0000001192092896,0.19601263105869293,0.17507411539554596,0.22510649263858795,0.1766199767589569,0.12456353008747101,0.17265194654464722
400,0.18128493428230286,0.0810285285115242,0.041842833161354065,0.17637258768081665,0.19401682913303375,0.0779322162270546,0.036993786692619324,0.19601263105869293,1.0,0.010825964622199535,0.07111987471580505,0.12180876731872559,0.00040321375126950443,0.14271585643291473
",",0.2862779200077057,0.3120402991771698,0.22224515676498413,0.49057599902153015,0.3087472915649414,0.44245919585227966,0.2213623821735382,0.2270241379737854,0.15647920966148376,0.20413024723529816,0.48816442489624023,0.2612200081348419,0.23319727182388306,0.31091248989105225
they,0.14600056409835815,0.37411078810691833,0.2085423767566681,0.31295230984687805,0.4431931674480438,0.5452046394348145,0.1271209418773651,0.18080748617649078,0.08141183853149414,0.3204597532749176,0.3294360637664795,0.2979859709739685,0.3335656225681305,0.2753053903579712
used,0.11359181255102158,0.9999998807907104,0.1849888116121292,0.24785758554935455,0.27546408772468567,0.40058770775794983,0.16864588856697083,0.18761134147644043,0.0810285285115242,0.2567225396633148,0.35160550475120544,0.27070632576942444,0.28647539019584656,0.22430120408535004
