,in,what,type,of,water,does,oxygen,dissolve,more,slowly,?
at,0.4374977946281433,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.14569826424121857,0.17465277016162872,0.1428557187318802,0.12497928738594055,0.2627858817577362,0.20466163754463196,0.21978627145290375
25,0.14793018996715546,0.12916474044322968,0.0897132158279419,0.13541533052921295,0.013088993728160858,0.049101024866104126,0.09609903395175934,0.05970961973071098,0.12278630584478378,0.11118920147418976,0.09614268690347672
°c,0.19822709262371063,0.2101275473833084,0.13626958429813385,0.11791849136352539,0.37177908420562744,0.19158126413822174,0.361249715089798,0.32277995347976685,0.1861342489719391,0.25171181559562683,0.2095707356929779
and,0.4954058527946472,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.3054247498512268,0.3461615741252899,0.22261030972003937,0.2523328363895416,0.39880692958831787,0.31376901268959045,0.20544172823429108
1,-0.10660158097743988,-0.21266892552375793,-0.13035114109516144,-0.09473495930433273,-0.005570153705775738,-0.24693645536899567,-0.10033886879682541,-0.1298903524875641,-0.24222660064697266,-0.05192246660590172,-0.249979168176651
standard,0.24721406400203705,0.22809998691082,0.23300348222255707,0.2296806275844574,0.0930653065443039,0.24575825035572052,0.1331353485584259,0.11958032101392746,0.24836495518684387,0.16268391907215118,0.17029257118701935
atmosphere,0.20898397266864777,0.2530241310596466,0.08003394305706024,0.1981431096792221,0.401515930891037,0.19584400951862335,0.48839667439460754,0.3391609191894531,0.23671364784240723,0.3083813190460205,0.15636961162090302
(,0.3087427020072937,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.16755586862564087,0.2728188931941986,0.189798504114151,0.19594837725162506,0.20831379294395447,0.12103556841611862,0.40561532974243164
101.3,0.1549714356660843,-0.044151950627565384,0.056434426456689835,0.16112907230854034,0.06636592000722885,0.029889080673456192,0.00897892378270626,0.050520215183496475,0.06733226031064987,0.045161161571741104,-0.027411790564656258
kpa,0.13205179572105408,0.17692479491233826,0.13845232129096985,0.1648968756198883,0.25471919775009155,0.1963731199502945,0.2132871299982071,0.17474624514579773,0.1504879891872406,0.1746862828731537,0.2370387464761734
),0.3326910734176636,0.26259949803352356,0.18612703680992126,0.3680361211299896,0.18243473768234253,0.2575884759426117,0.19541971385478973,0.19431711733341217,0.23179085552692413,0.1094762533903122,0.42300865054130554
