,who,did,the,mongols,bring,to,china,as,administrators,?
at,0.22096660733222961,0.28390252590179443,0.457212895154953,0.12352439761161804,0.19455334544181824,0.36524343490600586,0.1485295444726944,0.28092536330223083,0.2854672074317932,0.21978627145290375
the,0.3733934462070465,0.34736719727516174,1.0,0.310281366109848,0.31620702147483826,0.535392165184021,0.3110525608062744,0.48381632566452026,0.25064438581466675,0.22068053483963013
same,0.26448050141334534,0.3097444474697113,0.4583131968975067,0.1833115816116333,0.17780084908008575,0.3205692768096924,0.14773675799369812,0.3727807104587555,0.22807201743125916,0.22649677097797394
time,0.36634087562561035,0.3567926585674286,0.43061500787734985,0.19614878296852112,0.2225484549999237,0.3679993152618408,0.23501361906528473,0.3239102065563202,0.326844722032547,0.27391523122787476
the,0.3733934462070465,0.34736719727516174,1.0,0.310281366109848,0.31620702147483826,0.535392165184021,0.3110525608062744,0.48381632566452026,0.25064438581466675,0.22068053483963013
mongols,0.2709572911262512,0.21908389031887054,0.310281366109848,0.9999999403953552,0.18570426106452942,0.230276957154274,0.47622933983802795,0.19857051968574524,0.15054452419281006,0.11517509818077087
imported,0.17824861407279968,0.21312536299228668,0.2233143448829651,0.1954113095998764,0.2226850539445877,0.26343628764152527,0.23757635056972504,0.2356681227684021,0.292680025100708,0.2793850898742676
central,0.14618510007858276,0.14962437748908997,0.3417201042175293,0.20366254448890686,0.13057228922843933,0.21511952579021454,0.28471922874450684,0.1581166535615921,0.1691526621580124,0.14787602424621582
asian,0.25783979892730713,0.15287117660045624,0.2710895538330078,0.31499621272087097,0.21536104381084442,0.21075539290905,0.3983587622642517,0.18079937994480133,0.1097729355096817,0.10526347905397415
muslims,0.2942625880241394,0.23549841344356537,0.2657718360424042,0.40324148535728455,0.22212350368499756,0.2779776453971863,0.224384143948555,0.201192706823349,0.22993621230125427,0.18742211163043976
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.230276957154274,0.4213464558124542,1.0,0.1938052773475647,0.42092081904411316,0.335151344537735,0.29463258385658264
serve,0.2677389681339264,0.19442126154899597,0.2749462425708771,0.03986966237425804,0.32333317399024963,0.3411368131637573,0.12177647650241852,0.3768509030342102,0.2792872488498688,0.19925682246685028
as,0.3923053741455078,0.3596470057964325,0.48381632566452026,0.19857051968574524,0.2474443018436432,0.42092081904411316,0.22077526152133942,1.0,0.24259576201438904,0.27043893933296204
administrators,0.35199111700057983,0.261831670999527,0.25064438581466675,0.15054452419281006,0.20632068812847137,0.335151344537735,0.14670300483703613,0.24259576201438904,0.9999998807907104,0.3605874478816986
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.22694018483161926,0.2299850881099701,0.45010748505592346,0.267821341753006,0.3887844979763031,0.154352605342865,0.20430970191955566
china,0.17514774203300476,0.16472692787647247,0.3110525608062744,0.47622933983802795,0.15509836375713348,0.1938052773475647,1.0000001192092896,0.22077526152133942,0.14670300483703613,0.18007943034172058
