,what,is,an,islamic,revival,movement,?
islamism,0.28119760751724243,0.19005949795246124,0.1711471527814865,0.8093975782394409,0.3207778334617615,0.4463765621185303,0.19147449731826782
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.20175659656524658,0.2530691921710968,0.1862073689699173,0.31091248989105225
also,0.42747777700424194,0.5012649297714233,0.36835694313049316,0.21727822721004486,0.2515869140625,0.285097599029541,0.21848613023757935
known,0.20381177961826324,0.41921812295913696,0.3156754970550537,0.14582102000713348,0.24085010588169098,0.21515174210071564,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.37218472361564636,0.20407888293266296,0.18455035984516144,0.22513282299041748,0.27043893933296204
political,0.21846716105937958,0.15203817188739777,0.20845253765583038,0.39808326959609985,0.1995040476322174,0.35197213292121887,0.17130474746227264
islam,0.23237212002277374,0.17952334880828857,0.14537638425827026,0.727012574672699,0.25113099813461304,0.3107253313064575,0.18358638882637024
(,0.2411840260028839,0.35393038392066956,0.286407470703125,0.13537868857383728,0.16181129217147827,0.11378148943185806,0.40561532974243164
arabic,0.1854897290468216,0.2376166135072708,0.2073126584291458,0.4860157370567322,0.21342267096042633,0.2047412246465683,0.18792502582073212
:,-0.12022944539785385,-0.07222653180360794,-0.08487251400947571,-0.024255892261862755,-0.03913514316082001,0.03298621252179146,-0.07156077772378922
إسلام,-0.07403033971786499,-0.06700252741575241,0.027152296155691147,0.03920445218682289,0.028097379952669144,0.0647510439157486,-0.10638059675693512
سياسي‎,0.033324286341667175,0.06254572421312332,0.08452636003494263,0.18268637359142303,0.08072611689567566,0.03132116422057152,0.04385599493980408
islām,0.13468383252620697,0.21239952743053436,0.04770998656749725,0.39296743273735046,0.1496322602033615,0.09164991229772568,0.16135145723819733
siyāsī,0.20378349721431732,0.19773226976394653,0.18428996205329895,0.2969122529029846,0.23298867046833038,0.22448775172233582,0.18103139102458954
),0.26259949803352356,0.37732169032096863,0.2873353958129883,0.17926958203315735,0.15965843200683594,0.14506514370441437,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.20175659656524658,0.2530691921710968,0.1862073689699173,0.31091248989105225
is,0.28837618231773376,1.0,0.4654068350791931,0.17644661664962769,0.19539782404899597,0.20353496074676514,0.22961433231830597
an,0.2821882665157318,0.4654068350791931,1.0,0.19264791905879974,0.2065889537334442,0.2055855393409729,0.19793890416622162
