,what,is,the,highest,court,in,the,european,union,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3400614559650421,0.2793687880039215,1.0,0.6662389636039734,0.23319172859191895,0.22726479172706604,0.20430970191955566
case,0.30770957469940186,0.26648613810539246,0.31022098660469055,0.10087732970714569,0.4225234091281891,0.2190418541431427,0.31022098660469055,0.15781351923942566,0.14958742260932922,0.33232852816581726
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3223685622215271,0.28835242986679077,0.5696388483047485,0.733189046382904,0.2507138252258301,0.2642118036746979,0.1826142966747284
european,0.15324164927005768,0.16083641350269318,0.3423081040382385,0.23073631525039673,0.18487446010112762,0.23319172859191895,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.14560863375663757
union,0.1396910548210144,0.16997112333774567,0.24421639740467072,0.16503866016864777,0.23186643421649933,0.22726479172706604,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.07797172665596008
law,0.2145031988620758,0.18597714602947235,0.24548950791358948,0.16227135062217712,0.413828045129776,0.24850773811340332,0.24548950791358948,0.17164482176303864,0.19371826946735382,0.1528988480567932
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.2561801075935364,0.19263212382793427,0.4840516746044159,0.6521818041801453,0.2234036773443222,0.23846890032291412,0.25814583897590637
should,0.43830034136772156,0.33635082840919495,0.32399165630340576,0.1206979751586914,0.21214649081230164,0.23054338991641998,0.32399165630340576,0.16059307754039764,0.23935925960540771,0.4442402422428131
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.14713740348815918,0.1848815530538559,0.36843645572662354,0.40389683842658997,0.19048169255256653,0.16471676528453827,0.32991164922714233
been,0.2567804455757141,0.39566612243652344,0.3563927710056305,0.12455534189939499,0.18017660081386566,0.3515113592147827,0.3563927710056305,0.1689886897802353,0.16404001414775848,0.24354910850524902
transposed,0.27279844880104065,0.24888940155506134,0.28017377853393555,0.08733071386814117,0.06775150448083878,0.2770177125930786,0.28017377853393555,0.12809313833713531,0.08407431840896606,0.23191750049591064
into,0.2180619090795517,0.2619607150554657,0.39493247866630554,0.12093615531921387,0.11514103412628174,0.38021373748779297,0.39493247866630554,0.09915032237768173,0.21940653026103973,0.15662476420402527
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.2812081575393677,0.6662389636039734,1.0,0.3423081040382385,0.24421639740467072,0.22068053483963013
laws,0.29636016488075256,0.17527072131633759,0.2587076723575592,0.19890256226062775,0.3871456980705261,0.2591988444328308,0.2587076723575592,0.21827232837677002,0.2677162289619446,0.17911791801452637
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3223685622215271,0.28835242986679077,0.5696388483047485,0.733189046382904,0.2507138252258301,0.2642118036746979,0.1826142966747284
member,0.09932345896959305,0.2522773742675781,0.2806392312049866,0.15057069063186646,0.21980570256710052,0.20856694877147675,0.2806392312049866,0.24138560891151428,0.23030449450016022,0.06826172769069672
