,what,was,the,tribe,of,the,woman,temüjin,married,when,he,was,around,16,years,old,?
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.186176136136055,0.3886612355709076,0.48381632566452026,0.1612587720155716,0.32332390546798706,0.15175780653953552,0.4437963366508484,0.33787044882774353,0.3677520453929901,0.28430190682411194,0.07334910333156586,0.234328031539917,0.24722114205360413,0.27043893933296204
previously,0.24305304884910583,0.41197097301483154,0.33854439854621887,0.12843428552150726,0.2850290536880493,0.33854439854621887,0.1313554048538208,0.2824641168117523,0.17466267943382263,0.25810039043426514,0.3231055438518524,0.41197097301483154,0.19825923442840576,0.06983952224254608,0.26178357005119324,0.2071240097284317,0.15811841189861298
arranged,0.1523403525352478,0.1825263798236847,0.26620063185691833,0.09227725863456726,0.33214297890663147,0.26620063185691833,0.1503889411687851,0.23118776082992554,0.22697794437408447,0.22152702510356903,0.13712453842163086,0.1825263798236847,0.1968894600868225,0.018254516646265984,0.16133888065814972,0.17934450507164001,0.08499907702207565
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.16805842518806458,0.3646814823150635,0.4408751428127289,0.1343061774969101,0.2763390839099884,0.17593929171562195,0.4376842677593231,0.2485479861497879,0.4752357602119446,0.2682798206806183,0.04803045094013214,0.19883383810520172,0.16804057359695435,0.17966607213020325
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.1629103273153305,0.38364991545677185,0.4394008219242096,0.2775379717350006,0.4682264029979706,0.3483057916164398,0.37120407819747925,0.7171558737754822,0.4405253231525421,0.2113194763660431,-0.005737559869885445,0.3523389995098114,0.2539081573486328,0.18075084686279297
father,0.21527598798274994,0.3492507338523865,0.24010279774665833,0.16479159891605377,0.22142449021339417,0.24010279774665833,0.29366910457611084,0.40216585993766785,0.4419017434120178,0.32460665702819824,0.4997532367706299,0.3492507338523865,0.12305743992328644,-0.016031691804528236,0.2736870348453522,0.295066237449646,0.14826634526252747
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23060214519500732,0.4946078956127167,0.4933079481124878,0.18664926290512085,0.3484273850917816,0.3299272358417511,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.3298884332180023,0.04709499701857567,0.2589467465877533,0.26524028182029724,0.31091248989105225
temüjin,0.34580421447753906,0.38774195313453674,0.43713900446891785,0.40159136056900024,0.378805011510849,0.43713900446891785,0.29920658469200134,1.0,0.25264492630958557,0.38259974122047424,0.44463157653808594,0.38774195313453674,0.2838648855686188,0.006555494386702776,0.3053538501262665,0.27992942929267883,0.21090233325958252
married,0.13977670669555664,0.3079395592212677,0.10720405727624893,0.1223335713148117,0.1619977355003357,0.10720405727624893,0.3047243058681488,0.25264492630958557,1.0,0.1918937712907791,0.3727172613143921,0.3079395592212677,0.13024283945560455,0.032532937824726105,0.2413390874862671,0.1775418221950531,0.18062160909175873
börte,0.26751965284347534,0.25561463832855225,0.26430708169937134,0.2155870646238327,0.2801446318626404,0.26430708169937134,0.21285615861415863,0.30774152278900146,0.27164947986602783,0.1200610026717186,0.26452603936195374,0.25561463832855225,0.10747772455215454,-0.02734200842678547,0.1735643893480301,0.24248772859573364,0.2609442472457886
