,what,did,the,number,of,legions,in,roman,times,depend,on,?
the,0.42745697498321533,0.34736719727516174,1.0,0.35145696997642517,0.733189046382904,0.2824350595474243,0.6662389636039734,0.2862859070301056,0.29093852639198303,0.26284557580947876,0.5107308030128479,0.22068053483963013
actual,0.43790674209594727,0.26781168580055237,0.40616878867149353,0.26605916023254395,0.4107692241668701,0.20169587433338165,0.28794917464256287,0.20897987484931946,0.2544366717338562,0.3530586361885071,0.3058660328388214,0.20405827462673187
number,0.23046229779720306,0.19046731293201447,0.35145696997642517,1.0,0.2778518795967102,0.14233653247356415,0.3024539053440094,0.16428028047084808,0.2729065418243408,0.2915283143520355,0.2978411018848419,0.19256845116615295
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.2778518795967102,1.0,0.32204335927963257,0.5696388483047485,0.31028008460998535,0.24352745711803436,0.2895388901233673,0.3966929316520691,0.1826142966747284
legions,0.13887666165828705,0.137715682387352,0.2824350595474243,0.14233653247356415,0.32204335927963257,1.0,0.18843026459217072,0.4716871976852417,0.27415475249290466,0.083341084420681,0.13410711288452148,0.11789947748184204
present,0.30940163135528564,0.1261267513036728,0.2829846143722534,0.1684180647134781,0.3116828501224518,0.16185587644577026,0.23905439674854279,0.14519323408603668,0.16364790499210358,0.15118572115898132,0.19194398820400238,0.21759982407093048
at,0.2838611304759979,0.28390252590179443,0.457212895154953,0.20500339567661285,0.42558613419532776,0.16402316093444824,0.4374977946281433,0.15289406478405,0.26909148693084717,0.1523032784461975,0.4806317389011383,0.21978627145290375
any,0.43670421838760376,0.37563082575798035,0.4525727927684784,0.350625604391098,0.3769088089466095,0.20646247267723083,0.3135753571987152,0.1807584911584854,0.2917162775993347,0.4015395939350128,0.2894362509250641,0.4113408327102661
base,0.1336955726146698,0.10818643122911453,0.2870652377605438,0.23622432351112366,0.23717565834522247,0.16274821758270264,0.2292785793542862,0.14280365407466888,0.14098083972930908,0.1797713339328766,0.22809679806232452,0.10518061369657516
or,0.33867141604423523,0.28211739659309387,0.4174870550632477,0.28384777903556824,0.3792596757411957,0.19997303187847137,0.3586423695087433,0.1793472021818161,0.21247214078903198,0.42839938402175903,0.2897229492664337,0.32389625906944275
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.3024539053440094,0.5696388483047485,0.18843026459217072,1.0,0.24986636638641357,0.2427823841571808,0.20353147387504578,0.46853652596473694,0.20430970191955566
all,0.41981086134910583,0.33943864703178406,0.4860881567001343,0.3830430209636688,0.42798417806625366,0.2341926544904709,0.3335905969142914,0.18097734451293945,0.251670241355896,0.29663556814193726,0.3832052946090698,0.29575422406196594
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2535701394081116,0.4946078956127167,0.21732504665851593,0.5201468467712402,0.26863154768943787,0.2897866368293762,0.20705392956733704,0.49057599902153015,0.31091248989105225
depended,0.2617141902446747,0.25853925943374634,0.3109017014503479,0.23254497349262238,0.33598265051841736,0.1644536554813385,0.2689272165298462,0.16087119281291962,0.2028060108423233,0.7822452187538147,0.3357867896556854,0.1048755943775177
on,0.34226128458976746,0.2670976221561432,0.5107308030128479,0.2978411018848419,0.3966929316520691,0.13410711288452148,0.46853652596473694,0.15509356558322906,0.21426425874233246,0.30157047510147095,0.9999999403953552,0.2714994251728058
whether,0.5516265630722046,0.30857425928115845,0.3211745023727417,0.26935943961143494,0.24392437934875488,0.08375797420740128,0.24645471572875977,0.1651536524295807,0.1870431900024414,0.43815264105796814,0.2535785734653473,0.3150278329849243
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.2992287278175354,0.5052502155303955,0.13107535243034363,0.539380669593811,0.18130378425121307,0.2745400369167328,0.27964046597480774,0.3848365545272827,0.23916715383529663
state,0.24273863434791565,0.152080237865448,0.3097178041934967,0.20709048211574554,0.34253445267677307,0.19581353664398193,0.33316072821617126,0.18905162811279297,0.16237862408161163,0.17741674184799194,0.18138433992862701,0.1160883978009224
or,0.33867141604423523,0.28211739659309387,0.4174870550632477,0.28384777903556824,0.3792596757411957,0.19997303187847137,0.3586423695087433,0.1793472021818161,0.21247214078903198,0.42839938402175903,0.2897229492664337,0.32389625906944275
threat,0.24655520915985107,0.21574343740940094,0.24470017850399017,0.17071093618869781,0.19877247512340546,0.2666149437427521,0.1915355920791626,0.15097607672214508,0.22950854897499084,0.17568954825401306,0.21357294917106628,0.17929627001285553
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.2778518795967102,1.0,0.32204335927963257,0.5696388483047485,0.31028008460998535,0.24352745711803436,0.2895388901233673,0.3966929316520691,0.1826142966747284
war,0.22516006231307983,0.27422013878822327,0.366199791431427,0.16833604872226715,0.31680163741111755,0.30778640508651733,0.29904094338417053,0.23943443596363068,0.15265506505966187,0.12027736008167267,0.23017507791519165,0.15510529279708862
existed,0.27969107031822205,0.30351951718330383,0.32677435874938965,0.1870976835489273,0.2990404963493347,0.20319709181785583,0.2661771774291992,0.19598695635795593,0.25847914814949036,0.17281164228916168,0.14631131291389465,0.17013543844223022
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.3256329298019409,0.5352458953857422,0.19646696746349335,0.5591574311256409,0.27629324793815613,0.2891986668109894,0.2650664448738098,0.49257001280784607,0.4130953550338745
