,when,were,the,mongols,defeated,by,the,tran,?
the,0.5091903209686279,0.3906462490558624,1.0,0.310281366109848,0.2833898365497589,0.4408751428127289,1.0,0.21479786932468414,0.22068053483963013
tran,0.1650400012731552,0.1336824893951416,0.21479786932468414,0.3508094847202301,0.20670348405838013,0.2053859680891037,0.21479786932468414,1.0,0.12747351825237274
dynasty,0.16945278644561768,0.195143923163414,0.26267939805984497,0.49200209975242615,0.26393142342567444,0.198152095079422,0.26267939805984497,0.41118013858795166,0.15884074568748474
which,0.572554349899292,0.2807837128639221,0.6521818041801453,0.23739531636238098,0.1519288420677185,0.40543368458747864,0.6521818041801453,0.1821935921907425,0.25814583897590637
ruled,0.2296513020992279,0.2871868312358856,0.2668108344078064,0.3229982852935791,0.3802029490470886,0.21958500146865845,0.2668108344078064,0.21194502711296082,0.19970785081386566
annam,0.15166421234607697,0.20452019572257996,0.2852458655834198,0.3624191880226135,0.22306665778160095,0.18091261386871338,0.2852458655834198,0.35981178283691406,0.12695002555847168
(,0.2459595799446106,0.14743882417678833,0.33289089798927307,0.1445809006690979,0.18437205255031586,0.20696312189102173,0.33289089798927307,0.2098274677991867,0.40561532974243164
dai,0.10864049941301346,0.12893959879875183,0.1360853612422943,0.33453211188316345,0.14055883884429932,0.16289988160133362,0.1360853612422943,0.36200273036956787,0.12014257162809372
viet,0.14889554679393768,0.265113890171051,0.23655875027179718,0.40858033299446106,0.20061714947223663,0.22640928626060486,0.23655875027179718,0.4120003581047058,0.16006453335285187
),0.2538422644138336,0.1566188633441925,0.3456730246543884,0.15999186038970947,0.1665046513080597,0.2151763141155243,0.3456730246543884,0.22333797812461853,0.42300865054130554
crushed,0.280196875333786,0.26883527636528015,0.274326890707016,0.3562176525592804,0.384246826171875,0.1950298249721527,0.274326890707016,0.1442103534936905,0.09412815421819687
and,0.4716290831565857,0.42175528407096863,0.5171257257461548,0.2535054385662079,0.23550936579704285,0.4289871156215668,0.5171257257461548,0.18954476714134216,0.20544172823429108
defeated,0.2280166894197464,0.30903002619743347,0.2833898365497589,0.34176570177078247,1.0,0.26783451437950134,0.2833898365497589,0.20670348405838013,0.1413237303495407
the,0.5091903209686279,0.3906462490558624,1.0,0.310281366109848,0.2833898365497589,0.4408751428127289,1.0,0.21479786932468414,0.22068053483963013
mongols,0.20358523726463318,0.3104121685028076,0.310281366109848,0.9999999403953552,0.34176570177078247,0.233955517411232,0.310281366109848,0.3508094847202301,0.11517509818077087
at,0.38876327872276306,0.2947486639022827,0.457212895154953,0.12352439761161804,0.21071182191371918,0.2368064820766449,0.457212895154953,0.10029152780771255,0.21978627145290375
the,0.5091903209686279,0.3906462490558624,1.0,0.310281366109848,0.2833898365497589,0.4408751428127289,1.0,0.21479786932468414,0.22068053483963013
battle,0.15145152807235718,0.23233242332935333,0.2820790410041809,0.33253735303878784,0.46693575382232666,0.14325805008411407,0.2820790410041809,0.1307695060968399,0.1680624783039093
of,0.3757161796092987,0.34038281440734863,0.733189046382904,0.23517343401908875,0.21236225962638855,0.3646814823150635,0.733189046382904,0.20080110430717468,0.1826142966747284
bạch,0.16508516669273376,0.07396204024553299,0.2752630114555359,0.15405525267124176,0.13102582097053528,0.15633836388587952,0.2752630114555359,0.17040005326271057,0.17818468809127808
đằng,0.1495959609746933,0.051971107721328735,0.1272369772195816,0.10598550736904144,0.12934216856956482,0.12974239885807037,0.1272369772195816,0.47821885347366333,0.15342473983764648
(,0.2459595799446106,0.14743882417678833,0.33289089798927307,0.1445809006690979,0.18437205255031586,0.20696312189102173,0.33289089798927307,0.2098274677991867,0.40561532974243164
1288,0.06622736155986786,0.07316591590642929,0.014870085753500462,0.11482646316289902,0.06859590858221054,0.0684327632188797,0.014870085753500462,0.12573611736297607,0.07282736152410507
),0.2538422644138336,0.1566188633441925,0.3456730246543884,0.15999186038970947,0.1665046513080597,0.2151763141155243,0.3456730246543884,0.22333797812461853,0.42300865054130554
.,0.475719153881073,0.3378238379955292,0.5934505462646484,0.1921418309211731,0.2081184983253479,0.3936232924461365,0.5934505462646484,0.1954522579908371,0.4130953550338745
