,what,was,dalton,'s,erroneous,formula,for,water,?
for,0.3017193675041199,0.3863949179649353,0.19053451716899872,-0.07241261005401611,0.2899027168750763,0.16039954125881195,0.9999999403953552,0.189085453748703,0.264628142118454
example,0.3456268310546875,0.16563157737255096,0.15611468255519867,-0.045060764998197556,0.3144891560077667,0.23766617476940155,0.45665353536605835,0.3021997809410095,0.30374911427497864
",",0.3087472915649414,0.45456063747406006,0.2761191725730896,-0.0016132977325469255,0.23751109838485718,0.18965117633342743,0.4464869201183319,0.26706066727638245,0.31091248989105225
dalton,0.20382486283779144,0.2521609961986542,1.0,0.01184313278645277,0.17170511186122894,0.23404894769191742,0.19053451716899872,0.12375836074352264,0.14812810719013214
assumed,0.3064858615398407,0.25644630193710327,0.09337733685970306,-0.04578346386551857,0.3459952771663666,0.08535145223140717,0.20586219429969788,0.13482177257537842,0.2463492453098297
that,0.6297725439071655,0.33670201897621155,0.21234120428562164,0.04397977516055107,0.35941511392593384,0.21913127601146698,0.4137635827064514,0.3326379060745239,0.32716336846351624
water,0.17456887662410736,0.18750394880771637,0.12375836074352264,0.06513497978448868,0.0856933519244194,0.17346705496311188,0.189085453748703,0.9999998807907104,0.14731885492801666
's,0.02692362666130066,0.008974763564765453,0.01184313278645277,0.9999999403953552,-0.04356402903795242,0.07357185333967209,-0.07241261005401611,0.06513497978448868,-0.023395681753754616
formula,0.1849268674850464,0.1362105756998062,0.23404894769191742,0.07357185333967209,0.15216322243213654,1.0,0.16039954125881195,0.17346705496311188,0.16194304823875427
was,0.22111038863658905,1.0000001192092896,0.2521609961986542,0.008974763564765453,0.1508016139268875,0.1362105756998062,0.3863949179649353,0.18750394880771637,0.18412111699581146
ho,0.13602222502231598,0.17236636579036713,0.20424824953079224,0.010480150580406189,0.01958206109702587,0.16382627189159393,0.1706905961036682,0.1757298707962036,0.1828545778989792
",",0.3087472915649414,0.45456063747406006,0.2761191725730896,-0.0016132977325469255,0.23751109838485718,0.18965117633342743,0.4464869201183319,0.26706066727638245,0.31091248989105225
giving,0.28628480434417725,0.2248714715242386,0.14376409351825714,0.013468046672642231,0.21991540491580963,0.13832277059555054,0.39347827434539795,0.22486859560012817,0.2052922248840332
the,0.42745697498321533,0.48711544275283813,0.26350104808807373,-0.01540423184633255,0.21786341071128845,0.19533312320709229,0.4739971458911896,0.297396719455719,0.22068053483963013
atomic,0.24257957935333252,0.17621096968650818,0.31045907735824585,-0.050388578325510025,0.14248806238174438,0.26043444871902466,0.16998548805713654,0.15473231673240662,0.16654692590236664
mass,0.23905135691165924,0.16957920789718628,0.24468067288398743,0.022538112476468086,0.22170570492744446,0.158673495054245,0.18664062023162842,0.24736568331718445,0.2076406031847
