,what,was,hero,of,alexandria,'s,nationality,?
the,0.42745697498321533,0.48711544275283813,0.19534069299697876,0.733189046382904,0.2427685707807541,-0.01540423184633255,0.21899528801441193,0.22068053483963013
history,0.28630873560905457,0.25589004158973694,0.19648312032222748,0.31014925241470337,0.20323124527931213,-0.0466335192322731,0.2390986829996109,0.2501974403858185
of,0.33290785551071167,0.4069072902202606,0.20685459673404694,1.0,0.2492833137512207,-0.03817026689648628,0.16924145817756653,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.19534069299697876,0.733189046382904,0.2427685707807541,-0.01540423184633255,0.21899528801441193,0.22068053483963013
steam,0.15672586858272552,0.16913670301437378,0.16367952525615692,0.20239725708961487,0.1317514330148697,0.03992457315325737,0.10947282612323761,0.113324373960495
engine,0.18463268876075745,0.205611914396286,0.17039844393730164,0.17095594108104706,0.10910063982009888,0.044662050902843475,0.0968458354473114,0.17739196121692657
stretches,0.22388526797294617,0.18651622533798218,0.1263934075832367,0.34327811002731323,0.22620491683483124,0.01760895922780037,0.18860399723052979,0.10829897224903107
back,0.2965294420719147,0.2438982129096985,0.23565137386322021,0.23051875829696655,0.14234241843223572,-0.032200850546360016,0.06032763049006462,0.2397768795490265
as,0.31749409437179565,0.3677520453929901,0.16114561259746552,0.3886612355709076,0.21371373534202576,-0.05775856226682663,0.17045290768146515,0.27043893933296204
far,0.34794166684150696,0.24026422202587128,0.10551416128873825,0.3005201518535614,0.17638887465000153,-0.04955904185771942,0.175222709774971,0.2170870453119278
as,0.31749409437179565,0.3677520453929901,0.16114561259746552,0.3886612355709076,0.21371373534202576,-0.05775856226682663,0.17045290768146515,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,0.19534069299697876,0.733189046382904,0.2427685707807541,-0.01540423184633255,0.21899528801441193,0.22068053483963013
first,0.28086137771606445,0.5022147297859192,0.29470357298851013,0.3536086082458496,0.2056329846382141,-0.014458609744906425,0.1674169898033142,0.18701928853988647
century,0.20422613620758057,0.3521432876586914,0.12192557752132416,0.2826060354709625,0.2126949280500412,-0.0005286295781843364,0.2548638880252838,0.1026201918721199
ad,0.27659884095191956,0.22054366767406464,0.13271081447601318,0.1761893332004547,0.30955129861831665,-0.026603031903505325,0.17252667248249054,0.20824462175369263
;,0.10986888408660889,0.0754367932677269,0.014990736730396748,0.054534342139959335,-0.06010191887617111,0.006909397430717945,0.09404853731393814,0.10349778085947037
the,0.42745697498321533,0.48711544275283813,0.19534069299697876,0.733189046382904,0.2427685707807541,-0.01540423184633255,0.21899528801441193,0.22068053483963013
first,0.28086137771606445,0.5022147297859192,0.29470357298851013,0.3536086082458496,0.2056329846382141,-0.014458609744906425,0.1674169898033142,0.18701928853988647
recorded,0.17687608301639557,0.328198105096817,0.14784304797649384,0.21896186470985413,0.16756629943847656,-0.01750672608613968,0.06359593570232391,0.19213420152664185
rudimentary,0.2908661663532257,0.17708171904087067,0.10587964206933975,0.26150161027908325,0.15896545350551605,0.02459416538476944,0.16676434874534607,0.18648070096969604
steam,0.15672586858272552,0.16913670301437378,0.16367952525615692,0.20239725708961487,0.1317514330148697,0.03992457315325737,0.10947282612323761,0.113324373960495
engine,0.18463268876075745,0.205611914396286,0.17039844393730164,0.17095594108104706,0.10910063982009888,0.044662050902843475,0.0968458354473114,0.17739196121692657
being,0.3760843276977539,0.5201660394668579,0.18865853548049927,0.34885138273239136,0.17366153001785278,-0.055871423333883286,0.25092971324920654,0.26743772625923157
the,0.42745697498321533,0.48711544275283813,0.19534069299697876,0.733189046382904,0.2427685707807541,-0.01540423184633255,0.21899528801441193,0.22068053483963013
aeolipile,0.30755317211151123,0.17309194803237915,0.23590977489948273,0.3360348343849182,0.27135589718818665,0.041506946086883545,0.18703514337539673,0.28034335374832153
described,0.22590412199497223,0.2883506715297699,0.16852930188179016,0.297532320022583,0.17176726460456848,-0.013899330981075764,0.1691138744354248,0.1374269425868988
by,0.2455483376979828,0.4752357602119446,0.14068663120269775,0.3646814823150635,0.16482917964458466,-0.010884488001465797,0.2942885756492615,0.17966607213020325
greek,0.14808377623558044,0.191945880651474,0.26270806789398193,0.2256247103214264,0.38108107447624207,0.11929181218147278,0.17552220821380615,0.11180876195430756
mathematician,0.1574619710445404,0.2740672826766968,0.21542085707187653,0.13611692190170288,0.27813854813575745,0.0017261904431506991,0.19645778834819794,0.11787978559732437
hero,0.19322191178798676,0.2788515090942383,1.0000001192092896,0.20685459673404694,0.19970057904720306,0.07025071233510971,0.16817516088485718,0.141077920794487
of,0.33290785551071167,0.4069072902202606,0.20685459673404694,1.0,0.2492833137512207,-0.03817026689648628,0.16924145817756653,0.1826142966747284
alexandria,0.24519166350364685,0.21863700449466705,0.19970057904720306,0.2492833137512207,0.9999999403953552,0.021674619987607002,0.11634887754917145,0.16482815146446228
.,0.3567904531955719,0.40146201848983765,0.22508949041366577,0.5352458953857422,0.23380713164806366,-0.003708066651597619,0.23392154276371002,0.4130953550338745
