,which,country,is,a,traditional,ally,of,israel,?
the,0.6521818041801453,0.30432501435279846,0.5823672413825989,0.5829201340675354,0.25703898072242737,0.23644182085990906,0.733189046382904,0.21617624163627625,0.22068053483963013
uk,0.1906050443649292,0.19472895562648773,0.17650434374809265,0.19665123522281647,0.13384519517421722,0.11869380623102188,0.21513383090496063,0.23997779190540314,0.20222434401512146
had,0.3188965916633606,0.2020130157470703,0.2932159900665283,0.34897568821907043,0.18426692485809326,0.24701222777366638,0.37755560874938965,0.20446808636188507,0.20728366076946259
traditionally,0.37881484627723694,0.21855829656124115,0.33712470531463623,0.3184170722961426,0.8153934478759766,0.2452983409166336,0.31117507815361023,0.17957229912281036,0.10789176821708679
been,0.36993977427482605,0.22071953117847443,0.39566612243652344,0.3315402865409851,0.1854815036058426,0.17879658937454224,0.31685134768486023,0.2191264033317566,0.24354910850524902
an,0.3611921966075897,0.19811232388019562,0.4654068350791931,0.44552403688430786,0.14003995060920715,0.1985180377960205,0.32280945777893066,0.16708055138587952,0.19793890416622162
ally,0.21834596991539001,0.19903980195522308,0.22017301619052887,0.20484980940818787,0.08279536664485931,1.0000001192092896,0.15578524768352509,0.0798705667257309,0.10381226241588593
of,0.5011631846427917,0.28866857290267944,0.4854315221309662,0.5052502155303955,0.32287317514419556,0.15578524768352509,1.0,0.18146966397762299,0.1826142966747284
israel,0.21474629640579224,0.2984391450881958,0.20696768164634705,0.17491912841796875,0.1605740487575531,0.0798705667257309,0.18146966397762299,0.9999999403953552,0.15015864372253418
",",0.3658004403114319,0.27878350019454956,0.4691906273365021,0.427140474319458,0.25490131974220276,0.2730591595172882,0.4946078956127167,0.22234781086444855,0.31091248989105225
and,0.506277859210968,0.30884742736816406,0.3859752118587494,0.3739250600337982,0.30483514070510864,0.27266940474510193,0.5116966962814331,0.24438269436359406,0.20544172823429108
harold,0.08303176611661911,0.08664295077323914,0.11926310509443283,0.2205168902873993,0.15082427859306335,0.2061866968870163,0.19005732238292694,0.26540571451187134,0.151779443025589
wilson,0.15928678214550018,0.19179601967334747,0.09424737840890884,0.18023544549942017,0.040242135524749756,0.21250630915164948,0.17700797319412231,0.1592658907175064,0.1055358424782753
's,0.03856118768453598,0.0747150406241417,0.02396530658006668,0.04866964742541313,0.05243854969739914,0.0734705775976181,-0.03817026689648628,-0.03163225203752518,-0.023395681753754616
