,is,fertilization,internal,or,exeternal,in,most,species,?
fertilization,0.2163783609867096,1.0,0.36277663707733154,0.3138423264026642,0.3354613780975342,0.2112785130739212,0.18688949942588806,0.4076278507709503,0.18676581978797913
is,1.0,0.2163783609867096,0.14705020189285278,0.41870999336242676,0.20889750123023987,0.5394441485404968,0.41165053844451904,0.2673557698726654,0.22961433231830597
external,0.11640631407499313,0.33814141154289246,0.7400555610656738,0.3159050941467285,0.6494304537773132,0.1451910436153412,0.19903546571731567,0.17648907005786896,0.18867096304893494
in,0.5394441485404968,0.2112785130739212,0.20769467949867249,0.3586423695087433,0.25000110268592834,1.0,0.41416558623313904,0.2179255336523056,0.20430970191955566
most,0.41165053844451904,0.18688949942588806,0.18528670072555542,0.30746427178382874,0.2505999207496643,0.41416558623313904,1.0,0.23037302494049072,0.2107497900724411
species,0.2673557698726654,0.4076278507709503,0.17780975997447968,0.2828963100910187,0.19155721366405487,0.2179255336523056,0.23037302494049072,0.9999999403953552,0.1957087516784668
",",0.4691906273365021,0.2188848853111267,0.17594550549983978,0.3769497275352478,0.2749924063682556,0.5201468467712402,0.3636029064655304,0.2223871648311615,0.31091248989105225
but,0.4106791317462921,0.23830725252628326,0.22280865907669067,0.4733969271183014,0.26256367564201355,0.48674455285072327,0.45211657881736755,0.2603965997695923,0.27921953797340393
platyctenids,0.22171913087368011,0.4658411741256714,0.21640078723430634,0.3120845854282379,0.26097652316093445,0.2267540991306305,0.2563212513923645,0.5839789509773254,0.1917940229177475
use,0.3357410430908203,0.25405648350715637,0.2700968384742737,0.44579923152923584,0.2003116011619568,0.2715643048286438,0.3331718146800995,0.23278357088565826,0.32795652747154236
internal,0.14705020189285278,0.36277663707733154,1.0,0.32101738452911377,0.6522495150566101,0.20769467949867249,0.18528670072555542,0.17780975997447968,0.1665428727865219
fertilization,0.2163783609867096,1.0,0.36277663707733154,0.3138423264026642,0.3354613780975342,0.2112785130739212,0.18688949942588806,0.4076278507709503,0.18676581978797913
and,0.3859752118587494,0.24803239107131958,0.2423776090145111,0.4713204801082611,0.32584166526794434,0.4954058527946472,0.4309377074241638,0.23547904193401337,0.20544172823429108
keep,0.23241287469863892,0.1652449369430542,0.19488631188869476,0.3500058650970459,0.20639079809188843,0.2550279498100281,0.20163077116012573,0.1805320382118225,0.2537146508693695
the,0.5823672413825989,0.28298038244247437,0.24764955043792725,0.4174870550632477,0.3328344523906708,0.6662389636039734,0.47635307908058167,0.2522439956665039,0.22068053483963013
eggs,0.17573606967926025,0.5108038187026978,0.1692523956298828,0.30075564980506897,0.15552087128162384,0.15860499441623688,0.16631077229976654,0.3865090012550354,0.1739477664232254
in,0.5394441485404968,0.2112785130739212,0.20769467949867249,0.3586423695087433,0.25000110268592834,1.0,0.41416558623313904,0.2179255336523056,0.20430970191955566
brood,0.20692196488380432,0.4048110246658325,0.21298149228096008,0.27570727467536926,0.31490710377693176,0.20068351924419403,0.23221082985401154,0.48585429787635803,0.14995023608207703
chambers,0.16459409892559052,0.14204755425453186,0.24637320637702942,0.18652531504631042,0.2778598368167877,0.162662073969841,0.13938091695308685,0.17481108009815216,0.06382281333208084
until,0.23065046966075897,0.20119696855545044,0.146479532122612,0.15678727626800537,0.17216740548610687,0.38338494300842285,0.20077821612358093,0.11830321699380875,0.20304496586322784
they,0.330102801322937,0.256952702999115,0.21030515432357788,0.4633304476737976,0.2278703898191452,0.4330179989337921,0.4356461465358734,0.3024079203605652,0.2753053903579712
hatch,0.10082390904426575,0.4438422620296478,0.23159123957157135,0.18521885573863983,0.19622847437858582,0.15588678419589996,0.10960842669010162,0.3122055232524872,0.20584222674369812
.,0.4569662809371948,0.2660043239593506,0.19502860307693481,0.36683785915374756,0.28018754720687866,0.5591574311256409,0.35404038429260254,0.25772613286972046,0.4130953550338745
