,what,is,being,described,when,simplicity,of,geometrical,forms,are,teamed,with,inspiration,from,the,roman,period,?
the,0.42745697498321533,0.5823672413825989,0.419739305973053,0.2878154516220093,0.5091903209686279,0.2612189054489136,0.733189046382904,0.2403825968503952,0.2950737178325653,0.40399202704429626,0.2001897543668747,0.4223487675189972,0.3078494668006897,0.40150508284568787,1.0,0.2862859070301056,0.3125074505805969,0.22068053483963013
neoclassical,0.23971682786941528,0.19961686432361603,0.1652005910873413,0.3389182388782501,0.19697244465351105,0.3536708652973175,0.2511714696884155,0.43777304887771606,0.3161066770553589,0.15489982068538666,0.07439520210027695,0.1300320327281952,0.2354775369167328,0.17083163559436798,0.16609536111354828,0.34209945797920227,0.3795614242553711,0.19664928317070007
architecture,0.23286667466163635,0.19717231392860413,0.16101282835006714,0.1643182933330536,0.13571539521217346,0.32956984639167786,0.2756515443325043,0.39800843596458435,0.21926012635231018,0.15150071680545807,0.06838999688625336,0.1400839239358902,0.2564897835254669,0.1467449963092804,0.24488379061222076,0.2740558683872223,0.24041076004505157,0.14343059062957764
in,0.30808621644973755,0.5394441485404968,0.33162933588027954,0.28813880681991577,0.4431333839893341,0.18061508238315582,0.5696388483047485,0.22439071536064148,0.26377561688423157,0.3841303884983063,0.20932720601558685,0.4080928862094879,0.2734319567680359,0.4274188280105591,0.6662389636039734,0.24986636638641357,0.23051127791404724,0.20430970191955566
warsaw,0.10373849421739578,0.09741193056106567,0.14698296785354614,0.0657229796051979,0.1615014374256134,0.09493909776210785,0.19253842532634735,0.23182238638401031,0.095754474401474,0.12567314505577087,0.09308905154466629,0.15415489673614502,0.16029863059520721,0.2396499514579773,0.23137180507183075,0.26305991411209106,0.18795393407344818,0.09769917279481888
can,0.34502777457237244,0.44256699085235596,0.433290958404541,0.17814530432224274,0.39191514253616333,0.28775790333747864,0.2603091299533844,0.2596120834350586,0.3238907754421234,0.5408529043197632,0.11163270473480225,0.3572797477245331,0.14312559366226196,0.2516351342201233,0.312528520822525,0.1392456442117691,0.17864547669887543,0.3226337134838104
be,0.3929833769798279,0.4819129705429077,0.5586286783218384,0.30553197860717773,0.4451393485069275,0.38187551498413086,0.33904364705085754,0.24413174390792847,0.30402427911758423,0.5556803941726685,0.10414500534534454,0.36101722717285156,0.19085727632045746,0.3107333183288574,0.4248143136501312,0.16603216528892517,0.25402894616127014,0.3324260413646698
described,0.22590412199497223,0.2517563998699188,0.27359309792518616,0.9999999403953552,0.2246418446302414,0.25514712929725647,0.297532320022583,0.28773707151412964,0.23398630321025848,0.25001800060272217,0.14806091785430908,0.24371938407421112,0.25389936566352844,0.17046944797039032,0.2878154516220093,0.09863066673278809,0.1844424605369568,0.1374269425868988
by,0.2455483376979828,0.3899846076965332,0.4690866470336914,0.28709930181503296,0.4376842677593231,0.1310759037733078,0.3646814823150635,0.17765292525291443,0.19076815247535706,0.37842893600463867,0.2468428760766983,0.39731505513191223,0.3086825907230377,0.3373257517814636,0.4408751428127289,0.169524148106575,0.22862431406974792,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,0.419739305973053,0.2878154516220093,0.5091903209686279,0.2612189054489136,0.733189046382904,0.2403825968503952,0.2950737178325653,0.40399202704429626,0.2001897543668747,0.4223487675189972,0.3078494668006897,0.40150508284568787,1.0,0.2862859070301056,0.3125074505805969,0.22068053483963013
simplicity,0.3988766074180603,0.252646267414093,0.3102998733520508,0.25514712929725647,0.18806111812591553,1.0000001192092896,0.2539433538913727,0.3860648572444916,0.27167850732803345,0.2695872485637665,0.11321771889925003,0.2356012910604477,0.35368624329566956,0.13773754239082336,0.2612189054489136,0.18056875467300415,0.1918468475341797,0.3735150396823883
of,0.33290785551071167,0.4854315221309662,0.34885138273239136,0.297532320022583,0.3757161796092987,0.2539433538913727,1.0,0.30659350752830505,0.33835989236831665,0.39081433415412903,0.11883367598056793,0.41827285289764404,0.29410699009895325,0.4249346852302551,0.733189046382904,0.31028008460998535,0.2698146104812622,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.419739305973053,0.2878154516220093,0.5091903209686279,0.2612189054489136,0.733189046382904,0.2403825968503952,0.2950737178325653,0.40399202704429626,0.2001897543668747,0.4223487675189972,0.3078494668006897,0.40150508284568787,1.0,0.2862859070301056,0.3125074505805969,0.22068053483963013
geometrical,0.2592051923274994,0.21691767871379852,0.19412073493003845,0.28773707151412964,0.2072681188583374,0.3860648572444916,0.30659350752830505,0.9999998807907104,0.34943684935569763,0.2634211778640747,0.13368970155715942,0.26427212357521057,0.24750176072120667,0.18735569715499878,0.2403825968503952,0.19318358600139618,0.2312318980693817,0.10355955362319946
forms,0.16334041953086853,0.35419854521751404,0.16514064371585846,0.23398630321025848,0.2567545175552368,0.27167850732803345,0.33835989236831665,0.34943684935569763,1.0,0.32807791233062744,0.021084731444716454,0.24043329060077667,0.1632736772298813,0.27224797010421753,0.2950737178325653,0.14818069338798523,0.20565277338027954,0.1196754202246666
