,what,prohibition,agent,was,also,an,alumni,at,the,university,?
notable,0.31026893854141235,0.17913413047790527,0.11332359164953232,0.175777867436409,0.2548656165599823,0.23083588480949402,0.3171335458755493,0.15667329728603363,0.20948168635368347,0.11267898231744766,0.31928157806396484
alumni,0.11965817958116531,0.15772660076618195,0.1285702884197235,0.1874379962682724,0.22353194653987885,0.06920046359300613,1.0,0.28425559401512146,0.22524002194404602,0.5021953582763672,0.130934476852417
in,0.30808621644973755,0.2294393628835678,0.21362589299678802,0.45514053106307983,0.5073733329772949,0.2605783939361572,0.2126772403717041,0.4374977946281433,0.6662389636039734,0.3201795518398285,0.20430970191955566
the,0.42745697498321533,0.2334464192390442,0.1308915615081787,0.48711544275283813,0.6021018624305725,0.4207492768764496,0.22524002194404602,0.457212895154953,1.0,0.263973206281662,0.22068053483963013
field,0.1825202852487564,0.10619281232357025,0.05787373334169388,0.15975919365882874,0.20099256932735443,0.1812812238931656,0.1163143739104271,0.190035879611969,0.2105809599161148,0.2145719975233078,0.11279727518558502
of,0.33290785551071167,0.22685714066028595,0.10356795787811279,0.4069072902202606,0.4924938678741455,0.32280945777893066,0.27771928906440735,0.42558613419532776,0.733189046382904,0.30646374821662903,0.1826142966747284
government,0.28074538707733154,0.36924269795417786,0.18430401384830475,0.2995857298374176,0.262620747089386,0.15164874494075775,0.17043203115463257,0.1937524825334549,0.31798112392425537,0.2766827940940857,0.18851417303085327
and,0.31309178471565247,0.21018460392951965,0.18090473115444183,0.3740963041782379,0.5755972862243652,0.2838519215583801,0.19591780006885529,0.3571503460407257,0.5171257257461548,0.2665814459323883,0.20544172823429108
politics,0.2674756944179535,0.36592555046081543,0.163612499833107,0.2428772896528244,0.22910742461681366,0.18132266402244568,0.25428542494773865,0.15180827677249908,0.2115192860364914,0.300065279006958,0.16389669477939606
include,0.1535889357328415,0.20916344225406647,0.09017643332481384,0.10680413991212845,0.4212084710597992,0.14737801253795624,0.17035536468029022,0.1423492431640625,0.2951717972755432,0.09942364692687988,0.14925788342952728
the,0.42745697498321533,0.2334464192390442,0.1308915615081787,0.48711544275283813,0.6021018624305725,0.4207492768764496,0.22524002194404602,0.457212895154953,1.0,0.263973206281662,0.22068053483963013
founder,0.14688730239868164,0.17502515017986298,0.11412154883146286,0.3223331570625305,0.23570314049720764,0.14463269710540771,0.2159617841243744,0.18102137744426727,0.24715600907802582,0.2539704144001007,0.13665783405303955
of,0.33290785551071167,0.22685714066028595,0.10356795787811279,0.4069072902202606,0.4924938678741455,0.32280945777893066,0.27771928906440735,0.42558613419532776,0.733189046382904,0.30646374821662903,0.1826142966747284
modern,0.2655639946460724,0.17396894097328186,0.035539671778678894,0.23571695387363434,0.29002171754837036,0.16874317824840546,0.11265353113412857,0.20050804316997528,0.3283970355987549,0.1981702744960785,0.12475407868623734
