,who,continued,to,hold,the,citadel,of,bukhara,after,the,mongols,took,the,rest,of,the,city,?
the,0.3733934462070465,0.29953038692474365,0.535392165184021,0.3067915439605713,1.0,0.2966357171535492,0.733189046382904,0.279489129781723,0.4565047025680542,1.0,0.310281366109848,0.31657639145851135,1.0,0.41330549120903015,0.733189046382904,1.0,0.35769423842430115,0.22068053483963013
city,0.21073515713214874,0.14930367469787598,0.20300441980361938,0.15556544065475464,0.35769423842430115,0.45511460304260254,0.32503411173820496,0.3077037036418915,0.2613813877105713,0.35769423842430115,0.29109588265419006,0.17792659997940063,0.35769423842430115,0.20838169753551483,0.32503411173820496,0.35769423842430115,1.0,0.13423943519592285
leaders,0.31705352663993835,0.2233012467622757,0.25293630361557007,0.24825528264045715,0.3157886564731598,0.2286674976348877,0.2602892220020294,0.25685280561447144,0.2957238256931305,0.3157886564731598,0.30666592717170715,0.2896968722343445,0.3157886564731598,0.19218380749225616,0.2602892220020294,0.3157886564731598,0.1916656792163849,0.13927052915096283
opened,0.1488369107246399,0.24217131733894348,0.18903055787086487,0.19340090453624725,0.28544309735298157,0.2682659924030304,0.16720551252365112,0.1446450650691986,0.2920805811882019,0.28544309735298157,0.08650685846805573,0.2525886595249176,0.28544309735298157,0.09589774161577225,0.16720551252365112,0.28544309735298157,0.25895923376083374,0.1934700310230255
the,0.3733934462070465,0.29953038692474365,0.535392165184021,0.3067915439605713,1.0,0.2966357171535492,0.733189046382904,0.279489129781723,0.4565047025680542,1.0,0.310281366109848,0.31657639145851135,1.0,0.41330549120903015,0.733189046382904,1.0,0.35769423842430115,0.22068053483963013
gates,0.20236416161060333,0.12998291850090027,0.21614286303520203,0.2571048140525818,0.2443714737892151,0.18500323593616486,0.15723752975463867,0.2014913260936737,0.14789709448814392,0.2443714737892151,0.24209757149219513,0.13980671763420105,0.2443714737892151,0.18830661475658417,0.15723752975463867,0.2443714737892151,0.17427071928977966,0.1212976723909378
to,0.42656609416007996,0.33327484130859375,1.0,0.3469145894050598,0.535392165184021,0.1444164663553238,0.41548454761505127,0.1593388020992279,0.37890323996543884,0.535392165184021,0.230276957154274,0.24576251208782196,0.535392165184021,0.367563933134079,0.41548454761505127,0.535392165184021,0.20300441980361938,0.29463258385658264
the,0.3733934462070465,0.29953038692474365,0.535392165184021,0.3067915439605713,1.0,0.2966357171535492,0.733189046382904,0.279489129781723,0.4565047025680542,1.0,0.310281366109848,0.31657639145851135,1.0,0.41330549120903015,0.733189046382904,1.0,0.35769423842430115,0.22068053483963013
mongols,0.2709572911262512,0.1741771548986435,0.230276957154274,0.20364926755428314,0.310281366109848,0.23787406086921692,0.23517343401908875,0.5454793572425842,0.2098093330860138,0.310281366109848,0.9999999403953552,0.23986002802848816,0.310281366109848,0.15494690835475922,0.23517343401908875,0.310281366109848,0.29109588265419006,0.11517509818077087
",",0.3365725874900818,0.2681589126586914,0.44245919585227966,0.2803111970424652,0.4933079481124878,0.23002493381500244,0.4946078956127167,0.2508552372455597,0.38860568404197693,0.4933079481124878,0.26664721965789795,0.27655306458473206,0.4933079481124878,0.3065745532512665,0.4946078956127167,0.4933079481124878,0.35839709639549255,0.31091248989105225
though,0.3492638170719147,0.2790079414844513,0.46191829442977905,0.2707909345626831,0.38776206970214844,0.11231985688209534,0.37307101488113403,0.18643692135810852,0.3300973176956177,0.38776206970214844,0.21887825429439545,0.25054627656936646,0.38776206970214844,0.33576124906539917,0.37307101488113403,0.38776206970214844,0.16408811509609222,0.3188856542110443
a,0.36608949303627014,0.22831276059150696,0.45503583550453186,0.2822398841381073,0.5829201340675354,0.1670815497636795,0.5052502155303955,0.15886858105659485,0.3831600844860077,0.5829201340675354,0.13675467669963837,0.18697012960910797,0.5829201340675354,0.2692912518978119,0.5052502155303955,0.5829201340675354,0.2349124401807785,0.23916715383529663
unit,0.10349489003419876,0.1444924920797348,0.19828897714614868,0.10516612231731415,0.24230392277240753,0.25758740305900574,0.26649972796440125,0.1832660436630249,0.17871828377246857,0.24230392277240753,0.13305743038654327,0.06411551684141159,0.24230392277240753,0.23997873067855835,0.26649972796440125,0.24230392277240753,0.11575823277235031,0.09069886058568954
of,0.2827862501144409,0.2527073323726654,0.41548454761505127,0.2465030699968338,0.733189046382904,0.2896718978881836,1.0,0.22439724206924438,0.3867455720901489,0.733189046382904,0.23517343401908875,0.2766268849372864,0.733189046382904,0.33621829748153687,1.0,0.733189046382904,0.32503411173820496,0.1826142966747284
turkish,0.22388200461864471,0.1530880182981491,0.1500670164823532,0.11959173530340195,0.19575290381908417,0.16938118636608124,0.14263172447681427,0.38105979561805725,0.17103950679302216,0.19575290381908417,0.3243582546710968,0.165438711643219,0.19575290381908417,0.09997820109128952,0.14263172447681427,0.19575290381908417,0.20912791788578033,0.10638481378555298
defenders,0.27896296977996826,0.24037356674671173,0.2336772233247757,0.342233806848526,0.28171461820602417,0.2885858714580536,0.20047026872634888,0.15750737488269806,0.23881876468658447,0.28171461820602417,0.31036773324012756,0.18397511541843414,0.28171461820602417,0.2129652351140976,0.20047026872634888,0.28171461820602417,0.20830565690994263,0.1532401591539383
held,0.21375896036624908,0.23250971734523773,0.22177374362945557,0.4960750639438629,0.32185450196266174,0.18129436671733856,0.28960686922073364,0.13006898760795593,0.22166801989078522,0.32185450196266174,0.18938972055912018,0.4356749355792999,0.32185450196266174,0.15537752211093903,0.28960686922073364,0.32185450196266174,0.21825216710567474,0.14103956520557404
