,how,old,were,the,fossils,found,in,china,?
the,0.33890387415885925,0.31849798560142517,0.3906462490558624,1.0,0.2495197057723999,0.3452354073524475,0.6662389636039734,0.3110525608062744,0.22068053483963013
early,0.2415190190076828,0.2939879298210144,0.39198037981987,0.34442198276519775,0.2645024359226227,0.1977369338274002,0.34672921895980835,0.25833550095558167,0.15272949635982513
cambrian,0.1657557636499405,0.21847067773342133,0.2286975234746933,0.2575351595878601,0.5108596682548523,0.1903088092803955,0.223274827003479,0.2551741898059845,0.10118120908737183
sessile,0.15714964270591736,0.11724404990673065,0.10968560725450516,0.2136031985282898,0.3879064917564392,0.2588801085948944,0.17233312129974365,0.13421808183193207,0.15263627469539642
frond-like,0.27650535106658936,0.23719584941864014,0.3534473180770874,0.3488040268421173,0.37349528074264526,0.37092697620391846,0.31779932975769043,0.1919707953929901,0.2274358570575714
fossil,0.15351839363574982,0.18535079061985016,0.18090227246284485,0.21818694472312927,0.870537519454956,0.385284960269928,0.22461621463298798,0.21509949862957,0.15712964534759521
stromatoveris,0.2577376365661621,0.1603003889322281,0.2651025056838989,0.2789496183395386,0.47075405716896057,0.30413779616355896,0.2838645279407501,0.22000589966773987,0.18349947035312653
",",0.22659391164779663,0.26524028182029724,0.36755475401878357,0.4933079481124878,0.21695511043071747,0.27385151386260986,0.5201468467712402,0.27650898694992065,0.31091248989105225
from,0.22939439117908478,0.26649054884910583,0.29991888999938965,0.40150508284568787,0.20264261960983276,0.15488772094249725,0.4274188280105591,0.17287437617778778,0.19969791173934937
china,0.1747840791940689,0.12468991428613663,0.2312094271183014,0.3110525608062744,0.2526704967021942,0.20182760059833527,0.267821341753006,1.0000001192092896,0.18007943034172058
's,-0.026164190843701363,0.14042171835899353,0.007088581565767527,-0.01540423184633255,0.03409503400325775,0.005866709165275097,-0.037580832839012146,0.023593749850988388,-0.023395681753754616
chengjiang,0.1911015510559082,0.18514274060726166,0.19021528959274292,0.29074880480766296,0.2013465166091919,0.18492183089256287,0.23617690801620483,0.7249496579170227,0.2237432599067688
lagerstätte,0.21564030647277832,0.25045087933540344,0.3057270646095276,0.3435594439506531,0.609586238861084,0.4104319214820862,0.37890303134918213,0.26030027866363525,0.22385409474372864
and,0.33647966384887695,0.29022282361984253,0.42175528407096863,0.5171257257461548,0.23379240930080414,0.27978911995887756,0.4954058527946472,0.27966102957725525,0.20544172823429108
dated,0.13423839211463928,0.25998231768608093,0.20317693054676056,0.2046709507703781,0.3590318262577057,0.23273491859436035,0.1982845962047577,0.21649734675884247,0.215650275349617
to,0.44169697165489197,0.2412436157464981,0.31913647055625916,0.535392165184021,0.22865045070648193,0.25225648283958435,0.45010748505592346,0.1938052773475647,0.29463258385658264
about,0.44264400005340576,0.2740228772163391,0.29814305901527405,0.37995871901512146,0.2782515585422516,0.2971428334712982,0.39797019958496094,0.18977688252925873,0.302409827709198
515,0.07345414906740189,0.11226841062307358,0.1501341313123703,0.3182307779788971,0.2103787511587143,0.1751323938369751,0.21489743888378143,0.20295459032058716,0.06722166389226913
million,0.21114659309387207,0.2500693202018738,0.25957414507865906,0.277012437582016,0.3239833414554596,0.14410199224948883,0.2596224844455719,0.26204222440719604,0.23092924058437347
years,0.21949264407157898,0.4551808536052704,0.3048669695854187,0.2912273406982422,0.33178845047950745,0.21100080013275146,0.33554986119270325,0.23277819156646729,0.1914375126361847
ago,0.3028433620929718,0.3357829749584198,0.276393324136734,0.23063679039478302,0.4381564259529114,0.25708508491516113,0.2414315938949585,0.22036191821098328,0.2202194780111313
",",0.22659391164779663,0.26524028182029724,0.36755475401878357,0.4933079481124878,0.21695511043071747,0.27385151386260986,0.5201468467712402,0.27650898694992065,0.31091248989105225
is,0.22544461488723755,0.24332627654075623,0.29386836290359497,0.5823672413825989,0.20723609626293182,0.3526395261287689,0.5394441485404968,0.1968986988067627,0.22961433231830597
very,0.4865594804286957,0.19204078614711761,0.3175065517425537,0.34171217679977417,0.26747944951057434,0.30070754885673523,0.3209688663482666,0.18931786715984344,0.20864155888557434
similar,0.2738620936870575,0.20394910871982574,0.28374379873275757,0.2963123023509979,0.23019683361053467,0.24447132647037506,0.28091391921043396,0.1482543647289276,0.23309361934661865
to,0.44169697165489197,0.2412436157464981,0.31913647055625916,0.535392165184021,0.22865045070648193,0.25225648283958435,0.45010748505592346,0.1938052773475647,0.29463258385658264
vendobionta,0.1810399740934372,0.1650518774986267,0.20544767379760742,0.2823553681373596,0.3384872078895569,0.25156423449516296,0.32168516516685486,0.26166099309921265,0.2536412179470062
of,0.2480744868516922,0.30522194504737854,0.34038281440734863,0.733189046382904,0.2560483515262604,0.2982911467552185,0.5696388483047485,0.27699828147888184,0.1826142966747284
the,0.33890387415885925,0.31849798560142517,0.3906462490558624,1.0,0.2495197057723999,0.3452354073524475,0.6662389636039734,0.3110525608062744,0.22068053483963013
preceding,0.15410606563091278,0.1934613436460495,0.20307056605815887,0.3293033242225647,0.21236968040466309,0.1183755025267601,0.23244428634643555,0.19874820113182068,0.18089358508586884
ediacaran,0.21368540823459625,0.25009843707084656,0.17839664220809937,0.2770300805568695,0.5900708436965942,0.31989115476608276,0.22689197957515717,0.31001317501068115,0.2199965864419937
period,0.22695960104465485,0.1982891857624054,0.2902187407016754,0.3125074505805969,0.2195097804069519,0.13365647196769714,0.23051127791404724,0.26020902395248413,0.18706195056438446
.,0.3287222981452942,0.32390445470809937,0.3378238379955292,0.5934505462646484,0.2062237411737442,0.3618174195289612,0.5591574311256409,0.2979343831539154,0.4130953550338745
