,where,did,a,bloody,civil,war,break,out,?
one,0.3907615840435028,0.27659472823143005,0.4910551905632019,0.21574780344963074,0.15266822278499603,0.2536076605319977,0.1826159954071045,0.3521561622619629,0.2673267424106598
result,0.2845163941383362,0.2026577889919281,0.2767398953437805,0.09722244739532471,0.12546604871749878,0.18274202942848206,0.24498452246189117,0.22848866879940033,0.17218433320522308
of,0.38066378235816956,0.2513895630836487,0.5052502155303955,0.22705647349357605,0.24698495864868164,0.31680163741111755,0.14277319610118866,0.34176841378211975,0.1826142966747284
this,0.4012809097766876,0.3609912693500519,0.5422310829162598,0.21070174872875214,0.24196121096611023,0.29429852962493896,0.34828653931617737,0.34908437728881836,0.3155723512172699
was,0.20731619000434875,0.41399896144866943,0.4508470594882965,0.2524004876613617,0.24303317070007324,0.3560331463813782,0.17381805181503296,0.28168347477912903,0.18412111699581146
a,0.40997210144996643,0.2552328109741211,1.0,0.20332017540931702,0.21693918108940125,0.2368277609348297,0.26504021883010864,0.34264278411865234,0.23916715383529663
campaign,0.1283893585205078,0.18201768398284912,0.20502153038978577,0.277009516954422,0.29422688484191895,0.3533736765384674,0.156138613820076,0.15603232383728027,0.162482351064682
of,0.38066378235816956,0.2513895630836487,0.5052502155303955,0.22705647349357605,0.24698495864868164,0.31680163741111755,0.14277319610118866,0.34176841378211975,0.1826142966747284
attacks,0.18896746635437012,0.13600324094295502,0.24573074281215668,0.24571062624454498,0.17566165328025818,0.2742409110069275,0.22823122143745422,0.18802431225776672,0.14532065391540527
on,0.37630224227905273,0.2670976221561432,0.3848365545272827,0.22240674495697021,0.17390455305576324,0.23017507791519165,0.22276534140110016,0.39060163497924805,0.2714994251728058
government,0.16681428253650665,0.2792121469974518,0.25158295035362244,0.2213069498538971,0.30626749992370605,0.33835113048553467,0.13663385808467865,0.21430867910385132,0.18851417303085327
officials,0.254707932472229,0.3401864171028137,0.25534239411354065,0.20109125971794128,0.27043288946151733,0.2601146101951599,0.1347140669822693,0.2752450704574585,0.1505519449710846
