,how,did,luther,express,the,destruction,?
in,0.2601168751716614,0.2593238651752472,0.20523880422115326,0.18388308584690094,0.6662389636039734,0.2888343632221222,0.20430970191955566
against,0.22421614825725555,0.22514554858207703,0.18804924190044403,0.11455807089805603,0.3090755045413971,0.32585281133651733,0.18095137178897858
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.19177916646003723,1.0,0.3148382306098938,0.22068053483963013
murderous,0.1749672144651413,0.2527971863746643,0.23788762092590332,0.12757372856140137,0.254659503698349,0.320550799369812,0.16823844611644745
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.22139392793178558,0.4933079481124878,0.2109706848859787,0.31091248989105225
thieving,0.2569277286529541,0.2992616891860962,0.15025782585144043,0.12166383862495422,0.4199445843696594,0.3074907958507538,0.2349289059638977
hordes,0.21526077389717102,0.16832758486270905,0.14036540687084198,0.13236947357654572,0.28979161381721497,0.19618335366249084,0.14722579717636108
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.1764339953660965,0.733189046382904,0.30908554792404175,0.1826142966747284
peasants,0.17489518225193024,0.283174604177475,0.12856873869895935,0.13685187697410583,0.29513445496559143,0.21985457837581635,0.14431370794773102
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.22139392793178558,0.4933079481124878,0.2109706848859787,0.31091248989105225
written,0.2370033860206604,0.2051348239183426,0.202183336019516,0.12999430298805237,0.2582438886165619,0.11753184348344803,0.21451954543590546
on,0.32655060291290283,0.2670976221561432,0.19090485572814941,0.17581911385059357,0.5107308030128479,0.1961747258901596,0.2714994251728058
his,0.24614305794239044,0.3546801507472992,0.27093374729156494,0.14769400656223297,0.4394008219242096,0.2330823391675949,0.18075084686279297
return,0.16757382452487946,0.21141748130321503,0.06525282561779022,0.17842912673950195,0.2543797492980957,0.20379938185214996,0.14655634760856628
to,0.44169697165489197,0.4452643394470215,0.18029534816741943,0.27052003145217896,0.535392165184021,0.22507941722869873,0.29463258385658264
wittenberg,0.1305598020553589,0.15746602416038513,0.42518264055252075,0.10704450309276581,0.31221258640289307,0.16000542044639587,0.15716047585010529
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.22139392793178558,0.4933079481124878,0.2109706848859787,0.31091248989105225
